 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 824 5 1 ZTF_r 444474691715 0 1.7244 156.575 6.2553 26.1114 5.6175e-06 0.0242778 0.107877 9.46121e-06 699 30. 0.044357 0.047723 20.4644 26.1114 2 2458198.9746991 824120217 -17.160414933823 23.5564817862838 -0.810349106782912 1.03087693048402 18.526473715517 47.7107698126612 0.390923279065609 1.02973334383905 null null null null null 2458161.062419 2458222.938889 57
 10 824 5 1 ZTF_g 448370021715 0 3.1952 83.0746 5.79904 26.2393 1.23974e-05 0.0349073 -0.133143 2.27396e-05 656 30. 0.056362 0.056265 20.1461 26.2393 2 2458202.8700231 824120117 -1.21010441265582 30.9267407949604 -0.0435254721872506 0.9296319699445 1.58807550970486 47.6658109216752 0.0335412585817457 1.0543045378762 null null null null null 2458203.893137 2458231.971505 57
 11 824 5 1 ZTF_g 449369491715 0 4.216 80.7287 7.67668 26.2125 1.96645e-05 0.0395216 -0.111779 4.32749e-05 554 30. 0.061706 0.072567 19.6448 26.2125 2 2458203.8694907 824120117 3.73978309673934 44.4370232060453 0.0936173313853366 1.00042524834932 0.501560104831026 61.5929187622093 0.00819799014467366 1.07295552883569 null null null null null 2458203.893137 2458231.971505 57
 12 824 5 1 ZTF_g 449391721715 0 2.8678 82.3651 7.03481 26.2264 1.21925e-05 0.0345588 -0.121482 2.23529e-05 651 30. 0.049391 0.054502 20.007 26.2264 2 2458203.8917245 824120117 36.8341470324583 36.240390394469 1.13060929363059 0.969432838746946 42.2194898835657 58.2447952709159 0.729744870409907 1.05146101057655 null null null null null 2458203.893137 2458231.971505 57
 13 824 5 1 ZTF_g 449393131715 0 2.7683 83.0159 6.96099 26.2285 1.15672e-05 0.0338886 -0.111728 2.09995e-05 658 30. 0.0478 0.052872 20.0717 26.2285 1 2458203.8931366 824120117 -25.4104625452078 33.2921628830481 -0.849034544951117 0.975578173961283 -88.8218306594216 54.2911896424428 -1.64704533807753 1.04973721648054 null null null null null 2458203.893137 2458231.971505 57
 14 824 5 1 ZTF_g 449403701715 0 2.5883 84.4462 6.52419 26.2488 1.20494e-05 0.0349914 -0.119439 2.12935e-05 674 30. 0.049767 0.052834 20.2249 26.2488 1 2458203.9037037 824120117 -47.1245772935588 28.4017207084368 -1.84568514276684 1.15934449097231 -60.0677422653997 47.6020391140572 -1.27037209100757 1.04679070592131 null null null null null 2458203.893137 2458231.971505 57
 15 824 5 1 ZTF_g 449404611715 0 2.6594 84.9526 6.46546 26.2461 1.06375e-05 0.0326234 -0.118628 1.91812e-05 667 30. 0.049707 0.05094 20.1967 26.2461 2 2458203.9046181 824120117 -9.60943975522371 29.3762194274852 -0.363878977738273 1.08440786061789 51.4889609975639 48.3644415863385 1.07177381588827 1.05245583032923 null null null null null 2458203.893137 2458231.971505 57
 16 824 5 1 ZTF_g 450347921715 8 5.1252 81.774 9.19281 26.2255 4.29092e-05 0.0427106 -0.121616 0.000117523 368 30. 0.086292 0.088638 19.1702 26.2255 2 2458204.8479282 824120117 50.1246884601197 69.4920409722277 0.80236397347684 0.999794622166959 46.1565759093212 83.7509668462169 0.554828736353673 1.14807983534294 null null null null null 2458203.893137 2458231.971505 57
 17 824 5 1 ZTF_g 450373511715 0 4.7476 82.9691 8.89587 26.2328 3.47202e-05 0.0427408 -0.113666 8.82959e-05 416 30. 0.079222 0.079296 19.2783 26.2328 2 2458204.8735185 824120117 31.5995248347989 59.1722712875003 0.594041947953964 1.01623279061481 14.3821349406145 72.8554538376684 0.198735972178218 1.11297493949274 null null null null null 2458203.893137 2458231.971505 57
 18 824 5 1 ZTF_g 450379181715 0 4.5716 83.1857 8.8254 26.2403 3.35392e-05 0.0443142 -0.116598 8.2958e-05 444 30. 0.070442 0.073188 19.3368 26.2403 2 2458204.8791898 824120117 27.9300768025731 62.4775287934993 0.497282398740349 0.996482758570909 -80.621660563653 78.9828098909506 -1.02762426657359 1.09681821053397 null null null null null 2458203.893137 2458231.971505 57
 19 824 5 1 ZTF_g 450415321715 0 3.8829 84.8961 8.03759 26.2615 2.5913e-05 0.0445564 -0.124103 5.82445e-05 550 30. 0.068248 0.068023 19.6278 26.2615 2 2458204.9153241 824120117 54.1333135881358 46.7648161115257 1.28765696680539 1.06234332425358 58.4816312471931 64.1855469373437 0.917270494802375 1.06714235799746 null null null null null 2458203.893137 2458231.971505 57
