# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.9 on 2024-07-02 at 15:09:24
#
# Requested input R.A. = 250.836340896111 degrees
# Requested input Dec. = 61.594851830281 degrees
# Requested JD start = 2458216.1234 days
# Requested JD end = 2458450.0253 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 824 5 2 ZTF_r 463416151715 0 1.8326 172.794 5.72807 26.209 4.6875e-06 0.0222439 0.105993 7.92074e-06 700 30. 0.039751 0.04492 20.6034 26.209 1 2458217.9161574 824120217 6.34030685729 22.305153 0.316199 1.029732 -5.46039095277 42.691429 -0.128765 1.043394 null null null null null 2458161.062419 2458222.938889 57
 1 824 5 2 ZTF_r 463459231715 0 1.7991 173.899 6.03322 26.1999 4.2362e-06 0.021143 0.112862 7.13237e-06 700 30. 0.044056 0.044656 20.5462 26.1999 1 2458217.9592361 824120217 29.24295112212 26.313215 1.236238 1.081529 95.25808233481 49.696285 1.929715 1.046961 null null null null null 2458161.062419 2458222.938889 57
 2 824 5 2 ZTF_r 464344601715 0 1.9936 157.216 5.94761 26.108 4.239e-06 0.0209883 0.107967 7.19744e-06 690 30. 0.045738 0.046616 20.3732 26.108 2 2458218.8446065 824120217 -11.57413716639 24.747072 -0.520259 1.053846 48.39470487826 46.834290 1.040277 1.045312 null null null null null 2458161.062419 2458222.938889 57
 3 824 5 2 ZTF_r 464365541715 0 1.9293 166.535 5.64303 26.1564 4.449e-06 0.0215461 0.113528 7.5472e-06 693 30. 0.046053 0.045769 20.5525 26.1564 2 2458218.865544 824120217 -28.44565103324 23.167015 -1.365842 0.957085 -49.77213878167 42.886940 -1.168359 1.050609 null null null null null 2458161.062419 2458222.938889 57
 4 824 5 2 ZTF_r 464437121715 0 1.7504 167.145 5.80225 26.1592 5.9527e-06 0.0249866 0.11501 1.00823e-05 698 30. 0.048479 0.0517 20.6146 26.1592 2 2458218.9371296 824120217 17.19874254273 22.360628 0.855594 1.098403 44.41357601024 41.049129 1.089249 1.056216 null null null null null 2458161.062419 2458222.938889 57
 5 824 5 2 ZTF_r 464476931715 0 1.6265 156.811 6.68026 26.0908 6.4031e-06 0.0258277 0.112174 1.08598e-05 697 30. 0.062085 0.054772 20.4363 26.0908 2 2458218.9769329 824120217 24.35695028542 25.974981 1.043092 1.303886 -21.56335555966 48.143444 -0.450915 1.055727 null null null null null 2458161.062419 2458222.938889 57
 6 824 5 2 ZTF_r 465330541715 0 1.9015 158.579 6.1672 26.1106 5.9326e-06 0.0247783 0.110215 1.00804e-05 690 30. 0.043194 0.047545 20.4202 26.1106 2 2458219.830544 824120217 -1.28978282398 26.155964 -0.054853 0.897507 -35.7724107554 48.844978 -0.737299 1.051047 null null null null null 2458161.062419 2458222.938889 57
 7 824 5 2 ZTF_r 465374031715 0 2.0544 177.142 5.31344 26.2206 4.4468e-06 0.0214086 0.118539 7.5453e-06 690 30. 0.045166 0.049414 20.7308 26.2206 2 2458219.8740394 824120217 -25.70393726741 22.294413 -1.282503 1.029428 -63.26149916339 39.260559 -1.622177 1.064047 null null null null null 2458161.062419 2458222.938889 57
 8 824 5 2 ZTF_r 465392701715 0 2.1778 176.971 5.36815 26.2206 4.7819e-06 0.0223322 0.115637 8.13751e-06 693 30. 0.044945 0.051655 20.7 26.2206 2 2458219.8927083 824120217 -3.48694101746 22.203388 -0.174695 0.997314 -50.57988854057 38.468307 -1.323701 1.066889 null null null null null 2458161.062419 2458222.938889 57
