ra, dec, objname, z
332.955, 38.7004166666667, 2018gro, 0.0217
19.51915847593583, 14.553705080213907, 2021bmu,  0.053
160.87567916666663, 19.08300277777778, 2022fjx, 0.046
203.18804166666663, -13.047169444444444, 2023acdv, 0.023
250.902241666667, 33.5336, 2018lph, 0.08
90.91666666666666, -26.66324722222222, 2021aare, 0.0404
320.9141458333333, 39.580933333333334, 2023fwb, 0.027
170.4280708333333, 34.358330555555554, 2022yv, 0.035426
96.7204, -24.614725, 2023yrs, 0.023312
155.045458333333, -7.84686111111111, 2018awi, 0.059
29.626375, 12.9244166666667, 2016ije, 0.04
246.055791666667, 25.2720555555556, 2018baz, 0.1
224.878291666667, 28.1830166666667, 2018ciw, 0.056
346.419825, 27.6659805555556, 2019noh, 0.0249
195.060516666667, 27.9568527777778, 2019be, 0.02
179.863879166667, -20.4447916666667, 2020ecn, 0.021
163.708508333333, -7.38100277777778, 2019cp, 0.05
97.97918333333332, 35.556602777777776, 2021agnf, 0.027
131.588291666667, -12.6559722222222, 2020acbx, 0.051
72.76725099833224, -5.956904257359554, 2021wzb, 0.0478
17.785216666666667, -13.944155555555556, 2023abdv, 0.052
145.3088625, 26.088575, 2020acoo, 0.044125
211.3781958333333, 15.720977777777778, 2022dsu, 0.07
45.880016666666656, 27.682208333333335, 2021zqs, 0.036465
289.1199583333333, 41.889291666666665, 2022ubt, 0.052
60.66323761258093, 25.233483796515177, 2023vjh, 0.019
139.175125, 18.9650305555556, 2019ecx, 0.029
9.47300416666667, -21.4719305555556, 2020aclx, 0.06
64.1733759834313, -12.18359033747551, 2022xhh, 0.0315
356.063375, -23.529138888888887, 2023sps, 0.049
186.634530580755, 31.4283877648021, 2021gel, 0.06
244.12544381213974, 21.25148280005454, 2022rjs, 0.037
95.394875, -27.2148638888889, 2017fzw, 0.0054
35.4244125, -25.9271527777778, 2019op, 0.04
32.76211249999999, 36.481725000000004, 2021twa, 0.012128969342354
141.354254166667, 65.4675027777778, 2019bwi, 0.02968
210.563370833333, 9.78331944444444, 2019ahh, 0.0225
342.641791666667, -1.54236111111111, 2016brx, 0.010167
76.34879317253565, -11.882223304643725, 2022xkq, 0.007735
10.8995375, 30.592322222222222, 2021abzd, 0.018086
257.3738166666666, -22.44768611111111, 2021qqr, 0.0309549998
201.241558333333, -24.1807694444444, 2021jbp, 0.042
55.288069676415056, -2.848554874720014, 2022abom, 0.036
185.44816295200465, 10.59142716377714, 2023fot, 0.026467
227.356333333333, 25.4715444444444, 2018ame, 0.022
296.989933333333, 3.94511111111111, 2019exc, 0.06
317.81558333333334, 37.88565, 2022vxf, 0.028
219.50787920719074, 10.184031423141269, 2021fnr, 0.026949
318.75354999999996, 21.91009722222222, 2021xfm, 0.04
250.836370833333, 61.5948666666667, 2021bls, 0.019
259.030995833333, 40.7865361111111, 2020mfd, 0.048
212.204729166667, 35.6142777777778, 2019cdc, 0.02777
39.5949166666667, -11.7391611111111, 2018hkw, 0.027
246.301958333333, 40.8401583333333, 2018eyi, 0.03038
175.283166666667, 24.8196111111111, 2018ast, 0.012
184.881, 49.81785, 2016iuh, 0.013696
178.79437916666663, -7.843080555555555, 2021mab, 0.021
6.61545160003238, 38.1232395512729, 2019moq, 0.0596
92.63880416666666, -14.538880555555556, 2021zsz, 0.035746
184.50780833333332, -20.857608333333335, 2021pom, 0.032269
1.1623624999999997, -8.099930555555556, 2022xnq, 0.0286
215.19557977001816, -19.786138140517604, 2021jvp, 0.044
29.13569565786243, 3.8603580474646884, 2021uve, 0.055
46.5270791666667, 13.9134527777778, 2020yo, 0.09
176.118879166667, 10.78335, 2020ais, 0.02
328.812516666667, -12.1489944444444, 2019luv, 0.06
297.40179583333327, 42.23985277777778, 2021uef, 0.0304
15.9512916666667, 10.5923611111111, 2018jag, 0.04
163.939433333333, 24.0276555555556, 2021cad, 0.041546
28.936116576208455, -25.24875961236597, 2022skw, 0.07
138.75348827764117, 22.589551264070604, 2022aaok, 0.027214
228.61520416666664, 50.31702777777778, 2022bsi, 0.0369
358.86536871987545, -34.87484410425709, 2021oyx, 0.049921
194.72340272630746, 28.126949858724423, 2023ex, 0.023376
16.88778656365311, 32.4082286103301, 2017hle, 0.015
186.078606372614, 10.446274608993297, 2024fid, 0.06
307.78867051880843, -44.26245447262259, 2023jah, 0.03
10.074032578559928, 2.7566803332949923, 2024luo, 0.017
221.2905622978074, 9.273927894946588, 2018efn, 0.024
22.491984809554648, 19.43918211115813, 2021agej, 0.04
195.07903069437515, -33.62975678539297, 2020dq, 0.046
162.8512114449619, 8.558299085325991, 2024jhk, 0.02315
77.7763019006191, -1.0802048956828456, 2023dk, 0.02844
75.2662665141492, -38.44859297589741, 2020aejj, 0.056
264.7369415088767, 74.82995898557314, 2022ydr, 0.024931
