ra, dec, objname, z
74.75937846380604, -0.4419266446851301, 2022aecb, 0.015
341.8629271758788, -25.66482783660629, 2022omn, 0.05
145.70094821679152, -3.607061832271141, 2022ihz, 0.006
240.66641094775812, 15.76214896375523, 2021diu, 0.037372
24.102259033033917, 22.049853890014997, 2020abpe, 0.05
190.6517101224863, -40.74634151127974, 2019so, 0.015
123.85227076813287, -6.9577406494725675, 2020abmg, 0.04
129.54407756604917, 25.101520167165358, 2023cvq, 0.0286
21.466737391119896, -1.3671980789344114, 2018ctv, None
190.8843573053826, -41.36601790283661, 2022an, 0.007
249.97841470704753, 37.18227102118413, 2024jih, 0.0311
241.8473002365691, 13.892682894778675, 2020nta, 0.033953
70.72920636772062, 0.6183744592240744, 2023bhm, 0.015419
167.9824902652031, 3.1337018866174584, 2024bjb, 0.0298
214.2615808939578, 10.821996814290793, 2023omo, 0.025
240.27615202948147, 19.45021417211042, 2020fhs, 0.01438
204.8457138175562, 51.04977363195092, 2023mkp, 0.015293
334.1940942600142, 86.93250326590747, 2022oux, 0.019
50.55047833824845, -42.884710249173125, 2022ywc, 0.058
