objname, objname, ra, dec, z, MJDs, MJDe, mu, st, Tmax, EBVhost, mu_err, st_err, Tmax_err, EBVhost_err, logstellarmass, logstellarmasserr
2022zvu, 2022zvu, 148.46274583333332, -7.792683333333334, 0.019323, 2458218.6929167, 2460430.7476042, 34.91310000372465, 0.5938908116870952, 2459896.8277876247, 0.2587918459291929, 0.022419700137845288, 0.012668102416087958, 0.13799395334363052, 0.026319116694547826, 10.542607440652626, 0.0012099832400037588
2019bwi, 2019bwi, 141.354254166667, 65.4675027777778, 0.02968, 2458269.740081, 2460433.7389583, 36.26224966259591, 1.1994307076599064, 2458568.9124424104, 0.5205547648856051, 0.047398783136367965, 0.024610326389058294, 0.3580105800937963, 0.02685982678930924, 8.839761027821579, 0.012505917069982822
2020nta, 2020nta, 241.847275, 13.8926222222222, 0.033953, 2458237.7997222, 2460147.7697801, 36.341185019623225, 0.4157261119201826, 2459034.9467060775, 0.38797559721996683, 0.09380296475020891, 0.02907455579597405, 0.3515700663345107, 0.08386066492480133, 10.968085313226508, 0.0006007041323623824
2018eyi, 2018eyi, 246.301958333333, 40.8401583333333, 0.03038, 2458229.8512153, 2459307.9288889, 35.704474351507706, 0.4231277909575227, 2458339.6359868934, 0.4530680309677753, 0.06752498260735557, 0.019355721419644725, 0.2578677054889682, 0.05202676861274295, 10.143590364193393, 0.0012393031211338115
2023cvq, 2023cvq, 129.5441005730084, 25.101551215538002, 0.0286, 2458850.923125, 2460059.6670718, 35.8103766800496, 0.27176854023468366, 2460006.0308705694, -0.05965811657894575, 0.08558275139583743, 0.01967247681755086, 0.6155185735785369, 0.059197835603250495, 10.547609098927339, 0.0009310322625326865
2019moq, 2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 2458283.9484144, 2460446.9769329, 37.28289020363694, 0.7438180296764206, 2458695.8635055325, 0.15761696755382207, 0.02336110986826717, 0.013369094622777833, 0.10140664211105103, 0.015070746553517438, 10.979192644467481, 0.0047669442378859665
2022ubt, 2022ubt, 289.1199583333333, 41.889291666666665, 0.052, 2458297.8819097, 2460201.7033333, 36.91867161169596, 0.5888608021379008, 2459844.0207501384, 0.003842103336464262, 0.0366393743836649, 0.0263918847043848, 0.14100280955955286, 0.0329555658072911, 10.387851541544412, 0.0032791740061456085
2018ciw, 2018ciw, 224.878291666667, 28.1830166666667, 0.056, 2458222.8604398, 2459266.8884491, 38.18462641125565, 0.5120127186771534, 2458275.211707546, -0.9011236336565868, 0.4531952424354787, 0.0688552183886798, 0.6743510668802958, 0.40172718714556627, 12.38697996711908, 0.004384734224813007
2018lph, 2018lph, 250.902241666667, 33.5336, 0.08, 2458206.9226736, 2460505.8217477, 37.86186279705163, 0.7582597340168824, 2458312.385566871, 0.14877798269880296, 0.032654992664605226, 0.018692792946111658, 0.11217039498412484, 0.01599113700389906, 10.34149581173226, 0.004396506937327917
2023fwb, 2023fwb, 320.9141458333333, 39.580933333333334, 0.027, 2458230.9921296, 2460204.657963, 35.45331220269436, 0.4188286656276326, 2460059.02534899, -0.12333448716374036, 0.04176751314709637, 0.010681112526280062, 0.08457477670229972, 0.02128876970547561, 8.083420755485886, 0.029802813525155545
