objname, objname, ra, dec, z, MJDs, MJDe, mu, st, Tmax, EBVhost, mu_err, st_err, Tmax_err, EBVhost_err, logstellarmass, logstellarmasserr
2023vjh, 2023vjh, 60.66323761258093, 25.233483796515177, 0.019, 2458788.8101042, 2460392.6400463, 34.5358037386066, 0.4213247219608997, 2460245.579950154, 0.46750806134999934, 0.07899673849959953, 0.019685367826691134, 0.20739627385902562, 0.045002906846241475, 10.650404500305129, 0.002056533560023752
2018baz, 2018baz, 246.055791666667, 25.2720555555556, 0.1, 2458206.0074074, 2459744.8931713, 37.189422679500524, 0.8676292520742502, 2458215.4640117683, 0.6592234063955676, 0.23940315755690406, 0.07054989768680786, 0.7818911790740356, 0.17765202241421715, 8.666571789473174, 0.1010321439244665
2019luv, 2019luv, 328.812516666667, -12.1489944444444, 0.06, 2458294.9609954, 2460110.9421759, 36.99426827121871, 0.6653555133016746, 2458691.5058304183, 0.4307563499209841, 0.06307313617009835, 0.043388573247186056, 0.4882110174603802, 0.06518174869897114, 9.828101197306356, 0.006206509407890266
2022aaok, 2022aaok, 138.75348827764117, 22.589551264070604, 0.027214, 2458503.8706019, 2460208.008287, 35.706221442949186, 0.5152472007232138, 2459907.9141263044, 0.3217963945122945, 0.04907814923884159, 0.021023864006860127, 0.214944955756601, 0.03545264442507788, 10.475026394544468, 0.000842787923706665
2021fnr, 2021fnr, 219.50787920719074, 10.184031423141269, 0.026949, 2458236.7924074, 2460449.8184722, 35.5800089899065, 0.4610244810891481, 2459293.2059830595, 0.37619611833272415, 0.0435923553824432, 0.014322737194927554, 0.15790855298637446, 0.023122255180850915, 10.287436116011223, 0.0011406832616291658
2021jvp, 2021jvp, 215.19557977001816, -19.786138140517604, 0.044, 2458259.7712037, 2460296.0560185, 36.590439900678696, 0.514217550078554, 2459327.223322853, 0.22505891372643871, 0.11955536032789711, 0.04795443432276341, 0.35292098159359, 0.08657678344096532, 10.95457116086164, 0.0010071414066509068
2021bls, 2021bls, 250.836370833333, 61.5948666666667, 0.019, 2458230.8877894, 2460491.8640625, 34.740460034902426, 0.4051867601576854, 2459246.2230852707, 0.28403450541529873, 0.017133842155601486, 0.007460121619612805, 0.13867680340688057, 0.017422443470430836, 10.690134763061476, 0.00042944945706021567
2021zsz, 2021zsz, 92.63880416666666, -14.538880555555556, 0.035746, 2458803.0281134, 2459550.8388079, 36.19689564348685, 0.588926707483196, 2459489.5097569143, 0.1128247423776744, 0.10272974784671264, 0.0518913433304763, 0.3647969240449982, 0.11815911684423226, 10.964851218836822, 0.005379263240545481
2020mfd, 2020mfd, 259.030995833333, 40.7865361111111, 0.048, 2458198.9909722, 2460491.8669444, 36.32590205243361, 0.4441808500555775, 2459015.0813377053, 0.5882847248306157, 0.02245931364785556, 0.00854614976829134, 0.12119784136511644, 0.02241673311821087, 10.501635412079967, 0.0016352035078946753
2023dk, 2023dk, 77.77631949389749, -1.0803024787910513, 0.02844, 2458358.9628588, 2460390.6366782, 35.493525243293945, 0.8701490253871127, 2459957.8953211363, 0.24934510966747708, 0.07828247695353135, 0.036097885798451655, 0.38640596560631574, 0.043766313792719974, 10.658403563986226, 0.0008657073789887531
2020aclx, 2020aclx, 9.47300416666667, -21.4719305555556, 0.06, 2459147.8176852, 2460191.9139352, 37.35831883364866, 0.5459119393350615, 2459198.849449426, 0.3140309993298383, 0.21651426596895737, 0.09249954100532268, 0.6439634742497412, 0.12040352834283417, 10.830670491282186, 0.00202550586383922
2022xkq, 2022xkq, 76.34879317253565, -11.882223304643725, 0.007735, 2458771.994375, 2459968.7214699, 33.25528098297766, 1.1833551839364818, 2459882.353430189, 0.15390401644456986, 0.30356177852457916, 0.25020980340216026, 4.353091338569517, 0.2039733527568686, 0.0, 0.0
2022oux, 2022oux, 334.19412499999993, 86.9324888888889, 0.019, 2459134.9299769, 2460433.9279282, 34.91308444326761, 0.3656035638038206, 2459777.5278980136, 0.4347742988414871, 0.11717801773669814, 0.0294293445509441, 0.4153229943298981, 0.10347910698031186, 10.768114423095657, 0.0017432402130689096
2021bmu, 2021bmu, 19.5190582901647, 14.5536782776485, 0.053, 2458330.9343403, 2459529.764294, 37.58069437731731, 0.9233890423176038, 2459251.2196731535, 0.6132721646022751, 0.21562390317359334, 0.20197615367417976, 2.3905820813688727, 0.157069845646311, 10.270301179807593, 0.004885489470990093
2021cad, 2021cad, 163.939433333333, 24.0276555555556, 0.041546, 2458214.8633796, 2460442.7180787, 37.85042643688252, 0.6460749474770071, 2458825.7564989785, -0.13947811370867536, 0.18810174383461697, 0.13043994052922098, 1.7272373845638331, 0.08144004250922475, 10.358143010854041, 0.0015162175022677541
2021zqs, 2021zqs, 45.880016666666656, 27.682208333333335, 0.036465, 2458505.7290278, 2460250.7161227, 35.83049310056169, 0.4729251470138403, 2459487.397152346, 0.4443795562001204, 0.09763709165905923, 0.0364538594981187, 0.4214254880172081, 0.06796340542916623, 11.368436726427328, 0.0012292703565977665
2023sps, 2023sps, 356.063375, -23.529138888888887, 0.049, 2458334.9602199, 2460253.709456, 36.571088641618864, 0.318777450378443, 2460208.3951677145, 0.10009955125640506, 0.21627901159233726, 0.06209276564198728, 0.3681378990589651, 0.07187394851752536, 10.404162102271735, 0.0019997084090541987
2022fjx, 2022fjx, 160.87567916666663, 19.08300277777778, 0.046, 2458221.7260995, 2460258.0178009, 36.99583443036506, 1.2473434981596474, 2459671.916902542, 0.3336978421941471, 0.06321795028007242, 0.06419284580701827, 1.4738128961685042, 0.0509232679221882, 7.902232705509368, 0.09912341714318443
2022kbc, 2022kbc, 181.1954625, 9.438255555555555, 0.0687, 2458476.9644213, 2460249.0448958, 38.05371726634893, 0.6993338621429662, 2459717.494318953, -0.062384645342276245, 0.2107005078411741, 0.16068578144954326, 1.3440209848306184, 0.24401676046221116, 10.001102966465442, 0.006605906576879489
2021xfm, 2021xfm, 318.75354999999996, 21.91009722222222, 0.04, 2458344.817963, 2460451.8868866, 36.49442923167905, 0.4181819862977321, 2459449.6162481867, 0.42539428358231374, 0.07163322397343022, 0.026620743168682102, 0.3495103151509244, 0.07241093650193338, 10.643884474652957, 0.0019805168293122876
2022xnq, 2022xnq, 1.1623624999999997, -8.099930555555556, 0.0286, 2459467.836713, 2459906.648044, 35.678762406031545, 0.4822926526432869, 2459867.7432355317, 0.8607590776851979, 0.12827955058932983, 0.04896534904196559, 0.6238365536065903, 0.1548825574768808, 11.059889467732273, 0.0005005721852298015
2018jag, 2018jag, 15.9512916666667, 10.5923611111111, 0.04, 2458358.9162384, 2460236.8182639, 36.38001781578695, 0.9185878966223883, 2458454.847999212, 0.6293459623187911, 0.1041835620944848, 0.022206689585968845, 0.4103771516084921, 0.07830015700716561, 11.024363619703006, 0.0011197732616178959
2019be, 2019be, 195.060516666667, 27.9568527777778, 0.02, 2458219.8029745, 2460029.8812153, 39.00882470153796, 1.9980291416303588, 2458558.8622708158, -0.3185452894647343, 0.2672510097866363, 0.20077821383013886, 0.048390553183019616, 0.48151509349863914, 10.757611545644629, 0.00038517114109421353
2023acdv, 2023acdv, 203.18804166666663, -13.047169444444444, 0.023, 2459188.0573611, 2460437.7740741, 35.16307472801803, 0.5825406614435872, 2460317.396632374, 0.12630657140603507, 0.029463461035050015, 0.03270038510683552, 0.11585384963031478, 0.05762243012102512, 0.0, 0.0
2019cdc, 2019cdc, 212.204729166667, 35.6142777777778, 0.02777, 2458226.7965741, 2460433.8622801, 35.582571387655335, 0.6282299598540183, 2458575.705043912, 0.05587902896641738, 0.022869138140977772, 0.010274594995751032, 0.06645682421185344, 0.015733412514113063, 10.584872344449861, 0.0011367594478676015
2019noh, 2019noh, 346.419825, 27.6659805555556, 0.0249, 2458277.9246991, 2460500.9255671, 35.024760520581985, 0.37318150126000327, 2458714.738576944, 0.6921169852077317, 0.049125404089959045, 0.01596584548650833, 0.183206148496502, 0.04246354997745347, 10.77252153435704, 0.0007017531518671983
2021abzd, 2021abzd, 10.8995375, 30.592322222222222, 0.018086, 2458305.9647222, 2460440.9865625, 34.52612818376249, 0.5759536184802568, 2459519.5763264713, 0.08258177547345115, 0.021514126689788804, 0.013225588765745215, 0.109219793773299, 0.021789826132312146, 10.78600418510209, 0.0005559682094218451
2021wzb, 2021wzb, 72.76725099833224, -5.956904257359554, 0.0478, 2458356.0144213, 2460261.9534491, 36.55566251366564, 0.5648132785344678, 2459456.3173907655, 0.22174235585359497, 0.037450478343316704, 0.02325042982526413, 0.2685821489896405, 0.04471045217604775, 11.289712997692881, 0.0007520392347699466
2023fot, 2023fot, 185.44816295200465, 10.59142716377714, 0.026467, 2458205.8171644, 2460126.7009606, 35.69200860271978, 0.43107209260181284, 2460056.7742004935, 0.11121123030699806, 0.05977640885698034, 0.015320050365768898, 0.10092998783265858, 0.024221987227494645, 10.60069767104924, 0.0010828350223605655
2019op, 2019op, 35.4244125, -25.9271527777778, 0.04, 2458488.6670833, 2460196.960463, 36.253618847510815, 0.5527015802020642, 2458497.560752671, 0.19631901971320045, 0.1553718149824578, 0.04174065586032834, 0.3455012778171459, 0.04047890292162116, 8.40685425462122, 0.0035269244904225774
2022bsi, 2022bsi, 228.61520416666664, 50.31702777777778, 0.0369, 2458204.9190856, 2460459.8032986, 40.34147359315965, 0.45171134036183036, 2458588.387657403, -0.8459024821118869, 0.31025140144366475, 0.061596566290401514, 0.8000148897253041, 0.15487099529040177, 8.100583359671944, 0.1587618649984901
2024bjb, 2024bjb, 167.98247973984218, 3.1336757091326715, 0.0298, 2458290.6925, 2460449.7197917, 37.07084377313706, 1.1927596975321948, 2460342.919435832, 0.3210059371338925, 0.18159545034452038, 0.09397987724421938, 1.0487970040662966, 0.08465952756422182, 10.881913964858091, 0.000479011282422774
2020abmg, 2020abmg, 123.852270833333, -6.95770555555556, 0.04, 2458800.0244792, 2460241.9593287, 38.27872869278037, 0.54258553395262, 2459191.1250647553, -0.5969020100344343, 0.11654175747350452, 0.07662005087040305, 0.4967129638042516, 0.0951027718955939, 11.273524100202275, 0.0013318939814542631
2021qqr, 2021qqr, 257.3738166666666, -22.44768611111111, 0.0309549998, 2458302.7803241, 2460477.772419, 35.79501557536171, 0.5908885410421086, 2459392.3953616633, -0.19511919542420691, 0.03692128700628576, 0.024798098892854406, 0.22766041946882318, 0.04878597153736647, 8.573645842354992, 0.09099381995104013
2022abom, 2022abom, 55.288069676415056, -2.848554874720014, 0.036, 2459456.9443981, 2460013.6392593, 36.501741234317784, 1.3001042444464899, 2459923.9972953014, 0.21563098300506925, 0.06555395183545105, 0.05466097718940718, 1.2133435289534364, 0.059436077402104076, 10.316452277637097, 0.0025523463538686332
2021uve, 2021uve, 29.13569565786243, 3.8603580474646884, 0.055, 2458351.9526736, 2460232.9036227, 37.259448701656765, 0.8181476267566028, 2459441.198734906, 0.28282049019591105, 0.059337754939630526, 0.027334561568777158, 0.38986824896433864, 0.040051943574447184, 7.813528673239915, 0.07763466766209964
2022dsu, 2022dsu, 211.3781958333333, 15.720977777777778, 0.07, 2458242.8112731, 2460099.7275, 37.10377931877485, 0.6701830880424252, 2459647.04585632, 0.27770775597406866, 0.15869332795255756, 0.05594730157306087, 0.21142338750088246, 0.04062111733738688, 10.258346269556945, 0.0036019101922798984
2021twa, 2021twa, 32.76211249999999, 36.481725000000004, 0.012128969342354, 2458291.9499306, 2460480.9715046, 36.70064005282198, 0.7147571227306689, 2459911.043022882, 0.0047390255082629005, 0.02723836427381564, 0.011822446902792848, 0.08267007351285804, 0.014089153724253768, 9.602104848459891, 0.0012216131463648687
2022rjs, 2022rjs, 244.12544381213974, 21.25148280005454, 0.037, 2458229.0087963, 2460503.7622222, 35.85957503044001, 0.5750093803220023, 2459816.6114100753, 0.3457822839685989, 0.01864117976997306, 0.009265756602155052, 0.07869710733127888, 0.014270757713739205, 10.48999877821179, 0.0018017453246977574
2022omn, 2022omn, 341.8629958333333, -25.664816666666667, 0.05, 2458789.7097685, 2460201.8021644, 37.158783187994594, 1.0414707471611828, 2459769.76473534, 0.5019513067818213, 0.1793464955084763, 0.0729421708089294, 0.03285879192636568, 0.07089839994380129, 8.002245848661948, 0.06677605996871594
2022xhh, 2022xhh, 64.1733759834313, -12.18359033747551, 0.0315, 2458371.944375, 2460257.8754514, 35.6175649925908, 0.4331650627639243, 2459868.2554193726, 0.23669875339032173, 0.049235699906844184, 0.016808166004201132, 0.17348971933530352, 0.03101230711506327, 10.79645631191364, 0.0017011828138871884
2019cp, 2019cp, 163.708508333333, -7.38100277777778, 0.05, 2458218.7190394, 2458524.9405903, 36.37193878107194, 0.4013201491208613, 2458491.8580765314, 0.3134170535043069, 0.09429378220050373, 0.01839724908861982, 0.19003749433475803, 0.034388453002796394, 10.54711612988143, 0.0023269572276193662
2020abpe, 2020abpe, 24.1023333333333, 22.0498027777778, 0.05, 2458319.9628125, 2460468.970162, 36.591024124386664, 0.6058389417675832, 2459194.096725978, 0.3621803348546385, 0.0362851180307049, 0.01682700442743116, 0.13538204288338726, 0.022487549067857465, 10.649515955931236, 0.0029270517243323553
