# Created by M.D. Woods -- 2024-11-12 11:03:49.089438 -- HUBBLE RESID STD: 0.2538595463702443
# {'z': 0.015, 'c': (0.2, 0.6), 'x1': (-4.5, 4.5), 'c_err': 0.1, 'x1_err': 0.5, 't0_err': 1, 'mu_err': 0.2}
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err, cov00, cov01, cov02, cov03, cov10, cov11, cov12, cov13, cov20, cov21, cov22, cov23, cov30, cov31, cov32, cov33
2004gs, 129.596583, 17.627722, 0.0267, 0.02743521091657417, 53352.85, 53461.56, CSP, 53356.36578071601, 4.506946061155759e-05, 0.0020443699986528387, 3.9017683729122084e-06, -2.032308914174487, 0.010797725424057214, 0.2356948882136261, 0.0016881238245048278, 16.345287221724067, 0.005685966006046852, 10.524491610792518, 0.0008337715580172614, 2.031256496394224e-09, 4.571696577018443e-13, -1.374194871744056e-09, -1.7843311525440063e-10, 4.571696577018443e-13, 1.522379643585798e-11, -1.5043342623745683e-08, -5.084487450042413e-09, -1.374194871744056e-09, -1.5043342623745683e-08, 0.00011659109144968266, 1.0036889295226087e-06, -1.7843311525440063e-10, -5.084487450042413e-09, 1.0036889295226087e-06, 2.849762046860807e-06
2007ca, 202.774208, -15.101833, 0.0141, 0.015735060207281045, 54217.65, 54275.65, CSP, 54228.10598390407, 0.012866123441199306, 0.005916913127928361, 9.648809798686663e-06, 0.7115701076058278, 0.012205846240449514, 0.35740741862265313, 0.001271350311398513, 15.248558136428985, 0.004579953857390281, 9.100726295715653, 0.002123969178416933, 0.00016553713537612613, -3.53325120686859e-08, 2.9646046873043638e-05, 2.885858210467209e-06, -3.53325120686859e-08, 9.309953053123176e-11, -6.56120613623173e-08, -1.0629783692225332e-08, 2.9646046873043638e-05, -6.56120613623173e-08, 0.00014898298450874726, 6.227911453522082e-06, 2.885858210467209e-06, -1.0629783692225332e-08, 6.227911453522082e-06, 1.616331614293096e-06
2009al, 162.841958, 8.578528, 0.0221, 0.023294362161299355, 54891.71, 54973.54, CSP, 54896.99799795559, 0.07213045713069732, 0.005301603621402387, 1.9150272732194885e-05, -0.4874559651050614, 0.022410175087505535, 0.21158698581411525, 0.0024105467779783505, 15.618871884013803, 0.008873500596593085, 10.676596531095123, 0.0005467162453691708, 0.0052028053663819565, -8.678124796204977e-07, -0.0012077866282823558, 6.640349130162706e-05, -8.678124796204977e-07, 3.6673294571744696e-10, 8.018006646388953e-08, -3.6169747429910687e-08, -0.0012077866282823558, 8.018006646388953e-08, 0.0005022193427040845, -1.1736854701987263e-05, 6.640349130162706e-05, -3.6169747429910687e-08, -1.1736854701987263e-05, 5.810735768821807e-06
2006ev, 322.746917, 13.989222, 0.0287, 0.027057648155491495, 53993.59, 54039.52, CSP, 53989.9997328721, 0.07670086455254932, 0.0018943347226685477, 1.209737263037992e-05, -1.3276540554294458, 0.028973079865472817, 0.2139203714474274, 0.003514282996892983, 16.600744422996797, 0.013319151619684886, 10.748696257484479, 0.0007780565778547196, 0.0058830261872115175, -7.429328524361643e-07, -0.0012937355882240847, 0.00013052926496172638, -7.429328524361643e-07, 1.4634642455826517e-10, 4.2514849840605246e-08, -3.580082232246897e-08, -0.0012937355882240847, 4.2514849840605246e-08, 0.0008394494652220356, 8.962669341119045e-06, 0.00013052926496172638, -3.580082232246897e-08, 8.962669341119045e-06, 1.2350184982251127e-05
2006gj, 49.399167, -1.691722, 0.0284, 0.027522378419553843, 53998.83, 54096.59, CSP, 54000.04477064896, 0.05332698499842081, 0.0011163039740233307, 4.637674917607678e-06, -2.351373856548614, 0.02941176566874093, 0.4168419576187793, 0.003651595153463454, 16.413594589181642, 0.012609869485142328, 10.669635209313917, 0.0012479558890463075, 0.002843767766134705, -6.447748022294745e-08, -0.00047864329616319754, -4.52236830338974e-06, -6.447748022294745e-08, 2.1508028641407386e-11, -9.18350870881166e-09, -1.3222070213802165e-08, -0.00047864329616319754, -9.18350870881166e-09, 0.0008650647707890084, -6.110751097197456e-06, -4.52236830338974e-06, -1.3222070213802165e-08, -6.110751097197456e-06, 1.3334147164797785e-05
2007jh, 54.006417, 1.103389, 0.0408, 0.03836771333034954, 54363.86, 54413.8, CSP, 54364.45252253186, 0.11269370124136913, 0.0005521397088803319, 3.4620492633902596e-06, -1.6066417405830857, 0.05347211321121148, 0.40331948503106024, 0.006169886665111615, 17.33216929347329, 0.02124461678005103, 10.963091620417575, 0.0010519692878266553, 0.012699884857873758, -5.9122154197020374e-08, -0.003725198114081328, 2.2617675318352692e-07, -5.9122154197020374e-08, 1.198578510214104e-11, -3.739901406561273e-08, -1.6597373625740577e-08, -0.003725198114081328, -3.739901406561273e-08, 0.002859388455895798, 3.805143157456285e-05, 2.2617675318352692e-07, -1.6597373625740577e-08, 3.805143157456285e-05, 3.806750146032213e-05
2005mc, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, CSP, 53730.68518790677, 0.07945568033392192, 0.002487173202549189, 1.9662067529208068e-05, -2.1831003016274186, 0.015927466708968385, 0.2777652484582651, 0.00331899566046242, 15.983980138798707, 0.013320410168053454, 13.004227849812548, 0.0005277710097430307, 0.006313209775517393, -1.410530860131457e-06, -6.264905561615528e-05, 0.00015932617063504177, -1.410530860131457e-06, 3.8659689952313827e-10, -5.552998176302572e-08, -5.4082840141510324e-08, -6.264905561615528e-05, -5.552998176302572e-08, 0.00025368525595885434, 7.736411865876884e-06, 0.00015932617063504177, -5.4082840141510324e-08, 7.736411865876884e-06, 1.1015732194168376e-05
2006kf, 55.460333, 8.156944, 0.0213, 0.02090716743106265, 54036.81, 54127.64, CSP, 54041.56963337621, 0.020113201269850833, 0.003140985145213509, 7.040419951394734e-06, -2.178588564444184, 0.013911577340777859, 0.24449066990957027, 0.0018475066543965238, 15.830429047116715, 0.006384693510751022, 10.847440404300489, 0.0005624670042569112, 0.0004045408744756671, 3.717957486233658e-08, -0.00013706877895401713, -1.1040257477535562e-05, 3.717957486233658e-08, 4.956751309199703e-11, -5.076447954579341e-08, -1.0885571808502831e-08, -0.00013706877895401713, -5.076447954579341e-08, 0.00019353260053447838, 8.517449855065767e-06, -1.1040257477535562e-05, -1.0885571808502831e-08, 8.517449855065767e-06, 3.4132808380394367e-06
2007hx, 31.612833, -0.899528, 0.0794, 0.07815815296284123, 54354.78, 54411.73, CSP, 54354.7747996948, 0.1920666701371374, 0.0003112083956123925, 2.0506652128775513e-06, 0.4554886952657411, 0.09787797926929243, 0.2015440715218808, 0.0059821257151139945, 18.871460175644977, 0.024356460303387954, 10.947106485783687, 0.006470108825979771, 0.03688971279870797, -1.664214094964456e-07, -0.013551437609352061, 0.00012529567460364485, -1.664214094964456e-07, 4.205227815306132e-12, 1.042944962118198e-09, -8.318343094146742e-09, -0.013551437609352061, 1.042944962118198e-09, 0.009581333031092279, 1.6694070312800466e-05, 0.00012529567460364485, -8.318343094146742e-09, 1.6694070312800466e-05, 3.578582807142812e-05
2007A, 6.319417, 12.886806, 0.0177, 0.01599141880672713, 54107.53, 54133.53, CSP, 54113.68349201693, 0.02810901357952389, 0.006783506271672503, 2.2031023894028906e-05, 0.5238550616770787, 0.04587694062616998, 0.2746277248063708, 0.0026809964911653347, 15.3181236273572, 0.011204140406342997, 6.774565304332999, 0.07187074108120962, 0.0007901167367553305, 7.219138193081863e-08, -0.00034960623150847084, -1.3010723183209852e-05, 7.219138193081863e-08, 4.853660138192726e-10, -7.07307884669981e-07, -5.371563895435948e-08, -0.00034960623150847084, -7.07307884669981e-07, 0.0021047534025980565, 7.933580230463816e-05, -1.3010723183209852e-05, -5.371563895435948e-08, 7.933580230463816e-05, 7.187742185640836e-06
2007mm, 16.444458, -0.758833, 0.0664, 0.06456278748171412, 54385.72, 54418.69, CSP, 54392.54955867706, 0.05166012985864654, 0.00019009128377089858, 1.4763892771044495e-06, -3.4321111849818147, 0.07139606511948426, 0.45901960017719745, 0.006907355424011377, 18.044603070975434, 0.024781685860125673, 9.37688091226328, 0.007453549893324646, 0.0026687698485149173, -7.067671979153033e-09, -8.501087410313849e-05, 2.52201869691074e-05, -7.067671979153033e-09, 2.179725297548999e-12, -4.5606268548804853e-08, -8.426264838307077e-09, -8.501087410313849e-05, -4.5606268548804853e-08, 0.0050980533744372555, 0.00014615769963460947, 2.52201869691074e-05, -8.426264838307077e-09, 0.00014615769963460947, 4.771155895361939e-05
2008C, 104.298042, 20.437139, 0.0166, 0.016903903224004785, 54469.81, 54552.5, CSP, 54467.39380422134, 0.11750586591733736, 0.006943618589042854, 4.4726751753701795e-05, -0.5051782490342127, 0.04406299581348749, 0.2582715990363634, 0.003430480633106142, 15.18409371988552, 0.014102041067540374, 10.028240434860418, 0.0010325410340992131, 0.013807640974481226, -4.220866079576723e-06, -0.0038601363745962985, 0.00014181836772607414, -4.220866079576723e-06, 2.0004823224372663e-09, 7.426688422308483e-07, -1.1549271796054633e-07, -0.0038601363745962985, 7.426688422308483e-07, 0.0019415983819827533, -8.000971587402776e-06, 0.00014181836772607414, -1.1549271796054633e-07, -8.000971587402776e-06, 1.1768197374116315e-05
