reqId,ra,dec,startJD,endJD,created,started,ended,machine,exitcode,lightcurve
1718198,39.595142,-11.7389248,2458216.123,2458450.025,2024-06-05 18:07:01,2024-06-06 6:58:43,2024-06-06 6:59:09,11,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8108/3304ba6baa7588617dd7f9cbd862747c/batchfp_req0001718198_lc.txt
1718199,203.1880694,-13.0471605,2458216.123,2458450.025,2024-06-05 18:07:01,2024-06-06 6:58:47,2024-06-06 6:59:07,7,0,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8108/3304ba6baa7588617dd7f9cbd862747c/batchfp_req0001718199_lc.txt
1718200,97.9791537,35.5565825,2458216.123,2458450.025,2024-06-05 18:07:01,2024-06-06 6:59:08,2024-06-06 7:00:52,7,57,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8108/3304ba6baa7588617dd7f9cbd862747c/batchfp_req0001718200_lc.txt
1718201,214.2615809,10.8219968,2458216.123,2458450.025,2024-06-05 18:07:01,2024-06-06 6:59:10,2024-06-06 7:41:49,11,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8108/3304ba6baa7588617dd7f9cbd862747c/batchfp_req0001718201_lc.txt
1718202,185.4481515,10.5914751,2458216.123,2458450.025,2024-06-05 18:07:01,2024-06-06 6:59:13,2024-06-06 7:00:37,12,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8108/3304ba6baa7588617dd7f9cbd862747c/batchfp_req0001718202_lc.txt
1718203,201.2416019,-24.1807848,2458216.123,2458450.025,2024-06-05 18:07:01,2024-06-06 6:59:32,2024-06-06 6:59:36,10,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8108/3304ba6baa7588617dd7f9cbd862747c/batchfp_req0001718203_lc.txt
1718204,219.5078377,10.1840755,2458216.123,2458450.025,2024-06-05 18:07:01,2024-06-06 6:59:37,2024-06-06 7:00:17,10,0,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8108/3304ba6baa7588617dd7f9cbd862747c/batchfp_req0001718204_lc.txt
1718205,211.3783892,15.7209506,2458216.123,2458450.025,2024-06-05 18:07:01,2024-06-06 6:59:40,2024-06-06 7:00:38,6,0,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8108/3304ba6baa7588617dd7f9cbd862747c/batchfp_req0001718205_lc.txt
1745087,214.2615809,10.8219968,2458194.5,2460468.101,2024-06-06 14:27:19,2024-06-07 14:01:53,2024-06-07 14:21:42,10,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745087_lc.txt
1745088,29.1356962,3.8604084,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:02:04,2024-06-07 14:25:54,14,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745088_lc.txt
1745089,1.1623693,-8.0999267,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:02:13,2024-06-07 14:11:19,12,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745089_lc.txt
1745090,35.424387,-25.927123,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:02:20,2024-06-07 14:06:57,13,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745090_lc.txt
1745091,184.5078288,-20.8576019,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:02:23,2024-06-07 14:05:40,8,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745091_lc.txt
1745092,219.5078377,10.1840755,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:02:26,2024-06-07 14:13:11,8,56,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745092_lc.txt
1745093,178.7942524,-7.8431563,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:02:26,2024-06-07 14:04:53,11,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745093_lc.txt
1745094,356.0632529,-23.5291812,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:02:31,2024-06-07 14:07:58,12,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745094_lc.txt
1745095,194.7234027,28.1269499,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:02:40,2024-06-07 14:13:47,2,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745095_lc.txt
1745096,211.3783892,15.7209506,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:02:55,2024-06-07 14:16:04,11,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745096_lc.txt
1745097,32.76231,36.4817499,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:02:58,2024-06-07 14:24:27,3,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745097_lc.txt
