objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err
2006bd, 174.618583, 20.526222, 0.0257, 0.025660398620783453, 53822.75, 53872.57, CSP, 53810.392280268905, 0.1417983373394236, 0.0012144236013851002, 1.8530835642414478e-05, -1.716150603001807, 0.04464864846680883, 0.3951992931126959, 0.008941717129528527, 35.941646034054145, 0.030862069389668827, 12.327227584343689, 0.0010375416044816365
2007N, 192.255208, -9.452833, 0.0129, 0.015195347623445987, 54123.82, 54213.67, CSP, 54113.0241032369, 0.051206244781496935, 0.0024999103680209155, 1.921465906675755e-05, -2.9930357885059595, 0.016325234088099938, 0.5465739724968736, 0.004874157915976528, 34.56426366889927, 0.016302157831714778, 9.587336481996891, 0.0008157243912581323
2008bt, 162.570333, -12.108889, 0.0154, 0.016446211765812194, 54571.61, 54651.47, CSP, 54568.77543763968, 0.0010825368044606876, 0.003312846286230737, 9.588794435754784e-06, -2.22891911100925, 0.014269430700507346, 0.4385971329948794, 0.0024442578222385962, 34.66314068548539, 0.007837916018525997, 10.724456328263154, 0.0005206097319448586
2019cp, 163.7085070947211, -7.38096439111269, 0.05, 0.051879365434930505, 58486.59136235, 58610.37815865, ATLAS-ZTF, 58492.28640908872, 0.31079080617564614, 0.000256121371195039, 1.0751498996725495e-05, -2.56132705223004, 0.1639545046378943, 0.363571667703476, 0.03480950223912797, 37.61312848377543, 0.11089491635558364, 10.54711612988143, 0.0023269572276193662
2019luv, 328.812516666667, -12.1489944444444, 0.06, 0.05880631497338339, 58429.1904397998, 58812.13802079996, ZTF, 58691.4862426821, 0.31704306017854833, 0.00023593386364644694, 9.212899297043033e-06, -2.5828934346539563, 0.3558876459523228, 0.5173023803049801, 0.029587497578109016, 37.26275787853023, 0.10458661136096481, 9.828101197306356, 0.006206509407890266
2020abpe, 24.102259033033917, 22.049853890014997, 0.05, 0.04819889426180836, 59185.43413395, 59613.26274815, ATLAS-ZTF, 59193.129309339885, 0.20930639627113123, 0.0003247889507641027, 8.89528956738309e-06, -1.9362986451310227, 0.1635665396092878, 0.4008949404322857, 0.0228425069278905, 37.329208132068175, 0.07439088614663639, 10.649515955931236, 0.0029270517243323553
2020acbx, 131.588323927133, -12.656028038917848, 0.051, 0.05259510797396794, 59187.55942165, 59503.64067935, ATLAS-ZTF, 59194.674110483626, 0.37231779259673203, 0.00021395182498241993, 1.128914504091455e-05, -3.1266914342036594, 0.36299079498474507, 0.39344841827788635, 0.04688510712561428, 37.651206551810475, 0.15226027766345457, 10.202182551202336, 0.003249982662315169
2020vae, 270.744675, 52.115075, 0.04846, 0.04783724267661762, 58854.57377310004, 59401.25732639991, ZTF, 59134.46398986039, 0.16962096889983513, 0.00040978621408449534, 1.0783296856661675e-05, -3.254012855626872, 0.24949376987182315, 0.40723262448907094, 0.022872773329435898, 36.89014510856882, 0.0778378761521458, 10.61938683424752, 0.015165662741275331
2021jvp, 215.1956051172468, -19.78613155067654, 0.044, 0.04436986490741191, 59319.52496935, 59624.06991465, ATLAS-ZTF, 59326.94897580982, 0.3369819922845636, 0.0002666726056925585, 1.9738217896176295e-05, -2.3260814668076657, 0.36843685243796365, 0.49176322734659234, 0.05100768142590846, 37.235216232137645, 0.17228443865011997, 10.95457116086164, 0.0010071414066509068
2022rey, 268.3069708333333, 42.788525, 0.04, 0.03925605753464476, 59540.13131939992, 60099.42224540003, ZTF, 59810.84616327616, 0.16858250380755635, 0.00023846622500297716, 6.782888472086211e-06, -3.274464299296076, 0.19118109269514494, 0.5607637417343326, 0.022369604746119775, 37.039171587581606, 0.07477585630793848, 10.665653521436408, 0.0016239326144556986
2022xhh, 64.17339308094819, -12.18356267210426, 0.0315, 0.031030433523826992, 59838.59263395, 60014.10670815, ATLAS-ZTF, 59868.679942727846, 0.0940736198281229, 0.0005654356780591397, 1.5143503935750322e-05, -3.511605815771188, 0.10413172306674401, 0.5634642730863314, 0.020720652759477143, 36.06375443503316, 0.06699677522276107, 10.79645631191364, 0.0017011828138871884
2022zvu, 148.46274583333332, -7.792683333333334, 0.019323, 0.020483170027215395, 59625.31541670021, 60081.21770829987, ZTF, 59897.12828345441, 0.08381796141839004, 0.0014186594782861512, 2.1386485162065028e-05, -2.6460015722388333, 0.08311261510864121, 0.5702336071122387, 0.01089377527151495, 35.15658271096586, 0.03659137659624133, 10.542607440652626, 0.0012099832400037588
2023fwb, 320.9141590918043, 39.58090292249856, 0.027, 0.025053746240515734, 60050.60428095, 60170.48626405, ATLAS-ZTF, 60058.41278005147, 0.15395109309974941, 0.0006753692126041995, 2.7120573642802772e-05, -1.9475229217622514, 0.1803999622087602, 0.39539847281606516, 0.030203200192014338, 36.54853685726196, 0.09897987026764823, 8.083420755485886, 0.029802813525155545
