objname, ra, dec, z, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2006gt, 14.072083, -1.629444, 0.0448, 1001.67, 1076.62, CSP, 36.587237596530855, 0.022116321768083997, 0.5751227069836203, 0.011106444091025191, 1003.9987865305386, 0.0764707112744481, 0.002655085980282388, 0.015361712905235919, 10.111136946318842, 0.0037506224022017622
2006bd, 174.618583, 20.526222, 0.0257, 822.75, 872.57, CSP, 35.239307424059575, 0.12956269129343992, 0.8881247890177237, 0.043817258583887145, 808.6629513259495, 1.9077898694096318, 0.47519220956050584, 0.07179726970501629, 12.327227584343689, 0.0010375416044816365
2008bt, 162.570333, -12.108889, 0.0154, 1571.61, 1651.47, CSP, 34.012847912694426, 0.031053605281425745, 0.502345203524213, 0.01215752236410363, 1572.652161046072, 0.10251667217841166, 0.24191145812162737, 0.019567727403872498, 10.724456328263154, 0.0005206097319448586
2006mr, 50.679333, -37.208222, 0.0059, 1045.86, 1147.57, CSP, 32.00518981225924, 0.049620158038677684, 0.23796045426253545, 0.00496394527685322, 1051.4230620334943, 0.07695088486711257, 0.019241886833586366, 0.020637118392190467, nan, nan
2007ba, 229.177625, 7.396611, 0.0385, 1190.83, 1255.61, CSP, 35.56143946586292, 0.03476224151250005, 0.5490922364231619, 0.010784568061529174, 1198.1050496469477, 0.07207228613473579, 0.1390455290007129, 0.01904516681439877, 11.141102329068884, 0.0008626674562506656
2005ke, 53.768125, -24.944111, 0.0049, 689.69, 819.51, CSP, 31.65793964922458, 0.032244597581719894, 0.47208836341742294, 0.009118976351706306, 699.4440064955696, 0.06607209533347098, 0.3216468824828559, 0.017755340470909733, 9.964494815008727, 0.0001733967672340931
2008bd, 154.597167, -13.103111, 0.0301, 1541.7, 1607.65, CSP, 35.784538205621345, 0.05061268228304371, 0.441036860557924, 0.01675044753572422, 1531.3760459249913, 0.5872751048199432, -0.006588189347681226, 0.028027565836848994, 11.066906876654066, 0.0008724495479113708
2022xnq, 1.1623692719153491, -8.099926680164582, 0.0286, 59864.40824955, 59911.05907035, ATLAS-ZTF, 35.05738021551491, 0.1848439892989108, 0.9020743777184194, 0.07221600334817858, 59868.9695138709, 0.743686429443899, 1.2206695080849201, 0.08693478150042502, 11.059889467732273, 0.0005005721852298015
2021bmu, 19.51915847593583, 14.553705080213907, 0.053, 59231.23734385, 59257.24554225, ATLAS-ZTF, 35.799292295729806, 0.11488954019276762, 0.42484661274892904, 0.02068577486630487, 59248.05665354352, 0.28381518783970106, 0.5870255574975476, 0.044614834684550936, 10.270301179807593, 0.004885489470990093
2021oyx, 358.86536871987545, -34.87484410425709, 0.049921, 59377.58692185, 59465.45057245, ATLAS, 38.7654514908005, 0.3427044260755225, 1.8537699397432355, 0.3331452760386914, 59364.38970111434, 13.146222736777519, -0.9747794973618497, 0.4248208711085249, 10.493743273271779, 0.020040484026090783
