objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, chisquare, chisquare_err, hostMass, hostMass_err
2007ba, 229.177625, 7.396611, 0.0385, 0.038133865739342986, 54190.83, 54255.61, CSP, 35.60979150127269, 0.021490906221177487, 0.5406001683141092, 0.009182732474057721, 54198.11350854937, 0.0641805140361401, 0.16296268649076773, 0.016205311947021624, 217.03344057480678, 3.056809022180377, 11.141102329068884, 0.0008626674562506656
2008bt, 162.570333, -12.108889, 0.0154, 0.016446211765812194, 54571.61, 54651.47, CSP, 34.18111269060493, 0.018549388654019446, 0.4878442267172122, 0.008996624021565126, 54572.72785584305, 0.0800410273435232, 0.243561596161727, 0.01484225305748072, 209.92278273951996, 3.229581272915692, 10.724456328263154, 0.0005206097319448586
2019be, 195.0605280377852, 27.95679209010926, 0.02, 0.02306703697326352, 58483.62853255, 58529.51429045, ATLAS-ZTF, 35.52417078295675, 0.033488733273890535, 0.34506461044583087, 0.008892435602958371, 58488.663986865235, 0.11977924814423023, 0.2945207696808618, 0.0206227688558491, 334.8539527956814, 2.017192486720972, 10.757611545644629, 0.00038517114109421353
2019cp, 163.7085070947211, -7.38096439111269, 0.05, 0.051879365434930505, 58486.59136235, 58610.37815865, ATLAS-ZTF, 36.880084550614995, 0.07279974041173022, 0.4803182509586028, 0.01867119565710136, 58491.90263040575, 0.16993047289804472, 0.1910840696738807, 0.03312566849214217, 201.03033330534663, 0.9014813152706127, 10.54711612988143, 0.0023269572276193662
2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 0.0579716093873729, 58400.27783560008, 58987.46677079983, ZTF, 37.278968351822314, 0.02179243241531981, 0.7388695417002615, 0.012363748939798296, 58695.359439134234, 0.09455737514976047, 0.1546156160240858, 0.014102900856244147, 328.4771883595299, 1.3918524930488556, 10.979192644467481, 0.0047669442378859665
2020vae, 270.744675, 52.115075, 0.04846, 0.04783724267661762, 58854.57377310004, 59401.25732639991, ZTF, 36.464237171911705, 0.04085256339705993, 0.5047133576887215, 0.01756751043326504, 59133.99906617325, 0.15832062592691126, 0.19695727866112053, 0.028418482573986943, 41.196533650653485, 0.6644602201718304, 10.61938683424752, 0.015165662741275331
2021uef, 297.40179583333327, 42.23985277777778, 0.0304, 0.028759726927420775, 59125.12267359998, 59689.47050930001, ZTF, 35.46078008932021, 0.0810549059955542, 0.5233623123089945, 0.027219017442772237, 59431.61856189066, 0.1812735339022277, 0.2758011454393515, 0.03234435048086563, 75.31386837874024, 1.321295936469127, 10.32612457784449, 0.004322392798212673
2022rey, 268.3069708333333, 42.788525, 0.04, 0.03925605753464476, 59540.13131939992, 60099.42224540003, ZTF, 36.61888071723889, 0.06250748561155427, 0.4372843903921762, 0.024762079553749258, 59810.17355648282, 0.24688670224418058, 0.2565322421112994, 0.04919150033105239, 169.69525921738878, 2.2931791786133617, 10.665653521436408, 0.0016239326144556986
2022zvu, 148.46274583333332, -7.792683333333334, 0.019323, 0.020483170027215395, 59625.31541670021, 60081.21770829987, ZTF, 34.91564880919859, 0.034123877036642374, 0.5869404195910862, 0.019055897336945904, 59896.27906140747, 0.2095433138894693, 0.2453128968912344, 0.04003769885122546, 210.04452335540236, 2.9172850466028106, 10.542607440652626, 0.0012099832400037588
2024jhk, 162.8512114449619, 8.558299085325991, 0.02315, 0.02398089196783998, 60452.33804475, 60490.97549505, ATLAS, 35.116919449240136, 0.09265027696752057, 0.39714385323543716, 0.01832750600457972, 60461.12951480467, 0.28353804983171765, 0.2915919915055173, 0.043456743160908806, 64.41924715988596, 1.1503436992836777, 10.717597614530817, 0.0005467162453691708
