objname, ra, dec, z, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2021oyx, 358.86536871987545, -34.87484410425709, 0.049921, 59377.58692185, 59465.45057245, ATLAS, 37.99719097499448, 0.4666457109502696, 1.8535195752561175, 0.33297009053448245, 59364.3979087244, 13.138061009123735, -1.0729763012983402, 0.4674080260196616, 10.493743273271779, 0.020040484026090783
2018jag, 15.951294449789689, 10.592351746809557, 0.04, 58448.37828555, 58492.23770405, ATLAS, 36.82056751194132, 0.13926938788174753, 0.5302888829662071, 0.04976685489429373, 58452.8092032433, 0.3823214071002658, -0.20042194777383326, 0.06338659552756783, 11.024363619703006, 0.0011197732616178959
2023ex, 194.72340272630746, 28.126949858724423, 0.023376, 59957.61866525, 60089.34519645, ATLAS, 36.241490953946226, 0.5307496776243923, 2.519806382732978, 0.2442797844492002, 59963.19281691809, 0.0034219679255236483, -1.6477757190915452, 0.4871791737361348, 9.95839376038976, 0.0018200594393620363
2022aaok, 138.75348383900604, 22.589561981475406, 0.027214, 59896.60439125, 59966.44071105, ATLAS, 36.23879172562042, 0.21702673290558572, 0.4794607090758432, 0.07135747138228614, 59907.5163238427, 0.8301895700357375, -0.060561898399631546, 0.04653842205738903, 10.475026394544468, 0.000842787923706665
2024fid, 186.078606372614, 10.446274608993297, 0.06, 60396.48231675, 60444.91561425, ATLAS, 39.40974678859602, 0.5105426851996443, 0.35724023643958863, 0.14015442503304218, 60417.70620682803, 1.8040252520399553, -2.0392395752064654, 0.16939180368968845, 10.486180726114952, 0.0015869039746378127
2018ame, 227.3563931337691, 25.471542558881964, 0.022, 58177.64533865, 58721.30897305, ATLAS, 37.3631126155931, 0.18893315928044604, 1.3307327274953282, 0.06207270758277017, 58199.17468354102, 2.335859564083659, -0.3432994872177292, 0.16068126887983333, 8.986036224321298, 0.005711110761032731
2023jah, 307.78867051880843, -44.26245447262259, 0.03, 60077.25649245, 60151.28810605, ATLAS, 36.94937029292851, 0.09284980747121004, 1.0308032369496614, 0.04344176677126728, 60090.13158423305, 0.5510419507850619, 0.04877868106036601, 0.060418449493008564, 10.263562418656065, 0.08115201845918558
2022abom, 55.288120413239035, -2.8485375859548903, 0.036, 59907.15666375, 59996.79349255, ATLAS, 37.07468352037397, 0.0828364027180107, 1.1565794642353362, 0.07952056111933094, 59924.25866252589, 1.044200646428025, -0.14589141235780398, 0.053981844202027646, 10.316452277637097, 0.0025523463538686332
2020acbx, 131.588323927133, -12.656028038917848, 0.051, 59187.55942165, 59503.64067935, ATLAS, 37.92485398588138, 2.5357402646882456, 1.967903009965105, 1.7201506814129948, 59175.71494240667, 61.192666375665844, -0.6057360118796641, 2.5342612426541313, 10.202182551202336, 0.003249982662315169
2019cdc, 212.20472173447806, 35.6142343137112, 0.02777, 58558.56347605, 58647.34267315, ATLAS, 36.23161538293065, 0.04717396029712128, 0.6430047771151058, 0.01736101391823641, 58575.10987810098, 0.1310907575116087, -0.31829665968911647, 0.02170929600333732, 10.584872344449861, 0.0011367594478676015
