objname, objname, ra, dec, z, MJDs, MJDe, mu, st, Tmax, EBVhost, mu_err, st_err, Tmax_err, EBVhost_err, host_mass, host_mass_err
2023bhm, 2023bhm, 70.72920636772062, 0.6183744592240744, 0.015419, 59976.83921515, 60044.99866465, 34.43670983185497, 0.8999903627806135, 59992.22870528094, -0.20121730751537312, 0.05363478129623657, 0.02769965686166414, 0.12681734522957896, 0.026059998156900698, 10.944880130229151, 0.0007042302707270253
2021diu, 2021diu, 240.66641094775812, 15.76214896375523, 0.037372, 59267.54879655, 59347.47490155, 37.29834469751029, 0.5043359141858547, 59269.08081143267, -0.12882864816450035, 0.9240063041110516, 0.36019849372307366, 2.6420756675945216, 0.3393609823551761, 10.646105484522206, 0.0012154080245486674
2023cvq, 2023cvq, 129.54407756604917, 25.101520167165358, 0.0286, 59998.33307715, 60047.36043675, 37.46384841255694, 1.0981685873952207, 60011.90262655569, 0.34176860512707286, 0.4126913110832889, 0.26993473939757895, 3.672008335375742, 0.35412586955694664, 10.547609098927339, 0.0009310322625326865
2023mkp, 2023mkp, 204.8457138175562, 51.04977363195092, 0.015293, 60106.33883255, 60172.27178905, 35.9430214520347, 0.4985871114670011, 60131.721508578485, -0.3631550879203838, 0.23933652898264482, 0.07009078620007979, 0.5286401878434042, 0.07188805195631816, 10.235440101474703, 0.0009147764240383092
2021pom, 2021pom, 184.5078288184616, -20.85760188127875, 0.032269, 59373.29040705, 59560.64036735, 37.48371976450004, 0.8926681872853005, 59383.80333455352, 0.012238820691983489, 0.2776781045936811, 0.15274312596549947, 0.3836184895290697, 0.10767303764871859, 10.663880527855868, 0.000928960190165358
2022ubt, 2022ubt, 289.1201163647384, 41.889354239490345, 0.052, 59833.34053935, 59843.35851895, 37.87863779814834, 0.9584253195153538, 59843.60137959807, -0.0523010604839444, 0.13597615816327954, 0.6965680067931662, 5.399449987642571, 0.28535683427225383, 10.387851541544412, 0.0032791740061456085
2021jbp, 2021jbp, 201.24160193091643, -24.180784840289967, 0.042, 59305.54117615, 59661.26071985, 37.6763251425609, 1.071666375364688, 59317.43234017231, -0.09717042530815287, 0.15241164268306187, 0.07002411075432606, 0.6876994949975748, 0.08202631649726591, 0.0, 0.0
2022aecb, 2022aecb, 74.75937846380604, -0.4419266446851301, 0.015, 59935.17999835, 60000.27427125, 34.66842614987539, 0.34882744224518886, 59942.18840286133, 0.3326148094430937, 0.20107685070523923, 0.028024618323006692, 0.2720325345576937, 0.10215713293748692, 9.343034383797137, 0.0029055562056948775
2021agej, 2021agej, 22.491984809554648, 19.43918211115813, 0.04, 59557.27892655, 59615.23565325, 37.96871204298962, 1.0574187280140341, 59589.95931111205, -0.12027476619735694, 0.213810325977793, 0.13056697274246348, 1.3194759961086318, 0.1757157953174615, 10.009293562787725, 0.0023065127158425625
2023fwb, 2023fwb, 320.9141590918043, 39.58090292249856, 0.027, 60050.60428095, 60170.48626405, 35.81776638037461, 0.43433758088536645, 60058.545538105274, -0.3305346185532644, 0.1413369178453036, 0.03474307358651708, 0.3318596277906836, 0.05666453714961626, 8.083420755485886, 0.029802813525155545
2023abdv, 2023abdv, 17.78523155404982, -13.944130611739116, 0.052, 60296.79734775, 60342.04917965, 37.65801186475368, 1.4189862344785649, 60307.34834763754, -0.0742805840156907, 0.16128522809073947, 0.15043454899754505, 2.4628549126197807, 0.1462786906376127, 9.106052225138164, 0.04069200151682838
2023vjh, 2023vjh, 60.663261124483185, 25.233542294649613, 0.019, 60235.49047755, 60287.42146725, 35.62126303113099, 0.387129538723212, 60245.21203742032, -0.2416041617066729, 0.10264913707935704, 0.023112075712343066, 0.2675261915597577, 0.0808001580091316, 10.650404500305129, 0.002056533560023752
2020acoo, 2020acoo, 145.30888148708254, 26.088601383976407, 0.044125, 59193.56125295, 59231.46868865, 38.30661650608373, 1.1891542511868267, 59201.94291859432, -0.40221433193329936, 0.22667447313760125, 0.19957383263314873, 0.6866565189813885, 0.1418222853879958, 10.685674382711474, 0.0012919791233251478
2022ywc, 2022ywc, 50.55047833824845, -42.884710249173125, 0.058, 59880.12562455, 59960.08117665, 37.90994761008528, 1.5722739231436946, 59888.57953435952, -0.4818099999326373, 0.10284711002601428, 0.05358644805763835, 0.6033238308617613, 0.05741614052984623, 10.869728464626363, 0.12569287012396524
2022aaok, 2022aaok, 138.75348383900604, 22.589561981475406, 0.027214, 59896.60439125, 59966.44071105, 36.23879172562042, 0.4794607090758432, 59907.5163238427, -0.060561898399631546, 0.21702673290558572, 0.07135747138228614, 0.8301895700357375, 0.04653842205738903, 10.475026394544468, 0.000842787923706665
2021fnr, 2021fnr, 219.50783765468793, 10.184075515070733, 0.026949, 59287.61540915, 59336.39578095, 36.30979403391335, 0.5137064520670186, 59294.10749428722, 0.11819785004967233, 0.10346083860007027, 0.04780630249474714, 0.29175534143534154, 0.07830423023937128, 10.287436116011223, 0.0011406832616291658
2023jah, 2023jah, 307.78867051880843, -44.26245447262259, 0.03, 60077.25649245, 60151.28810605, 36.94937029292851, 1.0308032369496614, 60090.13158423305, 0.04877868106036601, 0.09284980747121004, 0.04344176677126728, 0.5510419507850619, 0.060418449493008564, 10.263562418656065, 0.08115201845918558
2023omo, 2023omo, 214.2615808939578, 10.821996814290793, 0.025, 60157.79229395, 60170.98151945, 36.5488587553595, 0.23110887457497858, 60155.88334754431, -0.6796910651987074, 0.21989421133757714, 0.04083424899182064, 0.6432626747859678, 0.30358505440174877, 8.532431636705489, 0.2057674662995307
2021jvp, 2021jvp, 215.1956051172468, -19.78613155067654, 0.044, 59319.52496935, 59624.06991465, 37.11887142763758, 0.49354911274857627, 59327.05781780902, -0.09937698950466857, 0.20728063284426027, 0.05184985522681656, 0.5050558891605302, 0.11972703591546134, 10.95457116086164, 0.0010071414066509068
2021bls, 2021bls, 250.83634089611053, 61.594851830280966, 0.019, 59238.63045375, 59298.56669435, 35.04404484823891, 0.3357752880390644, 59246.96881185698, -0.08807995701613883, 0.4755161275570416, 0.08825647461072167, 0.5604340085979993, 0.07987301050238439, 10.690134763061476, 0.00042944945706021567
2020mfd, 2020mfd, 259.0307883569117, 40.786711283988375, 0.048, 59010.44736155, 59062.36462975, 38.261577861522646, 1.102593118265088, 59015.19644501479, 0.14222784681282027, 0.386221708783047, 0.32665987214761655, 3.0865592443149565, 0.2218026404820844, 10.501635412079967, 0.0016352035078946753
2021oyx, 2021oyx, 358.86536871987545, -34.87484410425709, 0.049921, 59377.58692185, 59465.45057245, 37.99719097499448, 1.8535195752561175, 59364.3979087244, -1.0729763012983402, 0.4666457109502696, 0.33297009053448245, 13.138061009123735, 0.4674080260196616, 10.493743273271779, 0.020040484026090783
2023ex, 2023ex, 194.72340272630746, 28.126949858724423, 0.023376, 59957.61866525, 60089.34519645, 36.241490953946226, 2.519806382732978, 59963.19281691809, -1.6477757190915452, 0.5307496776243923, 0.2442797844492002, 0.0034219679255236483, 0.4871791737361348, 9.95839376038976, 0.0018200594393620363
2021agnf, 2021agnf, 97.9791536881518, 35.55658245184793, 0.027, 59571.58672475, 59616.34750125, 35.917615898001436, 0.41886483719910556, 59573.74861483333, -0.30189963178447476, 0.28441031428976504, 0.0697952177700141, 0.38124010910774764, 0.2132103160780698, 10.947190900139208, 0.002397489194073335
2022xkq, 2022xkq, 76.3487977104891, -11.882253212859856, 0.007735, 59866.60842465, 60014.12444225, 33.12791709090213, 0.5675326634475042, 59878.97340154963, -0.28128433200259256, 0.022328312822334086, 0.007211102590392156, 0.05901857803413419, 0.01078745086405827, 0.0, 0.0
2020dq, 2020dq, 195.07903069437515, -33.62975678539297, 0.046, 58849.62279855, 58883.54786355, 37.354188472568666, 0.8262203858413468, 58861.67643811408, 0.42868634412088247, 0.19637844279336883, 0.12031092501739983, 0.500012563986996, 0.21481279920663676, 10.528831978885831, 0.0359032951134015
2022oux, 2022oux, 334.1940942600142, 86.93250326590747, 0.019, 59773.48685265, 59811.56165795, 36.16229588370015, 1.323471341616771, 59774.52789300195, 0.7201011256991775, 0.24573844192710617, 0.3045013235190618, 5.807844852565272, 0.2765590325587251, 10.768114423095657, 0.0017432402130689096
2021zqs, 2021zqs, 45.879972978556346, 27.68219875824718, 0.036465, 59485.61957435, 59529.44588875, 37.89012871558549, 1.3692299128324965, 59497.94620613658, 0.11727561788182857, 0.6215045953931342, 0.1534158351421169, 0.00033127949941994927, 0.48945759775638203, 11.368436726427328, 0.0012292703565977665
2024fid, 2024fid, 186.078606372614, 10.446274608993297, 0.06, 60396.48231675, 60444.91561425, 39.40974678859602, 0.35724023643958863, 60417.70620682803, -2.0392395752064654, 0.5105426851996443, 0.14015442503304218, 1.8040252520399553, 0.16939180368968845, 10.486180726114952, 0.0015869039746378127
2018jag, 2018jag, 15.951294449789689, 10.592351746809557, 0.04, 58448.37828555, 58492.23770405, 36.82056751194132, 0.5302888829662071, 58452.8092032433, -0.20042194777383326, 0.13926938788174753, 0.04976685489429373, 0.3823214071002658, 0.06338659552756783, 11.024363619703006, 0.0011197732616178959
2019be, 2019be, 195.0605280377852, 27.95679209010926, 0.02, 58483.62853255, 58529.51429045, 36.10696831587911, 0.3925583159531347, 58488.894536021464, 0.025562748041565792, 0.11076254525224158, 0.024479075923559385, 0.34484907074835414, 0.046466546914818926, 10.757611545644629, 0.00038517114109421353
2023acdv, 2023acdv, 203.1880694320544, -13.047160534577925, 0.023, 60306.59172345, 60444.78292425, 35.505464561846686, 0.4913171118307463, 60315.75872438608, -0.32176572853719343, 0.04630165647324666, 0.017869741244235102, 0.23703265986481206, 0.05363253548105832, 0.0, 0.0
2019cdc, 2019cdc, 212.20472173447806, 35.6142343137112, 0.02777, 58558.56347605, 58647.34267315, 36.23161538293065, 0.6430047771151058, 58575.10987810098, -0.31829665968911647, 0.04717396029712128, 0.01736101391823641, 0.1310907575116087, 0.02170929600333732, 10.584872344449861, 0.0011367594478676015
