#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
01a59696o0314o,170.4280907,34.3583146,>19.816768868146276,0.0,1.98,o,22.194,59696.36994185,1216.86,9965.25,226.0,181.2,16.6,8.4,180.2,-825.6,497.4,1.55,2.69,2.53,1.0,3.0,-0.4837,28.29695046168057,14.31893878783836,19.38,30.0
01a59696o0345o,170.4280907,34.3583146,>20.23,0.0,3.0,o,22.192,59696.38446895,1240.22,10006.9,189.0,180.8,6.1,8.7,180.9,-1650.8,617.7,1.01,2.73,2.57,1.0,3.0,-0.4772,10.675404767278865,15.225577291037068,19.35,30.0
01a59696o0379o,170.4280907,34.3583146,>19.72527032513591,0.0,2.67,o,22.19,59696.40058255,1181.38,9930.58,214.0,180.0,23.0,8.6,178.0,-1207.7,599.0,1.14,2.79,2.62,1.0,3.0,-0.4697,41.72458981209574,15.601368364522756,19.33,30.0
01a59696o0390o,170.4280907,34.3583146,>20.18,0.0,3.0,o,22.188,59696.40583255,1165.02,10048.1,152.0,179.8,-9.1,9.1,177.9,-1618.0,657.5,0.83,2.71,2.57,1.0,3.0,-0.4787,-15.889219032041686,15.889219032041686,19.34,30.0
02a59697o0197c,170.4280907,34.3583146,>20.19,0.0,3.0,c,21.757,59697.32024035,5745.4,7173.58,195.0,180.4,7.0,8.0,181.2,665.1,566.5,0.91,2.41,2.2,1.0,3.0,-0.4187,13.094728810458022,14.965404354809168,19.21,30.0
02a59697o0205c,170.4280907,34.3583146,>19.12,0.0,3.0,c,20.895,59697.32391615,5726.52,7139.32,200.0,178.0,-1.8,9.0,177.4,-494.6,592.9,0.86,2.51,2.27,1.0,3.0,-0.4097,-7.93836071357306,39.69180356786529,18.25,30.0
02a59697o0216c,170.4280907,34.3583146,>19.862699883134102,0.0,1.83,c,21.831,59697.32906755,5783.7,7216.16,203.0,179.2,13.9,7.6,178.8,875.9,493.2,0.88,2.47,2.23,1.0,3.0,-0.4127,25.0943159595952,13.72063318654126,19.3,30.0
02a59697o0241c,170.4280907,34.3583146,>20.222838527759734,0.0,2.28,c,22.12,59697.34103365,5801.12,7100.75,189.0,179.6,16.2,7.1,182.9,2588.4,499.1,1.55,2.47,2.23,1.0,3.0,-0.4147,22.45306202819659,9.840539530876283,19.61,30.0
02a59698o0326c,170.4280907,34.3583146,>20.16,0.0,3.0,c,21.753,59698.39873135,5824.54,9117.29,173.0,181.6,-1.4,7.0,180.0,420.0,429.1,1.09,2.64,2.34,1.0,3.0,-0.3957,-2.998517344102343,14.992586720511719,19.17,30.0
02a59698o0338c,170.4280907,34.3583146,>19.7644379497345,0.0,2.88,c,21.789,59698.40423415,5804.86,9078.51,182.0,180.1,21.0,7.3,178.8,603.1,532.4,1.3,2.64,2.32,1.0,3.0,-0.4017,43.37804268500323,15.07903388573922,19.23,30.0
