2024xhf 0.04 47.704837 -0.356931
filter ATgr
60695.080505 20.808 0.636
60695.092487 19.786 0.239
60695.095645 20.629 0.598
60695.101998 20.475 0.437
60696.307086 21.161 0.848
60696.315859 19.516 0.182
60699.041006 20.305 0.448
60700.292027 -18.001 0.436
60703.036836 20.24 0.514
60703.039993 20.269 0.55
60703.04589 19.657 0.242
60704.346078 18.558 0.588
60707.037489 20.625 0.569
60707.041122 20.624 0.59
60707.047491 20.31 0.435
60708.278527 20.566 0.729
filter ATri
60682.282505 19.32 0.21
60682.285722 19.34 0.219
60682.292609 19.507 0.225
60682.304623 19.872 0.329
60683.048985 19.493 0.453
60683.055358 19.486 0.441
60687.061051 19.611 0.589
60687.090345 19.194 0.607
60688.342805 19.721 0.793
60688.346945 -16.881 0.609
60688.845228 19.376 0.526
60690.331231 19.292 0.273
60690.334432 19.186 0.278
60690.344202 20.427 0.829
60690.354392 19.668 0.402
60691.108026 19.398 0.515
60691.118043 18.651 0.348
60691.128051 19.501 0.652
60692.213992 19.299 0.224
60692.217639 20.552 0.693
60692.228559 20.072 0.441
60692.849199 20.698 0.992
60692.852372 19.711 0.382
60692.859626 19.946 0.49
60692.889977 19.217 0.288
60694.379436 19.751 0.392
60694.418122 19.991 0.561
60696.888226 19.662 0.359
60696.905545 19.038 0.222
60696.914415 19.702 0.446
60698.281409 20.285 0.362
60698.285071 19.801 0.21
60698.290571 19.997 0.305
60698.302232 20.212 0.356
60700.795845 19.957 0.344
60700.799479 19.277 0.196
60700.805852 19.743 0.25
60700.821237 19.883 0.306
60704.784844 -20.002 0.531
60704.788469 19.762 0.349
