2008bt 0.0154 162.57033 -12.10889
filter B
54571.61 16.959 0.009
54572.68 16.951 0.011
54575.69 17.138 0.013
54578.64 17.55 0.011
54582.66 18.261 0.016
54589.62 18.99 0.022
54591.59 19.097 0.021
54597.62 19.46 0.026
54606.53 19.787 0.087
54618.53 19.994 0.041
54624.56 20.137 0.044
54630.54 20.143 0.089
54644.52 20.469 0.074
filter H
54598.64 17.385 0.096
filter J
54593.64 17.228 0.036
filter V
54571.61 16.518 0.006
54572.68 16.463 0.007
54575.69 16.439 0.008
54578.64 16.582 0.007
54582.66 17.014 0.009
54589.62 17.669 0.01
54591.59 17.837 0.014
54597.62 18.225 0.008
54606.53 18.593 0.024
54618.53 19.026 0.024
54624.56 19.191 0.025
54630.54 19.307 0.035
54644.52 19.678 0.045
54651.47 19.99 0.031
filter Y
54593.64 16.529 0.026
54593.64 16.48 0.021
54598.64 16.829 0.018
54598.63 16.847 0.017
54627.53 18.424 0.053
filter g
54571.61 16.68 0.006
54572.68 16.645 0.006
54575.69 16.742 0.007
54578.64 17.07 0.008
54582.66 17.712 0.009
54589.62 18.46 0.014
54591.59 18.567 0.015
54597.62 18.933 0.014
54606.53 19.264 0.028
54618.53 19.514 0.023
54624.56 19.648 0.025
54630.54 19.708 0.041
54644.52 20.059 0.039
54651.47 20.295 0.032
filter i
54571.61 16.494 0.007
54572.68 16.472 0.008
54575.69 16.492 0.01
54578.64 16.598 0.02
54582.66 16.731 0.01
54589.62 17.045 0.01
54591.59 17.154 0.012
54597.62 17.742 0.013
54606.53 18.268 0.019
54618.53 18.784 0.026
54624.56 19.064 0.03
54630.54 19.298 0.044
54644.52 19.658 0.052
54651.47 19.912 0.051
filter r
54571.61 16.378 0.007
54572.68 16.313 0.007
54575.69 16.248 0.008
54578.64 16.338 0.011
54582.66 16.614 0.01
54589.62 17.144 0.009
54591.59 17.305 0.014
54597.62 17.842 0.011
54606.53 18.334 0.017
54618.53 18.833 0.017
54624.56 19.09 0.024
54630.54 19.267 0.029
54644.52 19.92 0.044
54651.47 20.176 0.041
filter u
54571.61 18.162 0.029
54572.68 18.197 0.034
54575.69 18.694 0.073
54578.64 19.135 0.056
54582.66 19.901 0.064
54589.62 20.532 0.117
54591.59 20.573 0.095
54597.62 20.834 0.113
