2005A 0.0191 37.68021 -2.93883
filter B
53376.65 18.404 0.013
53377.62 18.376 0.013
53380.59 18.317 0.016
53381.59 18.349 0.014
53383.63 18.423 0.016
53385.58 18.496 0.015
53386.59 18.559 0.015
53387.62 18.612 0.022
53389.55 18.807 0.028
53390.55 18.914 0.029
53391.62 18.978 0.036
53394.56 19.328 0.05
53396.54 19.654 0.05
53397.54 19.739 0.048
53400.6 19.867 0.032
53404.61 20.265 0.03
53407.56 20.571 0.116
filter H
53385.56 16.795 0.054
53386.6 16.837 0.054
53386.6 16.816 0.054
53387.6 16.817 0.056
53387.61 16.866 0.057
53389.55 16.903 0.054
53389.55 16.973 0.054
53398.57 16.544 0.048
53398.58 16.53 0.048
53404.59 16.413 0.057
53404.59 16.376 0.057
53418.55 16.958 0.057
53418.56 16.981 0.057
53433.52 17.691 0.073
53433.53 17.768 0.077
filter J
53385.56 16.984 0.045
53385.57 16.942 0.045
53386.6 17.102 0.045
53386.6 17.136 0.045
53387.6 17.312 0.046
53387.61 17.304 0.046
53389.55 17.728 0.047
53389.55 17.642 0.048
53398.57 17.636 0.015
53398.58 17.596 0.016
53404.59 17.198 0.048
53404.59 17.137 0.048
53418.55 17.752 0.051
53422.52 18.081 0.055
filter V0
53376.65 17.45 0.01
53377.62 17.366 0.01
53381.59 17.283 0.013
53383.63 17.306 0.01
53385.58 17.334 0.011
53386.59 17.413 0.013
53387.62 17.449 0.012
53389.55 17.557 0.017
53390.55 17.612 0.017
53391.62 17.699 0.018
53394.56 17.885 0.018
53396.54 17.995 0.015
53398.58 18.09 0.02
53399.58 18.131 0.014
53400.6 18.158 0.017
53404.61 18.382 0.017
53406.59 18.538 0.02
53407.56 18.635 0.021
53408.57 18.709 0.021
53409.56 18.798 0.022
53410.55 18.853 0.018
53411.57 18.87 0.033
53412.56 18.961 0.026
53414.57 19.055 0.026
53415.57 19.029 0.023
53416.57 19.185 0.029
53418.56 19.231 0.027
53420.57 19.366 0.066
filter Ydw
53385.56 17.139 0.034
53385.57 17.127 0.035
53386.6 17.185 0.034
53386.6 17.192 0.035
53387.6 17.213 0.035
53387.61 17.179 0.035
53389.55 17.216 0.035
53389.55 17.28 0.036
53398.57 16.715 0.033
53398.58 16.747 0.033
53404.59 16.268 0.034
53404.59 16.289 0.034
53433.52 17.502 0.056
53433.53 17.467 0.056
filter g
53376.65 17.991 0.01
53377.62 17.948 0.009
53380.59 17.879 0.012
53381.59 17.884 0.01
53383.63 17.905 0.01
53384.58 17.92 0.022
53385.58 17.961 0.01
53386.59 18.006 0.011
53387.62 18.069 0.012
53390.55 18.342 0.032
53391.62 18.363 0.02
53394.56 18.656 0.025
53396.54 18.777 0.027
53397.54 18.853 0.022
53398.58 19.0 0.02
53399.58 19.035 0.019
53404.61 19.49 0.024
53406.59 19.663 0.03
53407.56 19.778 0.036
53408.57 19.891 0.028
53409.56 19.957 0.03
53410.55 20.011 0.031
53411.57 20.134 0.036
53412.56 20.088 0.035
53414.57 20.138 0.035
53415.57 20.214 0.061
53429.55 20.51 0.037
53432.52 20.508 0.051
filter i
53376.65 17.156 0.01
53377.62 17.179 0.011
53380.59 17.17 0.014
53381.59 17.203 0.011
53383.63 17.236 0.013
53385.58 17.306 0.009
53386.59 17.346 0.013
53387.62 17.439 0.012
53389.55 17.6 0.017
53390.55 17.642 0.012
53391.62 17.66 0.015
53396.54 17.555 0.011
53397.54 17.534 0.01
53398.58 17.524 0.011
53399.58 17.48 0.011
53400.6 17.446 0.012
53404.61 17.362 0.01
53406.59 17.372 0.01
53407.56 17.438 0.011
53408.57 17.509 0.013
53409.56 17.582 0.015
53411.57 17.713 0.014
53412.56 17.861 0.014
53413.56 17.847 0.022
53414.57 17.965 0.015
53415.57 18.04 0.015
53416.57 18.081 0.018
53418.56 18.172 0.02
53420.57 18.208 0.019
53425.55 18.467 0.03
53427.56 18.499 0.036
53429.55 18.607 0.026
53432.52 18.734 0.021
filter r
53376.65 16.971 0.009
53377.62 16.927 0.009
53380.59 16.828 0.009
53381.59 16.836 0.01
53383.63 16.867 0.009
53385.58 16.922 0.008
53386.59 16.985 0.013
53387.62 17.053 0.009
53389.55 17.188 0.013
53390.55 17.264 0.01
53391.62 17.307 0.01
53394.56 17.397 0.011
53397.54 17.424 0.01
53398.58 17.425 0.011
53399.58 17.428 0.009
53400.6 17.413 0.01
53404.61 17.56 0.01
53406.59 17.699 0.01
53407.56 17.767 0.016
53408.57 17.854 0.013
53409.56 17.949 0.011
53410.55 18.027 0.015
53411.57 18.07 0.013
53412.56 18.165 0.013
53413.56 18.222 0.025
53414.57 18.253 0.015
53415.57 18.276 0.015
53416.57 18.359 0.016
53418.56 18.441 0.013
53420.57 18.483 0.018
53425.55 18.674 0.028
53429.55 18.787 0.018
53432.52 18.876 0.016
