2020hvy 0.0678 212.28499145 65.8019359
filter ATri
60687.55284 -19.277 0.595
60687.624776 -19.441 0.403
60687.62755 -19.147 0.357
60691.594507 -19.554 0.366
60691.598178 20.066 0.634
60691.603645 19.953 0.466
60691.626976 20.308 0.698
60693.565679 20.506 0.745
60693.575395 20.286 0.619
60693.586591 20.499 0.763
60695.540148 -19.713 0.311
60695.548405 -19.447 0.251
60695.586493 -19.632 0.27
60697.483596 -20.053 0.475
60697.488287 -20.214 0.545
60697.49289 -20.808 0.899
60697.497083 -19.861 0.372
60697.507837 -20.559 0.581
60699.60336 -19.824 0.294
60699.632532 -20.205 0.376
60709.557053 -19.612 0.258
60709.559835 -20.664 0.642
60710.481229 -19.898 0.363
60710.487311 -20.459 0.62
60710.488758 -20.681 0.767
60710.492134 -19.199 0.202
60710.497595 -19.658 0.298
60710.505571 20.67 0.661
60711.456802 -19.925 0.444
60711.461851 -20.61 0.735
60711.489096 -19.721 0.358
60711.496033 -19.977 0.359
60711.500689 20.579 0.842
