2024anm 0.029 247.153583 40.933911
filter ATri
60683.652044 21.145 0.845
60683.667348 -20.247 0.621
60687.615384 -19.759 0.928
60687.619269 19.226 0.485
60691.618133 -20.407 0.893
60691.621396 19.989 0.47
60691.638861 -20.139 0.57
60693.642022 -20.794 0.914
60693.665255 -20.567 0.783
60693.668473 -20.164 0.596
60695.666713 -19.995 0.468
60697.588221 19.751 0.525
60697.632392 -19.852 0.319
60699.639911 -21.053 0.854
60699.662526 -21.116 0.99
60699.664788 -21.004 0.827
60709.652985 20.684 0.6
60709.666197 -20.685 0.917
60710.567754 20.563 0.651
60711.574144 -20.093 0.467
60711.578511 -20.701 0.787
