2008gg 0.032 21.346 -18.17244
filter B
54753.63 16.687 0.009
54755.71 16.784 0.008
54756.65 16.843 0.008
54759.69 17.085 0.009
54760.68 17.162 0.006
54765.74 17.688 0.008
54766.75 17.769 0.008
54768.64 17.966 0.009
54770.63 18.169 0.011
54772.71 18.355 0.011
54776.68 18.684 0.014
54777.66 18.751 0.017
54779.66 18.974 0.021
54781.65 19.037 0.036
54783.7 19.179 0.043
54785.65 19.333 0.164
54786.66 19.311 0.034
54790.66 19.502 0.016
54797.67 19.636 0.018
54803.69 19.696 0.017
54807.62 19.744 0.03
54810.62 19.777 0.045
54814.61 19.809 0.047
54818.61 19.867 0.021
54824.64 19.92 0.024
54827.57 19.98 0.02
filter H
54769.72 17.886 0.112
54769.73 17.962 0.111
54775.71 17.819 0.096
54775.72 17.649 0.082
54778.75 17.522 0.084
54778.75 17.729 0.106
54787.71 17.514 0.166
54787.72 17.928 0.166
54791.65 17.968 0.116
54791.65 17.834 0.107
54756.69 17.667 0.022
54756.7 17.7 0.021
54758.58 17.836 0.035
54758.59 17.895 0.036
filter J
54769.72 18.82 0.116
54769.73 18.769 0.117
54775.71 18.384 0.096
54778.75 18.406 0.09
54778.75 18.262 0.082
54787.71 18.318 0.084
54791.65 18.624 0.105
54799.65 18.871 0.144
54756.69 17.686 0.016
54756.7 17.652 0.016
54758.58 17.912 0.02
54758.59 17.935 0.02
filter V
54753.63 16.56 0.007
54755.71 16.588 0.009
54756.65 16.603 0.008
54759.69 16.732 0.007
54760.68 16.796 0.006
54765.74 17.111 0.007
54766.75 17.166 0.007
54768.64 17.271 0.008
54770.63 17.366 0.007
54772.71 17.465 0.009
54776.68 17.66 0.008
54777.66 17.716 0.008
54779.66 17.84 0.012
54781.65 17.951 0.013
54783.7 18.071 0.016
54785.65 18.171 0.059
54786.66 18.298 0.013
54790.66 18.506 0.011
54797.67 18.743 0.013
54803.69 18.873 0.015
54807.62 19.012 0.022
54810.62 18.986 0.026
54814.61 19.132 0.029
54818.61 19.223 0.018
54824.64 19.335 0.02
54827.57 19.407 0.02
filter Y
54764.64 18.063 0.076
54764.65 17.905 0.062
54769.72 17.749 0.028
54769.73 17.795 0.029
54775.71 17.371 0.02
54775.72 17.455 0.02
54778.75 17.24 0.018
54778.75 17.211 0.02
54787.71 17.093 0.017
54787.72 17.088 0.021
54791.65 17.344 0.021
54791.65 17.323 0.022
54799.65 17.752 0.029
54799.65 17.747 0.032
54811.59 18.505 0.044
54811.6 18.455 0.061
54815.63 18.71 0.071
54816.63 18.698 0.073
54816.64 18.67 0.06
54822.58 19.106 0.098
filter Ydw
54756.69 17.797 0.017
54756.7 17.798 0.016
54758.58 18.01 0.019
54758.59 17.981 0.018
filter g
54753.63 16.549 0.006
54755.71 16.629 0.006
54756.65 16.671 0.007
54759.69 16.859 0.007
54760.68 16.935 0.005
54765.74 17.37 0.007
54766.75 17.439 0.006
54768.64 17.602 0.008
54770.63 17.785 0.008
54772.71 17.963 0.008
54776.68 18.296 0.009
54777.66 18.367 0.009
54779.66 18.513 0.013
54781.65 18.646 0.019
54783.7 18.8 0.021
54785.65 18.892 0.032
54786.66 18.956 0.017
54790.66 19.169 0.01
54797.67 19.298 0.011
54803.69 19.371 0.011
54807.62 19.422 0.02
54810.62 19.412 0.028
54814.61 19.505 0.025
54818.61 19.539 0.012
54824.64 19.621 0.014
54827.57 19.623 0.013
filter i
54753.63 17.191 0.009
54755.71 17.241 0.01
54756.65 17.269 0.011
54759.69 17.49 0.009
54760.68 17.579 0.008
54765.74 17.941 0.012
54766.75 17.964 0.011
54768.64 17.971 0.011
54770.63 17.909 0.011
54772.71 17.847 0.011
54776.68 17.707 0.009
54777.66 17.686 0.01
54779.66 17.655 0.012
54781.65 17.684 0.014
54783.7 17.749 0.014
54785.65 17.842 0.014
54786.66 17.904 0.011
54790.66 18.214 0.013
54797.67 18.573 0.016
54803.69 18.823 0.017
54807.62 18.999 0.023
54810.62 19.099 0.026
54814.61 19.228 0.029
54818.61 19.371 0.029
54824.64 19.657 0.042
54827.57 19.715 0.033
filter r
54753.63 16.505 0.006
54755.71 16.528 0.008
54756.65 16.561 0.008
54759.69 16.704 0.007
54760.68 16.779 0.005
54765.74 17.098 0.006
54766.75 17.129 0.006
54768.64 17.171 0.009
54770.63 17.196 0.007
54772.71 17.205 0.006
54776.68 17.243 0.007
54777.66 17.27 0.007
54779.66 17.33 0.009
54781.65 17.428 0.009
54783.7 17.536 0.011
54785.65 17.659 0.011
54786.66 17.746 0.008
54790.66 17.962 0.008
54797.67 18.243 0.009
54803.69 18.549 0.013
54807.62 18.546 0.012
54810.62 18.642 0.016
54814.61 18.733 0.015
54818.61 18.898 0.012
54824.64 19.055 0.015
54827.57 19.122 0.013
filter u
54753.63 17.643 0.022
54755.71 17.835 0.019
54756.65 17.918 0.019
54759.69 18.255 0.02
54760.68 18.349 0.019
54765.74 18.985 0.026
54766.75 19.071 0.024
54768.64 19.315 0.028
54770.63 19.471 0.037
54772.71 19.669 0.037
54776.68 19.949 0.069
54777.66 20.177 0.057
54779.66 20.293 0.076
54781.65 20.348 0.135
54786.66 20.737 0.139
54790.66 20.915 0.069
54797.67 20.98 0.062
54803.69 21.072 0.068
