2020nqd 0.06 1.35486411301 -18.072637478
filter ATri
60685.059022 -20.125 0.813
60686.039881 19.684 0.838
60686.064002 19.489 0.505
60686.789314 -19.32 0.496
60687.786877 -19.728 0.941
60687.807 -19.0 0.711
60689.069517 -18.803 0.646
60689.074131 19.465 0.802
60689.080678 19.613 0.963
60689.094119 -18.471 0.573
60690.05637 -19.867 0.712
60690.787575 -19.663 0.928
60690.805855 19.906 0.866
60694.782212 19.245 0.986
60695.785885 19.274 0.625
60695.791305 19.209 0.457
60698.780572 -19.313 0.962
