2024aevx 0.042 65.1307428571 35.2546485714
filter ATri
60682.344043 19.57 0.23
60682.349318 20.065 0.457
60682.352511 19.055 0.198
60682.363486 19.398 0.261
60690.391593 19.633 0.486
60690.415047 19.379 0.332
60691.402904 20.198 0.649
60691.412156 19.559 0.317
60691.432264 19.317 0.331
60692.42081 20.107 0.576
60692.423635 19.665 0.351
60692.439991 19.286 0.268
60692.442824 20.307 0.626
60692.447742 19.462 0.394
60692.448203 19.56 0.347
60692.452003 19.5 0.351
60692.47721 20.39 0.852
60693.314676 19.513 0.235
60693.329809 19.631 0.379
60693.330725 20.008 0.382
60693.335898 19.372 0.243
60693.35076 19.858 0.343
60694.370852 20.12 0.487
60694.374626 -20.837 0.88
60694.380272 20.177 0.542
60694.391118 19.914 0.491
60695.345903 20.133 0.422
60695.350094 20.506 0.533
60695.372095 20.186 0.417
60695.377362 19.306 0.174
60696.41921 19.479 0.23
60696.437511 19.337 0.253
60696.447002 19.274 0.253
60696.453599 19.726 0.348
60699.343014 20.478 0.447
60699.346217 19.59 0.196
60699.346678 19.577 0.217
60699.362488 19.517 0.176
60699.364352 19.706 0.244
60699.37927 19.686 0.211
60699.380189 20.017 0.262
60699.396128 19.785 0.257
60700.417081 19.97 0.992
60700.420333 19.563 0.315
60700.444608 19.909 0.4
60703.356099 19.903 0.325
60703.359329 19.482 0.19
60703.364837 20.448 0.469
60703.375057 19.68 0.266
60704.346308 20.353 0.68
60704.359211 19.868 0.574
60704.376825 20.45 0.588
60704.380981 20.086 0.585
60708.280624 20.967 0.723
60708.286178 19.667 0.238
60708.296543 19.697 0.268
60709.300288 20.581 0.696
60709.303501 20.018 0.313
60709.319954 19.781 0.321
60710.278738 -20.297 0.547
60710.281923 19.681 0.37
60710.282827 -18.071 0.072
60710.297997 19.485 0.263
60710.307715 18.015 0.091
