2021afoj 0.072 105.5479414 36.8963572
filter ATgr
60709.37281 -20.891 0.714
60709.411433 20.932 0.716
filter ATri
60684.414924 20.674 0.69
60685.383462 17.213 0.601
60690.480861 20.137 0.886
60691.495681 -19.315 0.33
60691.498483 -20.287 0.768
60691.50382 -20.548 0.89
60693.417911 -20.315 0.523
60694.424244 -20.342 0.517
60694.430159 -20.32 0.506
60695.365344 -20.375 0.429
60695.578851 -20.801 0.787
60697.509349 -20.713 0.623
60699.387627 -21.183 0.708
60699.391354 20.859 0.659
60699.401602 21.085 0.721
60700.47279 -21.194 0.804
60700.481268 21.09 0.768
60700.485275 -21.071 0.844
60704.408367 -20.423 0.527
60704.415809 -19.352 0.349
60704.427085 -19.84 0.37
60708.398038 -20.853 0.683
60708.403442 -20.796 0.641
60710.268877 -20.246 0.464
60710.388182 -20.581 0.518
60710.390897 -20.394 0.515
60711.263341 -19.531 0.309
60712.393693 20.076 0.529
