2005kc 0.0151 338.53058 5.56842
filter B
53687.52 17.266 0.014
53689.57 16.749 0.011
53690.54 16.592 0.009
53694.58 16.157 0.008
53695.59 16.091 0.009
53698.55 16.047 0.007
53699.54 16.064 0.009
53702.55 16.188 0.008
53706.56 16.477 0.009
53712.53 17.188 0.012
53716.54 17.725 0.019
53720.54 18.152 0.035
53728.54 18.754 0.035
filter H
53688.52 16.038 0.034
53688.53 16.082 0.041
53691.53 15.747 0.032
53691.53 15.695 0.035
53693.53 15.636 0.045
53693.54 15.624 0.042
53696.48 15.725 0.024
53696.49 15.73 0.025
53701.53 15.979 0.04
53701.54 15.965 0.046
53705.49 16.141 0.034
53705.49 16.135 0.04
53710.52 16.169 0.045
53710.52 16.108 0.046
53714.54 15.979 0.047
53714.55 15.97 0.047
filter J
53688.52 16.045 0.031
53688.53 15.963 0.025
53691.53 15.578 0.021
53691.53 15.61 0.024
53693.53 15.479 0.027
53693.54 15.487 0.02
53696.48 15.537 0.019
53696.49 15.532 0.019
53701.53 15.85 0.027
53701.54 15.904 0.03
53705.49 16.45 0.037
53705.49 16.341 0.027
53710.52 17.117 0.095
53710.52 17.104 0.09
53714.54 17.011 0.064
53714.55 17.049 0.064
53718.53 16.887 0.051
53718.54 16.886 0.05
filter V0
53687.52 17.01 0.013
53689.57 16.502 0.011
53690.54 16.347 0.008
53694.58 15.899 0.007
53695.59 15.852 0.009
53698.55 15.769 0.006
53699.54 15.758 0.008
53702.55 15.803 0.007
53706.56 15.93 0.007
53712.53 16.343 0.01
53716.54 16.63 0.01
53720.54 16.848 0.011
53728.54 17.345 0.014
filter Y
53688.52 16.116 0.022
53688.53 16.096 0.021
53691.53 15.727 0.014
53691.53 15.715 0.017
53693.53 15.625 0.016
53693.54 15.569 0.018
53696.48 15.704 0.018
53696.49 15.684 0.013
53701.53 16.091 0.027
53701.54 16.093 0.02
53705.49 16.332 0.022
53705.49 16.324 0.024
53710.52 16.33 0.023
53710.52 16.366 0.023
53714.54 16.135 0.019
53714.55 16.171 0.017
53718.53 15.915 0.014
53718.54 15.903 0.015
filter g
53687.52 17.102 0.009
53689.57 16.6 0.011
53690.54 16.417 0.007
53694.58 16.0 0.008
53695.59 15.946 0.009
53698.55 15.874 0.006
53699.54 15.89 0.008
53702.55 15.977 0.006
53706.56 16.19 0.009
53712.53 16.733 0.009
53716.54 17.166 0.011
53720.54 17.558 0.013
53728.54 18.238 0.016
filter i
53687.52 16.804 0.013
53689.57 16.345 0.01
53690.54 16.196 0.009
53694.58 15.893 0.009
53695.59 15.893 0.009
53698.55 15.987 0.006
53699.54 15.999 0.01
53702.55 16.097 0.007
53706.56 16.325 0.011
53712.53 16.619 0.011
53716.54 16.544 0.01
53720.54 16.475 0.009
53728.54 16.645 0.011
filter r
53687.52 16.798 0.011
53689.57 16.294 0.009
53690.54 16.133 0.008
53694.58 15.73 0.009
53695.59 15.668 0.008
53698.55 15.615 0.006
53699.54 15.596 0.007
53702.55 15.633 0.006
53706.56 15.825 0.009
53712.53 16.2 0.009
53716.54 16.316 0.006
53720.54 16.384 0.008
filter u
53687.52 17.92 0.035
53689.57 17.295 0.03
53694.58 16.733 0.032
53695.59 16.702 0.027
53698.55 16.719 0.025
53699.54 16.788 0.026
53702.55 17.063 0.027
53712.53 18.391 0.041
53716.54 19.029 0.086
