ATLAS2021aatr -99999 -99999 -99999
filter ATri
60684.466158 20.713 0.751
60685.449494 20.194 0.516
60685.451802 20.549 0.93
60685.465625 20.806 0.962
60685.468384 20.23 0.532
60692.508165 20.123 0.594
60693.529266 -20.734 0.76
60694.543555 19.935 0.444
60695.503519 20.555 0.566
60695.506308 20.758 0.64
60695.536241 19.967 0.39
60696.518198 -20.468 0.558
60696.550798 -20.639 0.852
60697.621247 19.394 0.431
60699.499181 -21.018 0.805
60699.502314 21.305 0.923
60699.52971 20.925 0.593
60700.508032 20.746 0.673
60700.510804 20.86 0.681
60704.489771 19.885 0.96
60708.446982 20.645 0.493
60710.371274 21.015 0.977
60711.286521 20.622 0.713
60712.323749 20.494 0.725
60712.361897 20.963 0.982
