2024zca 0.047 97.432092 17.445919
filter ATri
60682.435025 19.921 0.404
60682.461144 20.583 0.714
60684.36516 19.746 0.428
60684.366991 20.622 0.873
60684.379605 20.115 0.613
60684.3833 -20.682 0.94
60690.462211 19.535 0.591
60691.451336 20.018 0.682
60691.4546 19.39 0.404
60691.460652 -20.51 0.895
60692.402463 19.286 0.273
60694.402219 20.139 0.53
60694.425605 19.952 0.475
60695.414549 20.748 0.765
60695.431409 20.045 0.435
60696.369872 20.244 0.485
60696.376569 19.798 0.32
60696.379824 20.854 0.746
60696.390152 19.97 0.365
60699.393206 20.494 0.55
60699.406242 20.067 0.373
60700.427766 20.51 0.634
60703.388212 20.946 0.965
60703.391433 20.425 0.592
60703.398251 19.83 0.338
60704.394185 20.464 0.611
60704.403403 20.637 0.789
60704.413463 19.688 0.806
60708.339445 20.682 0.743
60708.342673 19.489 0.292
60708.359311 19.815 0.367
60708.363549 20.135 0.482
60709.345723 -20.463 0.783
60709.348935 20.677 0.929
60709.360015 20.439 0.915
60709.366357 20.277 0.604
60709.369527 20.065 0.764
60710.225739 19.966 0.437
60710.339399 20.578 0.694
60710.353728 19.946 0.485
60711.240722 19.767 0.47
60711.243828 20.731 0.921
60711.249492 19.834 0.541
60711.250088 20.073 0.518
60711.253538 19.978 0.505
60711.255464 19.499 0.316
