2020fqi 0.066 229.402667 57.185039
filter ATri
60687.533497 19.328 0.923
60687.572899 -20.152 0.993
60691.652008 -20.102 0.504
60691.658086 19.773 0.394
60691.66773 19.928 0.505
60691.669625 19.57 0.359
60693.594558 -20.579 0.714
60693.609554 20.908 0.949
60695.672233 -19.977 0.76
60697.527928 20.896 0.916
60699.619577 -20.375 0.333
60699.630255 -20.292 0.416
60709.586921 -20.334 0.401
60709.594868 20.073 0.371
60709.608415 20.399 0.459
60711.577965 20.534 0.604
