2024pbd 0.018326 227.8045083 46.1478486
filter ATri
60687.528963 -18.311 0.382
60687.532592 19.65 1.216
60687.554724 -20.483 2.254
60687.571973 -18.546 0.302
60687.573829 -21.346 3.396
60687.577009 20.438 1.082
60687.596734 -21.177 2.468
60687.600853 24.854 72.0
60691.612168 21.863 2.714
60691.614964 19.84 0.331
60691.620476 21.283 1.967
60691.637463 20.693 1.061
60693.609098 -20.682 0.918
60693.612378 -22.137 3.455
60693.617567 20.519 0.835
60693.628381 -22.527 4.44
60695.639532 -24.946 41.5
60695.656119 -20.828 1.345
60695.661616 20.515 0.658
60695.6653 -21.584 2.46
60697.532088 -19.519 0.319
60697.534245 -20.993 1.345
60697.537994 20.894 1.096
60697.54606 -20.108 0.616
60699.576166 -24.181 20.4
60699.581446 19.677 0.425
60699.604362 21.466 1.692
60699.607154 -20.739 0.845
60709.596731 -24.68 26.333
60709.600052 -22.469 3.55
60709.60657 20.791 0.643
60709.616725 -21.177 0.972
60711.521425 22.431 4.382
60711.525399 19.202 0.204
60711.52657 -20.772 0.963
60711.531027 20.777 1.094
