SN2006is_snpy None None None
filter B
54008.9 16.261 0.008
54013.88 16.433 0.004
54017.89 16.688 0.01
54018.89 16.76 0.008
54025.87 17.363 0.007
54028.86 17.628 0.009
54036.85 18.257 0.011
54039.84 18.446 0.014
54042.77 18.607 0.017
54048.85 18.915 0.025
54052.81 19.042 0.015
54056.78 19.131 0.014
54060.82 19.189 0.022
54065.8 19.309 0.018
54071.7 19.391 0.027
54080.85 19.632 0.036
54084.74 19.586 0.019
54087.7 19.703 0.02
54092.73 19.762 0.03
54096.72 19.907 0.026
54099.73 19.868 0.03
54102.67 19.901 0.085
54106.7 20.035 0.039
54108.76 20.066 0.035
54118.72 20.291 0.033
54121.69 20.328 0.024
54123.71 20.346 0.021
54125.67 20.355 0.037
filter H
54009.86 17.311 0.09
54016.88 17.656 0.116
54027.84 17.674 0.129
54014.85 17.522 0.072
54014.85 17.635 0.118
54038.79 17.334 0.053
54038.8 17.379 0.043
54048.82 17.551 0.041
54048.82 17.632 0.051
filter J
54009.86 17.179 0.042
54016.88 17.813 0.083
54021.86 18.263 0.152
54014.85 17.547 0.019
54014.85 17.583 0.027
54037.86 18.155 0.025
54037.87 18.265 0.031
54048.82 18.089 0.024
54048.82 18.114 0.026
filter V
54008.9 16.212 0.008
54013.88 16.301 0.004
54017.89 16.491 0.009
54018.89 16.582 0.006
54025.87 16.956 0.006
54028.86 17.096 0.008
54036.85 17.42 0.008
54039.84 17.567 0.008
54042.77 17.76 0.01
54048.85 18.157 0.012
54052.81 18.303 0.011
54056.78 18.437 0.012
54060.82 18.589 0.016
54065.8 18.703 0.014
54071.7 18.821 0.023
54080.85 19.038 0.026
54084.74 19.101 0.018
54087.7 19.224 0.018
54092.73 19.294 0.021
54096.72 19.408 0.019
54099.73 19.458 0.038
54102.67 19.376 0.062
54106.7 19.538 0.035
54108.76 19.623 0.025
54118.72 19.752 0.025
54121.69 19.813 0.02
54123.71 19.837 0.019
54125.67 19.898 0.029
filter Y
54009.86 17.558 0.028
54016.88 17.983 0.045
54021.86 18.038 0.063
54027.84 17.785 0.051
54030.82 17.5 0.032
filter Ydw
54014.85 17.823 0.053
54014.85 17.888 0.043
54037.86 17.151 0.011
54037.87 17.123 0.015
54048.82 17.083 0.011
54048.82 17.036 0.011
filter g
54013.88 16.29 0.004
54017.89 16.507 0.01
54018.89 16.556 0.008
54025.87 17.093 0.004
54028.86 17.328 0.006
54036.85 17.88 0.007
54039.84 18.082 0.009
54042.77 18.284 0.01
54048.85 18.568 0.013
54052.81 18.747 0.009
54056.78 18.852 0.011
54060.82 18.932 0.013
54065.8 19.008 0.013
54071.7 19.042 0.019
54080.85 19.278 0.031
54084.74 19.331 0.013
54087.7 19.326 0.013
54092.73 19.442 0.014
54096.72 19.512 0.014
54099.73 19.532 0.02
54102.67 19.587 0.053
54106.7 19.656 0.022
54108.76 19.68 0.016
54118.72 19.864 0.013
54121.69 19.906 0.013
54123.71 19.938 0.023
54125.67 19.966 0.012
filter i
54013.88 17.193 0.007
54025.87 17.897 0.009
54028.86 17.842 0.01
54036.85 17.663 0.009
54039.84 17.597 0.009
54042.77 17.621 0.01
54048.85 17.96 0.015
54052.81 18.24 0.011
54056.78 18.425 0.014
54060.82 18.608 0.016
54065.8 18.828 0.016
54071.7 19.033 0.024
54080.85 19.374 0.057
54084.74 19.483 0.028
54087.7 19.587 0.029
54092.73 19.748 0.027
54096.72 19.98 0.041
54099.73 19.892 0.043
54102.67 20.209 0.141
54106.7 20.155 0.058
54108.76 20.166 0.04
54118.72 20.461 0.054
54121.69 20.553 0.058
54123.71 20.759 0.056
54125.67 20.645 0.057
filter r
54013.88 16.34 0.004
54018.89 16.631 0.007
54025.87 16.988 0.004
54028.86 17.015 0.006
54036.85 17.09 0.005
54039.84 17.136 0.005
54042.77 17.311 0.009
54048.85 17.696 0.008
54052.81 17.888 0.006
54056.78 18.031 0.007
54060.82 18.181 0.012
54065.8 18.336 0.011
54071.7 18.516 0.016
54080.85 18.773 0.022
54084.74 18.898 0.012
54087.7 18.994 0.011
54092.73 19.143 0.014
54096.72 19.263 0.014
54099.73 19.323 0.019
54102.67 19.384 0.05
54106.7 19.55 0.023
54108.76 19.57 0.019
54118.72 19.858 0.02
54121.69 19.94 0.017
54123.71 20.012 0.019
54125.67 20.059 0.018
filter u
54008.9 16.891 0.021
54013.88 17.189 0.01
54018.89 17.655 0.023
54025.87 18.447 0.025
54028.86 18.737 0.025
54036.85 19.398 0.047
54039.84 19.595 0.036
54042.77 19.703 0.077
54048.85 19.763 0.102
54052.81 20.073 0.069
54060.82 20.291 0.062
54065.8 20.426 0.058
54071.7 20.584 0.147
