2006kf 0.0213 55.46033 8.15694
filter B
54036.81 17.078 0.007
54038.78 16.908 0.007
54039.77 16.841 0.007
54042.73 16.832 0.009
54048.78 17.267 0.01
54056.71 18.425 0.011
54060.69 18.93 0.014
54065.72 19.447 0.024
54068.72 19.608 0.025
54069.72 19.619 0.035
54080.72 20.154 0.055
54084.65 20.181 0.04
54087.67 20.273 0.04
54091.69 20.216 0.04
54096.63 20.381 0.075
54119.61 20.896 0.05
54127.64 21.01 0.157
filter H
54037.81 16.522 0.052
54037.82 16.566 0.062
54041.72 16.701 0.06
54041.73 16.787 0.067
54043.68 16.913 0.087
54043.69 16.729 0.067
54045.74 16.907 0.107
54045.76 16.866 0.111
54047.75 16.938 0.097
54053.73 17.093 0.08
54053.74 17.104 0.092
54057.71 16.899 0.079
54057.72 16.761 0.079
54070.73 17.404 0.106
54074.72 17.446 0.103
54074.73 17.74 0.158
54078.67 17.765 0.127
54078.69 17.756 0.187
filter J
54037.81 16.365 0.025
54037.82 16.397 0.024
54041.72 16.529 0.028
54041.73 16.574 0.03
54043.68 16.74 0.044
54043.69 16.688 0.034
54045.74 17.023 0.071
54045.76 17.02 0.06
54047.75 17.439 0.066
54047.74 17.456 0.067
54053.73 18.003 0.116
54053.74 17.972 0.105
54057.71 17.917 0.096
54057.72 17.709 0.091
54070.73 17.871 0.095
54070.74 17.8 0.1
54074.72 18.393 0.13
54078.67 18.614 0.113
54078.69 18.856 0.134
54037.81 16.406 0.017
54037.82 16.398 0.017
54039.74 16.431 0.017
54039.75 16.421 0.017
54049.76 17.763 0.027
54049.77 17.808 0.026
54066.78 17.584 0.021
54066.79 17.519 0.022
filter V
54036.81 16.934 0.007
54038.78 16.741 0.007
54039.77 16.694 0.007
54042.73 16.623 0.009
54048.78 16.795 0.007
54052.77 17.087 0.008
54056.71 17.418 0.008
54060.69 17.731 0.009
54065.72 18.169 0.012
54068.72 18.42 0.016
54069.72 18.481 0.017
54075.7 18.776 0.032
54080.72 18.93 0.023
54084.65 19.033 0.018
54087.67 19.161 0.017
54091.69 19.249 0.022
54096.63 19.396 0.032
54102.64 19.485 0.093
54119.61 19.987 0.028
54127.64 20.228 0.059
filter Y
54037.81 16.473 0.022
54037.82 16.508 0.022
54041.72 16.699 0.028
54041.73 16.707 0.036
54043.68 16.865 0.036
54043.69 16.865 0.033
54045.74 17.031 0.042
54045.76 16.973 0.04
54047.75 17.167 0.028
54047.74 17.144 0.04
54053.73 17.152 0.027
54053.74 17.114 0.027
54057.71 16.874 0.027
54057.72 16.875 0.029
54070.73 16.822 0.023
54074.72 17.11 0.028
54074.73 17.165 0.031
54078.67 17.389 0.039
54078.69 17.36 0.023
54083.68 17.601 0.038
54083.69 17.654 0.059
54111.67 19.043 0.134
54124.61 19.277 0.123
54124.62 19.527 0.152
filter Ydw
54037.81 16.548 0.021
54037.82 16.539 0.02
54039.74 16.587 0.023
54039.75 16.601 0.023
54049.76 17.335 0.025
54049.77 17.332 0.026
54066.78 16.617 0.026
54066.79 16.609 0.023
54100.61 18.49 0.047
54100.61 18.621 0.048
filter g
54036.81 16.939 0.007
54038.78 16.749 0.007
54039.77 16.704 0.007
54042.73 16.682 0.008
54048.78 17.007 0.007
54052.77 17.385 0.008
54056.71 17.907 0.008
54060.69 18.41 0.009
54068.72 19.155 0.016
54069.72 19.214 0.025
54080.72 19.562 0.03
54084.65 19.723 0.019
54087.67 19.777 0.017
54096.63 19.989 0.047
54119.61 20.373 0.023
54123.66 20.451 0.022
filter i
54036.81 16.88 0.007
54038.78 16.787 0.009
54039.77 16.808 0.008
54042.73 16.922 0.009
54048.78 17.325 0.009
54052.77 17.567 0.01
54056.71 17.444 0.009
54060.69 17.393 0.01
54065.72 17.577 0.012
54068.72 17.853 0.013
54069.72 17.96 0.012
54075.7 18.331 0.02
54080.72 18.608 0.022
54084.65 18.788 0.019
54087.67 18.935 0.02
54091.69 19.124 0.024
54096.63 19.364 0.036
54119.61 20.247 0.051
54127.64 20.449 0.112
filter r
54036.81 16.769 0.007
54038.78 16.59 0.007
54039.77 16.551 0.007
54042.73 16.492 0.007
54048.78 16.748 0.006
54052.77 17.018 0.009
54056.71 17.153 0.006
54060.69 17.293 0.009
54065.72 17.684 0.01
54068.72 17.96 0.011
54069.72 18.044 0.012
54075.7 18.366 0.016
54080.72 18.569 0.016
54084.65 18.734 0.014
54087.67 18.84 0.014
54091.69 18.98 0.018
54096.63 19.151 0.026
54102.64 19.374 0.07
54119.61 19.97 0.026
54123.66 20.106 0.04
filter u
54036.81 17.617 0.018
54038.78 17.481 0.015
54039.77 17.475 0.016
54042.73 17.595 0.022
54048.78 18.339 0.036
54052.77 19.007 0.043
54056.71 19.762 0.083
54060.69 20.27 0.081
54065.72 20.735 0.11
