2024eno 0.07 208.049549919 33.4662679002
filter ATgr
60709.532476 20.871 0.606
60709.536096 -21.066 0.855
60709.542036 -20.408 0.471
60710.533331 -20.752 0.659
filter ATri
60682.587457 20.34 0.37
60682.590668 20.544 0.509
60682.59661 -20.503 0.517
60684.491806 20.017 0.676
60687.629017 -20.393 0.919
60690.567146 -19.94 0.688
60690.593088 -19.568 0.476
60691.580001 -20.582 0.814
60694.5904 -20.126 0.46
60694.600488 -20.855 0.954
60695.570391 -20.424 0.521
60695.576826 20.984 0.832
60696.461112 -20.423 0.636
60696.502136 19.119 0.824
60697.4958 19.598 0.789
60699.608901 -21.021 0.69
60699.612274 -20.607 0.461
60704.435765 17.144 0.585
60711.463832 -20.469 0.449
60711.475693 20.525 0.551
60711.54943 -20.856 0.697
