2020aeqp 0.06 187.340625 31.2545
filter ATri
60684.561937 -20.65 0.439
60684.578398 -21.472 0.886
60684.595505 21.472 0.929
60684.598307 -21.29 0.724
60690.526439 19.265 0.384
60691.524114 -20.331 0.762
60691.526865 19.66 0.399
60692.527509 -20.214 0.675
60693.506214 20.631 0.917
60695.555014 20.589 0.655
60695.561143 -20.436 0.63
60696.571794 -19.317 0.975
60697.417994 -19.923 0.414
60697.427691 -20.25 0.704
60699.548731 -20.764 0.663
60699.551934 -20.435 0.525
60700.606644 -21.221 0.744
60703.632579 -20.557 0.404
60704.543881 -20.61 0.652
60708.523105 -21.31 0.986
60711.437085 -20.981 0.835
60711.448971 -20.925 0.763
60711.539991 -20.314 0.531
60711.668592 20.125 0.733
60712.534983 -21.236 0.95
60712.540149 20.875 0.592
60712.543052 -20.31 0.385
