2021aekz 0.062 53.5646415 -41.4740455
filter ATgr
60696.072033 -21.43 0.676
60696.074964 -20.443 0.312
60696.080457 20.847 0.476
60697.100059 -20.397 0.393
60697.10669 -21.027 0.586
60697.109943 20.61 0.417
60700.07524 21.267 0.824
60704.070114 21.378 0.909
60704.094272 21.195 0.756
60708.098981 -21.048 0.682
filter ATri
60685.845447 19.778 0.388
60688.206153 18.552 0.945
60688.224722 -17.214 0.393
60693.821792 20.959 0.823
60697.831564 -20.164 0.506
60701.818667 -20.583 0.77
60701.824226 -20.226 0.524
60701.834388 -20.705 0.793
60705.808166 21.225 0.971
60705.818329 -20.679 0.598
60709.795962 20.73 0.607
60709.798747 -20.861 0.782
60709.804214 -21.027 0.755
60709.816829 -20.6 0.597
60712.046873 20.831 0.884
60712.050625 -19.858 0.392
60712.070496 19.918 0.439
