2020mnw 0.0808 224.087811528 9.33607126839
filter ATri
60683.605204 18.909 0.099
60683.60887 18.99 0.132
60683.629052 18.869 0.098
60683.634706 19.04 0.125
60687.532592 19.283 0.643
60687.554724 18.577 0.297
60687.571973 19.311 0.448
60691.584439 18.885 0.196
60691.597253 18.945 0.201
60691.601365 19.868 0.43
60691.611263 19.345 0.266
60693.609098 19.827 0.307
60693.612378 19.226 0.201
60693.617567 19.499 0.255
60693.628381 19.296 0.196
60695.626873 20.14 0.474
60695.632184 19.616 0.289
60695.639079 19.402 0.203
60695.6598 19.338 0.193
60697.517588 19.902 0.404
60697.521102 19.681 0.435
60697.521394 19.198 0.205
60697.533792 19.072 0.172
60699.576166 20.259 0.51
60699.581446 19.333 0.263
60699.604362 19.37 0.172
60699.607154 19.599 0.19
60709.596731 19.799 0.229
60709.600052 19.821 0.253
60709.60657 19.997 0.297
60709.616725 20.036 0.297
60710.511094 20.686 0.789
60710.516011 19.829 0.286
60711.556504 19.859 0.281
60711.56003 19.326 0.211
60711.563235 19.89 0.32
