2024xhs 0.0474 353.482603846 -23.7285769231
filter ATri
60685.03594 21.212 4.825
60685.039119 -21.103 2.667
60685.046435 22.851 10.5
60685.056258 -21.193 2.407
60686.035796 18.503 0.464
60686.038976 25.058 139.0
60686.04634 20.49 1.449
60686.056529 20.271 1.031
60686.785706 19.283 0.635
60686.788863 20.889 2.469
60686.796124 -23.317 18.222
60686.806262 25.59 159.0
60687.785072 -21.65 7.225
60687.788246 19.166 0.544
60687.79461 23.33 20.625
60687.804719 19.029 0.519
60689.056968 -21.11 3.26
60689.060227 19.318 0.749
60689.065813 19.96 1.162
60689.075996 19.843 1.387
60690.034288 -20.253 3.393
60690.037461 20.067 1.678
60690.042934 -19.914 0.975
60690.054526 19.872 0.855
60690.783967 -19.416 1.426
60690.787124 22.283 12.0
60690.792542 -19.89 0.765
60690.803042 -19.407 0.6
