2021abxh 0.05504 141.6558 -21.4029266667
filter ATgr
60701.219515 -19.688 0.238
60701.254923 -20.099 0.33
60701.302069 -19.987 0.306
60702.235475 -20.587 0.551
60702.245372 -19.382 0.168
60705.264906 -20.498 0.37
60705.293032 -20.009 0.338
60705.321736 -21.074 0.792
60705.34664 -20.975 0.62
60706.240573 -20.47 0.456
60706.246193 -20.587 0.54
60706.277954 -20.545 0.518
60709.266775 -20.933 0.619
60709.270691 -21.07 0.65
60709.310254 20.958 0.676
60710.238584 -21.277 0.909
60710.265227 20.829 0.601
filter ATri
60685.287965 -20.711 0.719
60685.291005 -20.542 0.689
60685.315653 20.731 0.738
60685.344198 -19.15 0.199
60686.199434 -19.928 0.509
60686.202607 20.723 0.95
60686.210473 19.825 0.473
60687.003923 20.763 0.897
60687.019608 -19.658 0.294
60689.269078 19.758 0.992
60689.298413 -19.665 0.815
60690.223055 -19.707 0.782
60690.957482 -19.573 0.612
60690.960646 19.96 0.789
60690.981575 -19.541 0.475
60692.093405 19.985 0.574
60692.114956 19.308 0.656
60693.33529 19.756 0.503
60694.216224 -20.263 0.624
60694.218479 -20.136 0.705
60694.221249 -20.498 0.627
60694.255822 20.582 0.724
60694.947285 -20.243 0.52
60697.211496 19.771 0.413
60697.216458 20.29 0.617
60697.238812 20.301 0.618
60698.268145 19.362 0.211
60698.310314 -20.535 0.649
60699.004302 -19.856 0.376
60699.007958 19.845 0.312
60699.013468 20.316 0.425
60699.048141 -19.983 0.322
60699.930936 -20.293 0.354
60699.962054 20.641 0.496
60704.098185 -19.387 0.855
60704.106945 -19.638 0.297
60706.942025 -19.714 0.213
60706.965561 20.995 0.66
60706.968759 -20.451 0.551
60708.060222 20.748 0.672
60710.977102 21.081 0.768
60710.986806 21.094 0.924
