2024xkz 0.079 338.636125 39.484911
filter ATri
60683.259733 20.643 0.934
60683.269974 20.326 0.874
60684.25172 20.288 0.718
60684.257301 20.336 0.73
60685.230916 19.098 0.562
60685.247552 19.522 0.605
60685.250765 20.073 0.78
60685.256268 19.628 0.682
60687.222777 -20.044 0.652
60689.228576 19.321 0.438
60689.245952 18.843 0.381
60691.219024 20.777 0.852
60691.230736 20.986 0.913
60692.219722 20.386 0.824
60692.222943 -16.947 0.665
60692.232636 20.65 0.769
60693.232923 20.759 0.89
