2005ag 0.0797 224.18187 9.32847
filter B
53412.82 18.564 0.011
53413.82 18.539 0.014
53414.87 18.579 0.009
53415.86 18.574 0.011
53416.86 18.597 0.009
53417.85 18.638 0.012
53418.87 18.703 0.011
53419.86 18.758 0.012
53420.89 18.76 0.037
53421.88 18.864 0.016
53422.82 18.915 0.014
53424.82 19.062 0.029
53425.8 19.166 0.058
53426.85 19.253 0.045
53427.84 19.336 0.041
53428.87 19.395 0.038
53429.84 19.459 0.068
53430.89 19.634 0.036
53431.88 19.834 0.05
53432.87 19.924 0.04
53436.82 20.416 0.037
53444.86 21.181 0.049
53445.85 21.226 0.042
53446.86 21.123 0.061
53452.8 21.49 0.154
53460.78 21.709 0.166
53464.85 21.982 0.135
53465.85 21.745 0.092
53467.83 21.953 0.084
53468.8 21.926 0.054
53472.86 21.984 0.075
53474.78 21.968 0.081
53477.75 21.966 0.064
53478.83 22.059 0.128
53479.84 21.939 0.075
filter J
53418.87 19.648 0.063
53418.89 19.734 0.072
53426.9 20.537 0.145
53427.87 20.45 0.128
filter V0
53412.82 18.515 0.017
53413.82 18.499 0.017
53414.87 18.509 0.011
53415.86 18.506 0.012
53416.86 18.525 0.011
53417.85 18.532 0.013
53418.87 18.535 0.013
53419.86 18.569 0.013
53420.89 18.625 0.034
53421.88 18.641 0.015
53422.82 18.671 0.015
53424.82 18.76 0.028
53425.8 18.835 0.044
53426.85 18.801 0.034
53427.84 18.942 0.03
53428.87 18.986 0.033
53429.84 18.959 0.052
53430.89 19.096 0.027
53431.88 19.185 0.032
53432.87 19.275 0.026
53436.82 19.529 0.021
53444.86 20.14 0.032
53445.85 20.2 0.031
53446.86 20.191 0.033
53452.8 20.574 0.078
53453.75 20.62 0.092
53455.83 20.624 0.15
53456.83 20.714 0.095
53457.83 20.856 0.118
53458.82 20.731 0.094
53459.85 20.886 0.079
53460.78 20.985 0.096
53464.85 21.006 0.084
53465.85 20.921 0.05
53466.85 20.998 0.058
53467.83 20.976 0.046
53468.8 21.01 0.033
53472.86 21.102 0.04
53474.78 21.065 0.036
53475.83 21.142 0.046
53477.75 21.082 0.043
53478.83 21.206 0.073
53479.84 21.155 0.046
filter Ydw
53418.87 19.316 0.044
53426.9 19.686 0.056
53427.87 19.603 0.051
53427.86 19.686 0.058
53428.9 19.784 0.068
filter g
53412.82 18.49 0.015
53413.82 18.442 0.025
53414.87 18.489 0.009
53415.86 18.484 0.009
53416.86 18.532 0.01
53417.85 18.548 0.009
53418.87 18.583 0.009
53419.86 18.611 0.01
53420.89 18.671 0.011
53421.88 18.739 0.011
53422.82 18.762 0.023
53423.79 18.824 0.043
53424.82 18.904 0.027
53425.8 19.012 0.058
53426.85 19.006 0.037
53427.84 19.133 0.029
53428.87 19.23 0.029
53429.84 19.372 0.058
53430.89 19.445 0.029
53431.88 19.527 0.027
53432.87 19.597 0.027
53436.82 20.026 0.021
53444.86 20.745 0.024
53445.85 20.789 0.024
53446.86 20.832 0.033
53453.75 21.194 0.134
53455.83 21.019 0.152
53456.83 21.258 0.133
53460.78 21.248 0.086
53464.85 21.498 0.048
53465.85 21.556 0.045
53466.85 21.478 0.042
53467.83 21.446 0.044
53468.8 21.575 0.036
53472.86 21.607 0.04
53474.78 21.657 0.051
53475.83 21.677 0.041
53477.75 21.693 0.039
53478.83 21.58 0.036
53479.84 21.642 0.044
53480.84 21.774 0.061
filter i
53412.82 18.959 0.032
53413.82 18.957 0.027
53414.87 18.988 0.021
53415.86 18.977 0.019
53416.86 18.995 0.021
53417.85 19.004 0.019
53418.87 19.023 0.021
53419.86 19.054 0.02
53420.89 19.039 0.06
53421.88 19.154 0.031
53422.82 19.211 0.036
53425.8 19.387 0.058
53426.85 19.486 0.049
53427.84 19.629 0.055
53428.87 19.53 0.045
53429.84 19.608 0.038
53430.89 19.68 0.042
53431.88 19.681 0.043
53432.87 19.604 0.034
53444.86 19.571 0.024
53445.85 19.586 0.026
53446.86 19.569 0.025
53452.8 19.851 0.04
53453.75 20.017 0.048
53454.79 20.021 0.068
53455.83 20.135 0.082
53456.83 20.194 0.05
53459.85 20.287 0.057
53460.78 20.323 0.047
53464.85 20.547 0.045
53465.85 20.519 0.05
53467.83 20.718 0.051
53468.8 20.662 0.039
53472.86 20.848 0.056
53475.83 20.919 0.056
53479.84 21.161 0.059
filter r
53412.82 18.574 0.018
53413.82 18.49 0.018
53414.87 18.495 0.011
53415.86 18.494 0.01
53416.86 18.484 0.011
53417.85 18.491 0.01
53418.87 18.506 0.011
53419.86 18.541 0.012
53420.89 18.544 0.022
53421.88 18.586 0.013
53422.82 18.625 0.016
53423.79 18.814 0.08
53424.82 18.707 0.018
53425.8 18.82 0.041
53426.85 18.785 0.022
53427.84 18.869 0.023
53428.87 18.901 0.025
53429.84 19.038 0.022
53430.89 19.07 0.023
53431.88 19.09 0.021
53432.87 19.103 0.019
53436.82 19.319 0.014
53444.86 19.588 0.019
53445.85 19.656 0.017
53446.86 19.721 0.022
53453.75 19.985 0.043
53455.83 20.221 0.07
53456.83 20.217 0.052
53457.83 20.264 0.047
53458.82 20.236 0.047
53459.85 20.371 0.043
53460.78 20.388 0.046
53464.85 20.446 0.022
53465.85 20.497 0.029
53466.85 20.552 0.032
53467.83 20.511 0.031
53468.8 20.574 0.024
53472.86 20.754 0.029
53474.78 20.759 0.032
53475.83 20.752 0.028
53477.75 20.807 0.025
53478.83 20.812 0.03
53479.84 20.857 0.03
53480.84 20.989 0.051
