2005na 0.0263 105.40258 14.13325
filter B
53738.71 16.255 0.006
53740.77 16.25 0.009
53741.7 16.257 0.006
53745.65 16.407 0.007
53748.71 16.587 0.009
53751.7 16.821 0.008
53754.68 17.164 0.008
53755.67 17.255 0.009
53760.64 17.921 0.014
53762.66 18.172 0.017
53763.62 18.276 0.016
53764.66 18.378 0.021
53765.62 18.502 0.021
53767.64 18.65 0.021
53771.6 18.986 0.023
53772.63 19.076 0.059
53774.63 19.152 0.038
53781.63 19.404 0.052
53784.61 19.361 0.032
53785.62 19.445 0.03
53786.6 19.513 0.029
53788.59 19.553 0.049
53795.6 19.538 0.033
53805.54 19.753 0.046
53818.53 19.969 0.049
53834.54 20.21 0.067
filter H
53782.6 17.577 0.1
53782.61 17.428 0.1
53756.71 17.392 0.035
53756.72 17.34 0.038
53773.65 16.89 0.035
53773.67 17.032 0.039
53784.6 17.513 0.047
53787.6 17.669 0.036
53787.61 17.719 0.037
filter J
53756.71 18.416 0.034
53756.72 18.359 0.037
53773.65 17.581 0.017
53784.6 18.283 0.041
53785.59 18.549 0.034
filter V
53760.64 17.155 0.01
53762.66 17.288 0.011
53763.62 17.347 0.012
53764.66 17.423 0.012
53765.62 17.482 0.013
53767.64 17.624 0.01
53771.6 17.878 0.012
53772.63 17.929 0.014
53774.63 18.045 0.017
53781.63 18.301 0.028
53784.61 18.395 0.017
53785.62 18.502 0.014
53786.6 18.49 0.019
53788.59 18.541 0.018
53795.6 18.703 0.019
53798.62 18.807 0.021
53805.54 18.905 0.024
53818.53 19.254 0.02
53834.54 19.58 0.038
filter V0
53738.71 16.276 0.007
53740.77 16.244 0.01
53741.7 16.247 0.006
53745.65 16.315 0.008
53748.71 16.421 0.008
filter Y
53782.6 17.05 0.038
53782.61 17.114 0.041
53789.59 17.403 0.076
53789.6 17.415 0.059
53797.54 17.741 0.072
53807.51 18.002 0.121
filter Ydw
53756.71 17.603 0.019
53773.65 16.628 0.011
53784.6 17.228 0.014
53784.58 17.231 0.017
53785.59 17.303 0.013
filter g
53738.71 16.17 0.005
53740.77 16.166 0.009
53741.7 16.174 0.005
53745.65 16.285 0.008
53748.71 16.425 0.006
53751.7 16.635 0.006
53754.68 16.903 0.006
53755.67 16.996 0.006
53760.64 17.526 0.007
53762.66 17.749 0.01
53763.62 17.839 0.01
53764.66 17.959 0.011
53767.64 18.243 0.009
53771.6 18.56 0.013
53772.63 18.615 0.016
53774.63 18.782 0.02
53781.63 18.995 0.047
53784.61 19.004 0.021
53785.62 19.078 0.013
53786.6 19.105 0.016
53788.59 19.109 0.021
53795.6 19.207 0.015
53798.62 19.294 0.023
53805.54 19.367 0.025
53818.53 19.606 0.026
filter i
53738.71 16.747 0.008
53740.77 16.788 0.013
53741.7 16.802 0.008
53745.65 16.906 0.012
53748.71 17.076 0.012
53751.7 17.347 0.011
53754.68 17.55 0.011
53755.67 17.559 0.012
53760.64 17.459 0.011
53762.66 17.369 0.012
53763.62 17.357 0.011
53764.66 17.336 0.013
53765.62 17.295 0.013
53767.64 17.287 0.01
53771.6 17.356 0.013
53772.63 17.412 0.012
53774.63 17.584 0.013
53781.63 18.013 0.035
53784.61 18.176 0.017
53785.62 18.233 0.014
53786.6 18.251 0.015
53788.59 18.343 0.017
53795.6 18.637 0.017
53798.62 18.684 0.021
53805.54 18.865 0.028
53818.53 19.458 0.035
53834.54 19.815 0.05
filter r
53738.71 16.291 0.008
53740.77 16.254 0.01
53741.7 16.222 0.006
53745.65 16.283 0.009
53748.71 16.423 0.007
53751.7 16.622 0.008
53754.68 16.82 0.009
53755.67 16.871 0.006
53760.64 16.981 0.009
53762.66 17.013 0.01
53763.62 17.026 0.011
53764.66 17.053 0.01
53765.62 17.096 0.014
53767.64 17.135 0.008
53771.6 17.364 0.008
53772.63 17.448 0.012
53774.63 17.584 0.01
53781.63 17.882 0.016
53784.61 18.014 0.013
53785.62 18.033 0.015
53786.6 18.039 0.015
53788.59 18.159 0.015
53795.6 18.293 0.019
53798.62 18.464 0.019
53805.54 18.671 0.017
53818.53 19.075 0.018
53834.54 19.482 0.034
filter u
53738.71 16.41 0.013
53740.77 16.466 0.014
53741.7 16.528 0.017
53745.65 16.878 0.014
53748.71 17.173 0.021
53751.7 17.536 0.022
53754.68 17.967 0.025
53755.67 18.179 0.027
53760.64 19.055 0.048
53762.66 19.325 0.049
53763.62 19.443 0.062
53764.66 19.428 0.057
53765.62 19.599 0.097
53771.6 19.932 0.078
53772.63 20.086 0.101
53774.63 20.069 0.108
