2024xli 0.0374 39.7415615585 36.5667636124
filter ATri
60682.307503 20.83 0.958
60687.312707 -19.812 0.632
60687.333998 19.937 0.967
60690.360936 19.536 0.469
60691.368115 -20.522 0.859
60691.374582 20.42 0.804
60691.387569 20.304 0.67
60692.387542 20.343 0.644
60692.395869 19.825 0.443
60692.418959 19.721 0.444
60693.37511 -20.871 0.97
60693.387935 20.244 0.787
60696.399826 19.999 0.412
60696.417363 20.25 0.503
60699.311358 20.496 0.463
60700.387021 -20.27 0.627
60700.393124 -20.742 0.83
60704.311542 -20.825 0.777
60704.324637 -20.694 0.584
60708.233592 20.721 0.582
60708.257038 21.182 0.804
60708.272663 21.077 0.771
60709.244852 -21.099 0.942
60709.262396 20.768 0.628
