2024aeec 0.046257 181.665662227 25.7533211166
filter ATgr
60709.484443 20.33 0.475
60709.48865 20.198 0.344
60710.479235 19.491 0.17
60710.486364 19.021 0.123
60710.489079 19.486 0.193
60710.499275 19.438 0.162
filter ATri
60682.552963 18.642 0.095
60682.554771 19.195 0.15
60682.558397 18.856 0.124
60682.564779 18.514 0.073
60684.551538 18.901 0.099
60684.553851 18.709 0.095
60684.55965 18.487 0.083
60684.56928 18.936 0.116
60686.526994 18.994 0.273
60686.533505 19.013 0.359
60686.536731 18.611 0.198
60686.566224 18.226 0.124
60690.503227 19.073 0.276
60690.50599 19.473 0.563
60690.509161 18.523 0.213
60690.521902 18.697 0.188
60694.550512 19.084 0.205
60694.55232 19.544 0.309
60694.556145 18.66 0.144
60694.561852 19.024 0.184
60695.51578 20.594 0.645
60695.517607 20.403 0.529
60695.531198 18.977 0.15
60696.529387 20.467 0.748
60696.532703 18.755 0.124
60696.543268 19.575 0.369
60697.413849 19.028 0.172
60697.417539 19.062 0.178
60697.421964 19.82 0.398
60697.42724 18.976 0.18
60699.524025 19.591 0.231
60699.532826 19.634 0.299
60699.534655 20.261 0.402
60699.543481 19.757 0.262
60700.605718 19.66 0.198
60700.608932 19.246 0.149
60700.614025 18.898 0.11
60700.626688 19.343 0.133
60703.634416 19.747 0.223
60703.639966 19.298 0.147
60703.656178 19.297 0.257
60703.659824 19.21 0.148
60704.517964 -16.908 0.22
60704.52073 -16.984 0.28
60704.527317 18.858 0.372
60708.508638 -21.101 0.682
60708.516021 20.807 0.689
60710.426466 -20.888 0.764
60710.440069 19.316 0.207
60710.611758 20.117 0.348
60711.428855 20.226 0.575
60711.445111 19.589 0.277
