2024pmm 0.018 243.779833 67.720081
filter ATri
60693.595487 19.689 0.335
60693.615181 19.65 0.341
60697.551307 -20.135 0.619
60697.565893 20.359 0.678
60697.57731 19.234 0.56
60699.651362 20.197 0.339
60699.655535 -20.704 0.596
60699.665774 20.738 0.672
60709.615322 -20.77 0.718
60710.564808 20.31 0.55
60710.574146 20.362 0.529
60711.546808 20.252 0.551
60711.556966 20.54 0.628
