2020ndv 0.035 347.408741833 12.8300018913
filter ATri
60684.227642 20.003 0.492
60684.233667 20.405 0.82
60685.267186 -20.01 0.782
60688.240369 19.454 0.726
60688.253573 14.554 0.952
60689.234525 -19.951 0.933
60689.237698 -19.455 0.556
60689.255157 19.736 0.871
60690.228931 -20.013 0.572
60694.226676 20.723 0.759
60694.237801 -20.026 0.343
