2024saw 0.058 353.525257116 -20.7854847568
filter ATri
60682.039243 -18.566 0.336
60682.046587 19.338 0.519
60682.056411 19.885 0.735
60682.786228 19.068 0.709
60682.789391 -19.273 0.657
60682.796662 -19.887 0.809
60682.806783 19.618 0.582
60683.795209 -19.449 0.585
60683.804804 -18.952 0.26
60685.045048 -19.719 0.648
60686.035796 -18.752 0.537
60686.04634 -19.217 0.49
60686.788863 -19.425 0.652
60686.806262 19.233 0.451
60690.787124 19.402 0.816
60690.792542 19.845 0.83
60690.803042 19.281 0.396
