2020aerf 0.08 231.93636425 61.60143505
filter ATri
60687.556573 19.33 0.72
60691.595434 20.238 0.538
60693.593123 20.363 0.754
60695.674043 -19.539 0.754
60697.519733 -20.368 0.731
60697.524137 -20.815 0.92
60697.527928 20.088 0.553
60699.649511 -20.896 0.717
60699.656933 -20.714 0.702
60699.661086 20.922 0.882
60699.668056 -20.507 0.744
60709.588797 -20.131 0.365
60709.592093 -20.741 0.543
60709.609328 -20.589 0.545
60710.529354 -19.984 0.449
60710.553473 -20.757 0.848
60711.560491 -20.506 0.544
60711.577965 -20.596 0.627
