2024afze 0.04 173.37525 18.5043
filter ATri
60677.547616 17.995 0.063
60677.549911 18.597 0.101
60677.553084 18.122 0.066
60677.558123 18.104 0.066
60678.555221 17.767 0.041
60678.557033 18.039 0.057
60678.560227 17.932 0.052
60678.569464 17.803 0.044
60679.326018 17.868 0.07
60679.344788 18.014 0.063
60679.350285 17.772 0.055
60679.361237 17.606 0.072
60679.556122 17.881 0.061
60679.558016 17.774 0.047
60679.560922 17.827 0.049
60679.565982 17.774 0.044
60680.517006 17.781 0.043
60680.519776 17.782 0.044
60680.522997 17.643 0.04
60680.547579 17.835 0.067
60681.52041 17.626 0.039
60681.5236 17.698 0.044
60681.530974 17.629 0.041
60681.53968 17.635 0.036
60682.544076 17.652 0.04
60682.547684 17.607 0.037
60682.550703 17.664 0.042
60682.556137 17.693 0.04
60684.509649 17.634 0.057
60684.512396 17.64 0.05
60684.516077 17.619 0.054
60684.526189 17.685 0.059
60686.544783 17.721 0.069
60686.548276 17.589 0.067
60686.553737 17.679 0.063
60686.569075 17.723 0.071
60694.529455 18.007 0.083
60694.531264 18.123 0.081
60694.548704 18.124 0.095
60694.553223 18.66 0.16
60695.515322 18.391 0.088
60695.517151 18.176 0.08
60695.519911 18.512 0.119
60695.527465 18.27 0.093
60696.505847 18.631 0.548
60696.513205 18.663 0.33
60696.528474 18.329 0.094
60696.530301 18.516 0.117
60697.660951 18.615 0.119
60697.666954 18.403 0.199
60697.673248 19.268 0.41
60697.675325 17.823 0.609
60699.518958 18.432 0.067
60699.522159 18.236 0.055
60699.524939 -17.122 0.004
60699.543025 18.257 0.066
60700.564534 18.375 0.068
60700.567374 18.606 0.09
60700.573467 18.328 0.061
60700.603755 18.537 0.09
60703.613946 18.288 0.064
60703.616754 18.321 0.059
60703.621875 18.199 0.055
60703.647523 18.397 0.097
60704.512889 -18.567 0.734
