2024aepn 0.04 349.326251111 7.67177555556
filter ATri
60684.209225 18.491 0.319
60684.216495 18.541 0.182
60684.219697 18.694 0.195
60684.229778 18.688 0.199
60688.224413 18.68 0.291
60688.230319 19.05 0.43
60688.233967 18.609 0.267
60689.234073 19.03 0.36
60689.237247 18.35 0.211
60689.242709 18.83 0.299
60689.253332 18.531 0.256
60690.208716 19.227 0.496
60690.211919 18.882 0.262
60690.222001 18.706 0.174
60690.228008 18.656 0.172
60694.223426 18.867 0.151
60694.227133 18.883 0.154
60694.237343 19.155 0.223
60694.245669 18.805 0.157
