ATLAS2024mpq -99999 -99999 -99999
filter ATri
60683.259733 -20.021 0.447
60683.269974 19.428 0.392
60683.286757 -19.338 0.339
60685.208726 -14.88 0.872
60685.230916 -18.941 0.333
60687.222777 -20.115 0.802
60687.22826 -18.127 0.132
60687.244825 -18.003 0.149
60687.246197 18.146 0.162
60687.250418 -18.79 0.293
60687.25598 -18.253 0.2
60687.26936 18.25 0.222
60689.219883 -19.229 0.477
60689.225379 18.809 0.297
60689.245952 -18.845 0.335
60691.208881 18.774 0.334
60691.212074 18.841 0.232
60691.230736 18.657 0.127
60692.219722 -19.929 0.511
60692.232636 18.421 0.113
60692.247558 -17.592 0.135
