ATLAS2024ptn -99999 -99999 -99999
filter ATri
60683.656252 21.216 0.737
60683.671052 -20.093 0.783
60687.573829 -19.564 0.653
60687.600853 20.059 0.961
60691.637463 20.642 0.812
60693.612378 -20.276 0.551
60695.639532 -18.873 0.176
60695.641818 -21.203 0.991
60695.656119 -18.639 0.168
60695.658408 -19.974 0.344
60695.662529 -20.996 0.797
60695.6653 -20.024 0.479
60697.532088 19.756 0.364
60697.534245 -20.451 0.581
60697.537994 -20.704 0.792
60699.588969 -21.004 0.687
60699.595717 -20.763 0.643
60699.60621 -20.836 0.873
60699.609004 -20.89 0.635
60709.596731 20.393 0.471
60709.600052 20.394 0.412
60709.60657 21.01 0.731
60709.607039 20.813 0.559
60709.612576 20.922 0.617
60709.616725 20.327 0.404
60709.622343 -20.517 0.484
60711.521425 21.236 0.911
60711.525399 20.781 0.798
