2024acnr 0.027483 201.683502447 16.8617973296
filter ATgr
60708.506738 19.432 0.178
60708.539825 20.246 0.281
60708.556119 19.697 0.203
60708.559038 19.672 0.166
60710.519384 20.373 0.411
60710.522096 19.353 0.149
60710.527161 20.202 0.265
60710.543008 19.798 0.227
60711.354339 20.045 0.407
60711.357501 19.574 0.269
60711.364947 19.05 0.151
60711.369996 19.604 0.32
filter ATri
60682.584208 19.024 0.175
60682.587002 18.823 0.126
60682.592521 19.121 0.141
60682.604465 19.032 0.137
60684.573416 19.279 0.147
60684.57998 19.251 0.157
60684.583238 19.322 0.108
60684.594388 19.625 0.181
60687.329799 0.0 0.0
60690.510986 19.818 0.535
60690.533847 19.489 0.454
60690.537032 19.082 0.217
60690.553897 19.622 0.487
60690.590869 19.401 0.313
60690.59685 19.925 0.467
60691.326817 19.439 0.719
60691.335428 19.632 0.745
60691.605913 19.272 0.262
60691.609187 19.15 0.253
60691.614514 19.312 0.273
60691.636638 19.396 0.317
60692.59949 18.886 0.184
60692.602299 19.146 0.195
60692.609626 19.358 0.301
60693.594231 19.431 0.271
60693.597038 19.357 0.279
60693.599918 20.022 0.516
60693.609765 19.928 0.478
60694.589018 20.038 0.521
60694.592673 19.912 0.48
60694.598158 19.997 0.487
60695.581432 19.773 0.304
60695.591461 19.594 0.296
60695.594295 19.186 0.158
60695.597092 19.451 0.235
60696.584295 18.533 0.296
60696.588413 19.114 0.62
60697.478377 19.559 0.273
60697.492678 17.894 0.836
60697.49735 16.626 0.347
60699.536111 20.092 0.377
60699.539327 20.559 0.606
60699.56158 20.067 0.337
60699.570624 19.831 0.252
60700.581985 19.524 0.153
60700.584798 19.944 0.294
60700.587554 19.97 0.278
60700.592737 19.991 0.251
60703.565851 20.655 0.436
60703.601194 20.074 0.359
60703.603032 19.814 0.215
60703.605898 19.707 0.23
60703.670727 19.699 0.44
60704.563319 19.999 0.305
60704.566099 20.08 0.283
60704.571502 20.198 0.388
60704.579444 19.905 0.253
60708.553551 20.346 0.417
60708.555378 19.376 0.181
60708.558432 19.731 0.283
60708.563506 19.821 0.263
60710.491074 20.346 0.562
60710.59358 20.33 0.429
60710.660773 20.532 0.544
60711.463346 20.206 0.412
60711.467911 19.988 0.336
60711.481072 19.457 0.204
60711.486518 20.099 0.398
60711.543584 20.314 0.417
