2024ans 0.051 181.646167 54.133919
filter ATri
60683.581464 -20.494 0.421
60683.584645 -19.413 0.158
60683.588296 -20.504 0.443
60687.564988 19.866 0.734
60687.568181 19.633 0.578
60691.510424 20.474 0.897
60691.53331 20.203 0.778
60691.538492 19.704 0.534
60693.538542 20.522 0.771
60695.448531 20.126 0.524
60695.488895 19.855 0.422
60697.409768 19.658 0.317
60697.41426 20.032 0.297
60699.545227 21.139 0.99
60699.549785 -21.011 0.884
60699.555214 20.797 0.782
60709.526784 -21.158 0.955
60709.53047 20.975 0.755
60710.415519 20.344 0.472
60710.41968 16.296 0.013
60711.443161 20.656 0.617
60711.4481 20.589 0.555
60711.453763 20.352 0.417
