2021abbh 0.041 249.423875 75.000739
filter ATri
60693.602471 -19.44 0.383
60693.607682 19.518 0.47
60693.619443 20.035 0.627
60693.629318 20.273 0.807
60697.568799 20.306 0.551
60697.610309 -20.079 0.693
60697.618894 -19.226 0.54
60699.649986 -20.56 0.676
60699.656464 -20.853 0.954
60709.510048 -20.356 0.78
60709.516594 20.337 0.687
60710.649224 20.525 0.919
60710.664838 -20.389 0.966
