objname, ra, dec, z, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err
2022xnq, 1.1623692719153491, -8.099926680164582, 0.0286, 59878.517814648934, 0.794812978914706, 0.02206624150585893, 0.006088828259684845, 15.708873086576105, 3.3987166698366704, 0.29600827180812306, 0.23457293852444305, 35.657032014654014, 1.2043732687610245
2021oyx, 358.86536871987545, -34.87484410425709, 0.049921, 59391.07384637093, 0.002906594225351, 0.010354489539506968, 0.005201381629004305, 12.578079691470508, 4.153391225847614, 0.8783549081217717, 0.3552952631983928, 34.26412683233295, 1.259205624153481
2018jag, 15.951294449789689, 10.592351746809557, 0.04, 58490.34258837961, 4.9938678858634376, 0.014070109559859816, 0.011653187225650083, -0.6580305642651968, 5.090213874461973, 0.3777834909398102, 0.6644289530814627, 33.39778282273428, 1.3400339775740016
2023ex, 194.72340272630746, 28.126949858724423, 0.023376, 59955.81922397543, 3.978800405497168, 0.10750357138781179, 0.20353182147572152, -0.2877963535889648, 4.1143435321851, 0.23378888162009645, 1.350745913537978, 31.675719060084507, 1.2719263219203727
2022aaok, 138.75348383900604, 22.589561981475406, 0.027214, 59912.88107992941, 1.8440123103937367, 0.02016103389633124, 0.006418797841863598, 0.07702246921415143, 2.32367305460589, 0.6744382682340944, 0.23485844800833322, 32.23567639896412, 1.1430267660082416
2017hle, 16.88778656365311, 32.4082286103301, 0.015, 58336.92308941761, 296.5718817165325, 3.2621922073627543, 1.331118901486577, 0.0, 44.039366212884055, 0.0, 0.2776427154878641, 28.71122613511104, 6.825070106656286
2018ame, 227.3563931337691, 25.471542558881964, 0.022, 58720.589254740145, 343.0130537968362, 0.3132599069704643, 0.25034068094550777, 0.0, 83.28492388153488, 0.0, 0.5488954400938709, 31.255237963447705, 12.789040671500377
2020aclx, 9.472744000000002, -21.471927999999995, 0.06, 59602.92456709054, 28.545775390801282, 0.9965227849226183, 0.4346947931884246, 0.0, 70.21814026417057, 0.0, 0.8384183575977155, 29.99878191738857, 10.798860802758574
2021zsz, 92.63879631704842, -14.538870149377928, 0.035746, 59475.0562579432, 1.5274398770634434, 1.48997487961128e-06, 1.8516157850675464e-06, 1.5918340102349882, 1.2628385108813653, 6.49804137839017, 0.7196037562882721, 25.441439929862376, 1.1082764733275479
2024luo, 10.074032578559928, 2.7566803332949923, 0.017, 60496.02807126267, 1.4181705261835305, 0.11426476436747865, 0.15606933809993143, 15.601166459825254, 10.086654285418328, -0.5093989222123256, 0.9980570576188973, 36.255206435587375, 1.8930892241859163
2022abom, 55.288120413239035, -2.8485375859548903, 0.036, 59969.796858735855, 0.9847254493433866, 0.009303772438471285, 0.0035642586217667347, 0.0009812645986109394, 1.2280945230875002, 1.3434660626560129, 0.27665479698497536, 31.06997356822995, 1.1026879039475639
2018efn, 221.2905622978074, 9.273927894946588, 0.024, 58691.43270965451, 2.038968958251644, 2.1422482098956697, 2.902347717139, -5.791024540156446, 2.074680011400671, -0.05918186011533703, 0.8992862666420264, 28.45816071700464, 1.1395234206515579
2019cdc, 212.20472173447806, 35.6142343137112, 0.02777, 58576.97898605557, 0.38618581755508785, 0.05158824007610891, 0.004092808416613051, -0.8007241131021011, 0.5395436891088377, 0.4322220418967404, 0.06083996003917384, 31.803090745230946, 1.0889096783954961
2022xkq, 76.3487977104891, -11.882253212859856, 0.007735, 59879.95869233423, 0.03164828695662436, 0.6668013272300016, 0.005517522649928736, -2.214792095183562, 0.043251411006041116, 0.2130850350834332, 0.006520848601268815, 29.46115226590024, 1.0857568293878332
2021wzb, 72.76727135859213, -5.956928904982985, 0.0478, 59443.25366784781, 1.1552640808658907, 0.06491310105736711, 0.07985115980585747, -2.069138230941781, 2.686211125016167, 0.08894702683569866, 0.8438292288950596, 32.38252881835867, 1.1680772495668714
2024jhk, 162.8512114449619, 8.558299085325991, 0.02315, 60464.0791083537, 1.4558137994063145, 0.06934301745573096, 0.015675386235944132, 0.8605734839045098, 1.8014890588429793, 0.1476280779445233, 0.1738274572902084, 32.58422923071167, 1.1204914684103686
2018eyi, 246.30204266284116, 40.84025346715421, 0.03038, 59037.95991901391, 0.25947428454310284, 1.3414419188208278, 0.2550171104876882, -15.83150738193062, 2.038873990175377, -0.032954850287181016, 0.12409316702942605, 27.35205514062524, 1.1298207665412259
2021bls, 250.83634089611053, 61.594851830280966, 0.019, 59250.09283091851, 1.4678330110946263, 0.006191715994954224, 0.00288428328779811, 2.7671491335870755, 1.5306706767666642, 1.784052156877042, 0.33564701261389823, 30.622370820763365, 1.1118932139156221
2023dk, 77.7763019006191, -1.0802048956828456, 0.02844, 60041.64191951629, 0.05470532696926966, 3.72278524924407e-09, 4.220220485158103e-10, -749015.8268300648, 82520.35272651298, 6.715184472859467, 0.054873987137252285, -114568.36492469013, 12625.614013843071
2022ydr, 264.7369415088767, 74.82995898557314, 0.024931, 59882.430608687835, 0.7302110698983597, 0.05596890669970114, 0.030876806906791385, -3.9042474501793643, 1.563151486351063, 0.2871373750514213, 0.38279947889403165, 31.672113703837674, 1.1133067419028053
2019cp, 163.7085070947211, -7.38096439111269, 0.05, 58461.356726143145, 3.8663828935459605, 0.01819537903183823, 0.01737175885675029, 3.9849170049896165, 7.5645952560437655, 0.6155212562196086, 0.5559646522783432, 33.12053619098431, 1.5892118585110513
2021fnr, 219.50783765468793, 10.184075515070733, 0.026949, 59294.13567223252, 1.0501156681202701, 0.015170625332054077, 0.007070605357058901, -3.6759289742671353, 1.7850461256845696, 0.9550169955267069, 0.33197519877002263, 31.13412351341226, 1.120711002113142
2022aecb, 74.75937846380604, -0.4419266446851301, 0.015, 60020.33654876309, 10.523286686984648, 1.0943136243673601, 11.730165839371812, 36.62737537368684, 415.2437449636566, -0.2300427189899933, 14.189009029965233, 36.18666121904767, 63.578643906198224
2019be, 195.0605280377852, 27.95679209010926, 0.02, 58492.46639884966, 1.4956458829983603, 0.02233885495524783, 0.006017933580599742, -0.07729749374605835, 2.7140475295742648, 0.682661274006712, 0.18785553098776378, 32.076190616194616, 1.1627902479980217
2022omn, 341.8629271758788, -25.66482783660629, 0.05, 59744.70685273569, 0.0020309329011070076, 0.07346904710252906, 0.056293064798845695, 1.8598702251230497, 1.5788228081858036, 0.09595549618003543, 0.5420697168936691, 32.82835174818171, 1.1153711388108687
