objname, objname, ra, dec, z, MJDs, MJDe, mu, st, Tmax, EBVhost, mu_err, st_err, Tmax_err, EBVhost_err, host_mass, host_mass_err
2020vae, 2020vae, 270.744675, 52.115075, 0.04846, 2458228.9723264, 2460484.8290046, 36.500929213414615, 0.5045258707372118, 2459134.50272103, 0.16676066549737575, 0.04430407371707946, 0.018700435932667032, 0.16947278275466146, 0.03355543822320494, 10.61938683424752, 0.015165662741275331
2022zvu, 2022zvu, 148.46274583333332, -7.792683333333334, 0.019323, 2458218.6929167, 2460430.7476042, 34.973130772505804, 0.5990303433363776, 2459896.822790495, 0.23621168830764633, 0.024338776665434214, 0.01313279498237659, 0.141154908904204, 0.029533908843695993, 10.542607440652626, 0.0012099832400037588
2019bwi, 2019bwi, 141.354254166667, 65.4675027777778, 0.02968, 2458269.740081, 2460433.7389583, 36.21616285464304, 1.1872539787267482, 2458568.970093243, 0.5525691146904639, 0.04834945533403458, 0.022466147471657948, 0.3165501551426067, 0.028108344621663357, 8.839761027821579, 0.012505917069982822
2020nta, 2020nta, 241.847275, 13.8926222222222, 0.033953, 2458237.7997222, 2460147.7697801, 36.43197877959835, 0.4243227284343156, 2459035.0927723125, 0.3624218730398901, 0.09222487145260437, 0.028462979015777226, 0.33521450476066944, 0.08707469501414146, 10.968085313226508, 0.0006007041323623824
2023bhm, 2023bhm, 70.72892083333333, 0.618425, 0.015419, 2458354.945625, 2460208.9666782, 34.270852213788494, 0.9379140527968135, 2459991.323076852, 0.05930276710034831, 0.010902672886812181, 0.007233004267015729, 0.03802094022613665, 0.0052863020249378214, 10.944880130229151, 0.0007042302707270253
2018eyi, 2018eyi, 246.301958333333, 40.8401583333333, 0.03038, 2458229.8512153, 2459307.9288889, 35.79403768286278, 0.43174396460515047, 2458339.751276543, 0.4252449978759191, 0.06671049197473032, 0.019032012879977474, 0.24946051091854685, 0.054515178760626955, 10.143590364193393, 0.0012393031211338115
2023cvq, 2023cvq, 129.5441005730084, 25.101551215538002, 0.0286, 2458850.923125, 2460059.6670718, 35.80362953589343, 0.28350342290346453, 2460005.1941090017, -0.12873479640114724, 0.13023793490627886, 0.023621585381848772, 1.142861845015311, 0.08145212904281139, 10.547609098927339, 0.0009310322625326865
2019moq, 2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 2458283.9484144, 2460446.9769329, 37.46208100474966, 0.7288714764836007, 2458695.7789662783, 0.04240851429018036, 0.024837198412839594, 0.013615992114523199, 0.10394446204127922, 0.017373936809354555, 10.979192644467481, 0.0047669442378859665
2022ubt, 2022ubt, 289.1199583333333, 41.889291666666665, 0.052, 2458297.8819097, 2460201.7033333, 37.02569748932884, 0.5960482356667216, 2459844.093590888, -0.057635184895436065, 0.032613912428378126, 0.02353837459957541, 0.12593319965690708, 0.03215624130724675, 10.387851541544412, 0.0032791740061456085
2018ciw, 2018ciw, 224.878291666667, 28.1830166666667, 0.056, 2458222.8604398, 2459266.8884491, 38.23987582303505, 0.5450184817986342, 2458275.731282173, -0.8639129551959311, 0.5037303750645165, 0.09486106260540675, 0.7831811418963548, 0.4748260694716364, 12.38697996711908, 0.004384734224813007
