# Created by M.D. Woods -- 2024-11-27 12:38:20.669560 -- NUM TARGETS: 65
# WARNING: 'stretch' and 'color' are NOT identical for SNPY & SALT.
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, hostMass, hostMass_err, Tmax, Tmax_err, stretch, stretch_err, color, color_err, peak_mag, peak_mag_err, algo
2004gs, 129.596583, 17.627722, 0.0267, 0.02743521091657417, 53352.85, 53461.56, CSP_SALT, 35.70528722172406, 0.005685966006046852, 10.524491610792518, 0.0008337715580172614,  53356.36578071601, 4.506946061155759e-05, -2.032308914174487, 0.010797725424057214,  0.2356948882136261, 0.0016881238245048278, 17.390666666666664, 0.010875000000000001, SALT
2008gp, 50.753042, 1.361889, 0.0334, 0.0316740244728526, 54768.75, 54844.52, CSP_SALT, 36.04072489900193, 0.005870955817913843, 10.825626853900289, 0.0008195866476426455,  54779.725451022896, 0.012382852957671275, -0.0038670460674539164, 0.013909196876857877,  0.07613356853628965, 0.001660317749945028, 17.139885714285715, 0.03025714285714286, SALT
2009al, 162.841958, 8.578528, 0.0221, 0.023294362161299355, 54891.71, 54973.54, CSP_SALT, 34.9788718840138, 0.008873500596593085, 10.676596531095123, 0.0005467162453691708,  54896.99799795559, 0.07213045713069732, -0.4874559651050614, 0.022410175087505535,  0.21158698581411525, 0.0024105467779783505, 16.522230769230767, 0.02184615384615385, SALT
2008ae, 149.013333, 10.499667, 0.03, 0.030857352186054905, 54508.74, 54602.52, CSP_SNPY, 35.597199662678776, 0.07799596000851007, 10.290002175888732, 0.0008835091764675878,  54512.7301553859, 0.3061437485567594, 0.4330242905818231, 0.03433016201622572,  0.2741340633120017, 0.08024822237019046, 18.273090909090907, 0.051181818181818196, SNPY
2005ki, 160.117583, 9.202333, 0.0192, 0.020898630617279666, 53695.86, 53861.5, CSP_SALT, 34.89720444163447, 0.004699902786680768, 10.709160295771582, 0.00038088954032225003,  53705.79588465526, 0.011874254283611663, -1.5041658811472836, 0.008247488892276222,  -0.016907059947006545, 0.0013820237127165666, 16.143395348837206, 0.019139534883720933, SALT
2006ev, 322.746917, 13.989222, 0.0287, 0.027057648155491495, 53993.59, 54039.52, CSP_SALT, 35.9607444229968, 0.013319151619684886, 10.748696257484479, 0.0007780565778547196,  53989.9997328721, 0.07670086455254932, -1.3276540554294458, 0.028973079865472817,  0.2139203714474274, 0.003514282996892983, 17.527727272727272, 0.05054545454545455, SALT
2006gj, 49.399167, -1.691722, 0.0284, 0.027522378419553843, 53998.83, 54096.59, CSP_SALT, 35.77359458918164, 0.012609869485142328, 10.669635209313917, 0.0012479558890463075,  54000.04477064896, 0.05332698499842081, -2.351373856548614, 0.02941176566874093,  0.4168419576187793, 0.003651595153463454, 17.846, 0.02627272727272727, SALT
2007ol, 24.34875, -0.312, 0.0559, 0.054025413754148294, 54409.79, 54422.66, CSP_SALT, 37.02593896968296, 0.04523635063401864, 10.289335360151146, 0.0023866700569406345,  54413.55968691815, 0.10652713303716155, -2.604144533011192, 0.21807690924609746,  0.045488574954806696, 0.009948098012878208, 18.273368421052634, 0.032421052631578955, SALT
2005mc, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, CSP_SALT, 35.343980138798706, 0.013320410168053454, 13.004227849812548, 0.0005277710097430307,  53730.68518790677, 0.07945568033392192, -2.1831003016274186, 0.015927466708968385,  0.2777652484582651, 0.00331899566046242, nan, nan, SALT
2008go, 332.686792, -20.788111, 0.0623, 0.06071935029069365, 54764.54, 54776.58, CSP_SALT, 37.27831750180099, 0.019360904889912534, 10.908950503065558, 0.0017321529641886853,  54766.19580998218, 0.08536905344953993, -0.2865160143826073, 0.10725961326286754,  0.08991676557928377, 0.0032584862430932887, 18.461103448275864, 0.028586206896551718, SALT
