objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, hostMass, hostMass_err, algo
2004gs, 129.596583, 17.627722, 0.0267, 0.02743521091657417, 53352.85, 53461.56, CSP_SALT, 35.70528722172406, 0.005685966006046852, 10.524491610792518, 0.0008337715580172614, SALT
2008gp, 50.753042, 1.361889, 0.0334, 0.0316740244728526, 54768.75, 54844.52, CSP_SALT, 36.04072489900193, 0.005870955817913843, 10.825626853900289, 0.0008195866476426455, SALT
2009al, 162.841958, 8.578528, 0.0221, 0.023294362161299355, 54891.71, 54973.54, CSP_SALT, 34.9788718840138, 0.008873500596593085, 10.676596531095123, 0.0005467162453691708, SALT
2008ae, 149.013333, 10.499667, 0.03, 0.030857352186054905, 54508.74, 54602.52, CSP_SNPY, 35.597199662678776, 0.07799596000851007, 10.290002175888732, 0.0008835091764675878, SNPY
2005ki, 160.117583, 9.202333, 0.0192, 0.020898630617279666, 53695.86, 53861.5, CSP_SALT, 34.89720444163447, 0.004699902786680768, 10.709160295771582, 0.00038088954032225003, SALT
2006ev, 322.746917, 13.989222, 0.0287, 0.027057648155491495, 53993.59, 54039.52, CSP_SALT, 35.9607444229968, 0.013319151619684886, 10.748696257484479, 0.0007780565778547196, SALT
2006gj, 49.399167, -1.691722, 0.0284, 0.027522378419553843, 53998.83, 54096.59, CSP_SNPY, 35.61873389184679, 0.01285679018407017, 10.669635209313917, 0.0012479558890463075, SNPY
2007ol, 24.34875, -0.312, 0.0559, 0.054025413754148294, 54409.79, 54422.66, CSP_SALT, 37.02593896968296, 0.04523635063401864, 10.289335360151146, 0.0023866700569406345, SALT
2005mc, 126.7765, 21.646, 0.0252, 0.025657773714809186, 53736.79, 53773.62, CSP_SALT, 35.343980138798706, 0.013320410168053454, 13.004227849812548, 0.0005277710097430307, SALT
2008go, 332.686792, -20.788111, 0.0623, 0.06071935029069365, 54764.54, 54776.58, CSP_SALT, 37.27831750180099, 0.019360904889912534, 10.908950503065558, 0.0017321529641886853, SALT
2006kf, 55.460333, 8.156944, 0.0213, 0.02090716743106265, 54036.81, 54127.64, CSP_SALT, 35.190429047116716, 0.006384693510751022, 10.847440404300489, 0.0005624670042569112, SALT
2008hu, 122.3115, -18.653639, 0.0497, 0.050623552738642955, 54804.74, 54844.84, CSP_SALT, 37.055289127596566, 0.011791399589664067, 10.107881298730984, 0.007118355222168162, SALT
2006ob, 27.950458, 0.263417, 0.0592, 0.057498350544748326, 54060.65, 54121.57, CSP_SALT, 37.236600202317625, 0.016912655466655966, 11.3688972447224, 0.0010849287166291976, SALT
2005na, 105.402583, 14.13325, 0.0263, 0.026774414686061662, 53738.71, 53834.54, CSP_SALT, 35.45063268080756, 0.005566948757439965, 10.902842205220578, 0.000773697241361911, SALT
2007jd, 44.972375, 1.160722, 0.0726, 0.0717710864312675, 54362.83, 54409.83, CSP_SALT, 37.90180343119706, 0.02510844097633304, 10.066482342060203, 0.004639021074210903, SALT
2006eq, 322.154708, 1.228194, 0.0495, 0.048494734308785356, 53980.56, 54029.51, CSP_SALT, 36.881875994912136, 0.028093702698819632, 10.120574709522273, 0.002816689517966661, SALT
2008gl, 20.228417, 4.805306, 0.034, 0.032742544933472346, 54765.7, 54844.55, CSP_SALT, 35.94992430741414, 0.005358006595284328, 11.359976556285138, 0.0066667387890840925, SALT
2008ar, 186.158, 10.838167, 0.0261, 0.02586206495019581, 54527.79, 54627.59, CSP_SALT, 35.56507723398275, 0.007438903660560424, 10.102752183811647, 0.001262498820507511, SALT
2006ej, 9.749042, -9.015722, 0.0205, 0.018069132884244235, 53979.74, 54046.74, CSP_SALT, 34.983385909879004, 0.011211385338195236, 10.279706103453293, 0.0008070475039513622, SALT
2007ux, 152.33325, 14.992444, 0.0309, 0.031516000192171406, 54466.82, 54558.61, CSP_SALT, 35.92537914906298, 0.009382335991580074, 10.222315389325127, 0.0013786653578807876, SALT
2008fu, 45.61875, -24.455972, 0.052, 0.051480777959967784, 54737.84, 54817.67, CSP_SALT, 37.07431885801441, 0.027053152099430426, 10.667201822306131, 0.0020460918125516864, SALT
2007bd, 127.888667, -1.199444, 0.0309, 0.0321001350680277, 54197.53, 54259.46, CSP_SALT, 35.939611635961015, 0.007832064257550574, 10.638096124340995, 0.001086444267768327, SALT
2007mm, 16.444458, -0.758833, 0.0664, 0.06456278748171412, 54385.72, 54418.69, CSP_SNPY, 37.224920691987656, 0.050136338579719955, 9.37688091226328, 0.007453549893324646, SNPY
