objname, z_cmb, origin, mu, mu_err, hostMass, hostMass_err
2004gs, 0.02743521091657417, CSP_SNPY, 35.506727058001545, 0.008189271699739065, 10.524491610792518, 0.0008337715580172614
2008ae, 0.030857352186054905, CSP_SNPY, 35.597199662678776, 0.07799596000851007, 10.290002175888732, 0.0008835091764675878
2006gj, 0.027522378419553843, CSP_SNPY, 35.61873389184679, 0.01285679018407017, 10.669635209313917, 0.0012479558890463075
2007ol, 0.054025413754148294, CSP_SNPY, 37.13519391403963, 0.06268784143300157, 10.289335360151146, 0.0023866700569406345
2005mc, 0.025657773714809186, CSP_SNPY, 35.18960488107766, 0.015133026650237594, 13.004227849812548, 0.0005277710097430307
2006kf, 0.02090716743106265, CSP_SNPY, 34.81674635381723, 0.011015103417082414, 10.847440404300489, 0.0005624670042569112
2008hu, 0.050623552738642955, CSP_SNPY, 36.74325485948069, 0.016298728730834933, 10.107881298730984, 0.007118355222168162
2006ob, 0.057498350544748326, CSP_SNPY, 37.04098566845323, 0.0199475901641998, 11.3688972447224, 0.0010849287166291976
2006eq, 0.048494734308785356, CSP_SNPY, 36.64975878434873, 0.0225030784522701, 10.120574709522273, 0.002816689517966661
2007ux, 0.031516000192171406, CSP_SNPY, 35.72102963385256, 0.01195784807466265, 10.222315389325127, 0.0013786653578807876
2007mm, 0.06456278748171412, CSP_SNPY, 37.224920691987656, 0.050136338579719955, 9.37688091226328, 0.007453549893324646
2005be, 0.0355986032816855, CSP_SNPY, 35.86644351217439, 0.01003165269791348, 10.545044668481573, 0.0010384127802137444
2007nq, 0.04258458084208732, CSP_SNPY, 36.268958752594415, 0.00863463890182378, 11.25062156153491, 0.0008671398747487263
2008gp, 0.0316740244728526, CSP_SALT, 36.04072489900193, 0.005870955817913843, 10.825626853900289, 0.0008195866476426455
2007ca, 0.015735060207281045, CSP_SALT, 34.60855813642898, 0.004579953857390281, 9.100726295715653, 0.002123969178416933
2009al, 0.023294362161299355, CSP_SALT, 34.9788718840138, 0.008873500596593085, 10.676596531095123, 0.0005467162453691708
2005ki, 0.020898630617279666, CSP_SALT, 34.89720444163447, 0.004699902786680768, 10.709160295771582, 0.00038088954032225003
2006lu, 0.055620130925735006, CSP_SALT, 37.16415433055789, 0.011474459633523308, 10.312301203111709, 0.0032468771455692633
2006ev, 0.027057648155491495, CSP_SALT, 35.9607444229968, 0.013319151619684886, 10.748696257484479, 0.0007780565778547196
2007jh, 0.03836771333034954, CSP_SALT, 36.692169293473285, 0.02124461678005103, 10.963091620417575, 0.0010519692878266553
2008go, 0.06071935029069365, CSP_SALT, 37.27831750180099, 0.019360904889912534, 10.908950503065558, 0.0017321529641886853
2008cf, 0.04668465270812782, CSP_SALT, 36.877802768823344, 0.007964011709222795, 8.754352914249603, 0.009911439712941946
2005na, 0.026774414686061662, CSP_SALT, 35.45063268080756, 0.005566948757439965, 10.902842205220578, 0.000773697241361911
2005bg, 0.02433405884990326, CSP_SALT, 35.375852228521595, 0.007508253711838855, 9.797047393282007, 0.0010007345933335352
2004gu, 0.04686413423840836, CSP_SALT, 36.76514667141134, 0.008200755889975273, 10.169178254050212, 0.004755317603574504
2007jd, 0.0717710864312675, CSP_SALT, 37.90180343119706, 0.02510844097633304, 10.066482342060203, 0.004639021074210903
2007hx, 0.07815815296284123, CSP_SALT, 38.231460175644976, 0.024356460303387954, 10.947106485783687, 0.006470108825979771
2005hj, 0.05548572073168324, CSP_SALT, 37.30922937429491, 0.012408100429063415, 9.52474382794979, 0.008544462310874676
2005ir, 0.07483568715065346, CSP_SALT, 37.865567741232354, 0.018953066962354975, 10.12736126558582, 0.0032889795740147407
2005M, 0.023072994129384964, CSP_SALT, 35.361472837896095, 0.003986625576301273, 10.813351840715338, 0.002656906099817178
2008bf, 0.024411752508128857, CSP_SALT, 35.4071893656962, 0.005289925242005487, 9.335821037180079, 0.031184576784899356
2008hj, 0.03630007086410033, CSP_SALT, 36.30202783984328, 0.006242779839308932, 10.973017153863509, 0.002418117405834231
2009D, 0.025176933726842318, CSP_SALT, 35.28203387758296, 0.003708032009463258, 10.288567554002853, 0.000981265532668124
2008gl, 0.032742544933472346, CSP_SALT, 35.94992430741414, 0.005358006595284328, 11.359976556285138, 0.0066667387890840925
2007A, 0.01599141880672713, CSP_SALT, 34.6781236273572, 0.011204140406342997, 6.774565304332999, 0.07187074108120962
2008ar, 0.02586206495019581, CSP_SALT, 35.56507723398275, 0.007438903660560424, 10.102752183811647, 0.001262498820507511
2006ej, 0.018069132884244235, CSP_SALT, 34.983385909879004, 0.011211385338195236, 10.279706103453293, 0.0008070475039513622
2005eq, 0.028413520825003265, CSP_SALT, 35.80576583427611, 0.006312673228152169, 11.032511457537016, 0.0010013614597814862
2008gg, 0.03099832534188527, CSP_SALT, 35.79709372856085, 0.005302552512207545, 11.850745409234504, 0.0015379705707240455
2008fu, 0.051480777959967784, CSP_SALT, 37.07431885801441, 0.027053152099430426, 10.667201822306131, 0.0020460918125516864
2007bd, 0.0321001350680277, CSP_SALT, 35.939611635961015, 0.007832064257550574, 10.638096124340995, 0.001086444267768327
2006is, 0.03226331170771942, CSP_SALT, 36.041869232403705, 0.0070527802211278615, 8.029056816690083, 0.023538324305404885
2008C, 0.016903903224004785, CSP_SALT, 34.544093719885524, 0.014102041067540374, 10.028240434860418, 0.0010325410340992131
2004dt, 0.017903858661518453, CSP_SALT, 34.069544112006454, 0.004078222800141216, 9.894124914800818, 0.005391433500817889
2005ag, 0.08049898772468446, CSP_SALT, 37.93975059593704, 0.009153208179894715, 10.925112928401077, 0.0019752075735155416
