# Created by M.D. Woods -- 2024-12-16 10:59:06.672958 -- HUBBLE RESID STD: 0.15386591113547454
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 3.2), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': 0.1357883809058704 +/- 0.003029208660312389
# Avg. 'x1': -0.4341674752261811 +/- 0.03491554498789551
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err, peak_mag, peak_mag_err, cov00, cov01, cov02, cov03, cov10, cov11, cov12, cov13, cov20, cov21, cov22, cov23, cov30, cov31, cov32, cov33
2004gs, 129.596583, 17.627722, 0.0267, 0.02743521091657417, 53352.85, 53461.56, CSP, 53356.36578071601, 4.506946061155759e-05, 0.0020443699986528387, 3.9017683729122084e-06, -2.032308914174487, 0.010797725424057214, 0.2356948882136261, 0.0016881238245048278, 35.70528722172406, 0.005685966006046852, 10.524491610792518, 0.0008337715580172614, 17.390666666666664, 0.010875000000000001, 2.031256496394224e-09, 4.571696577018443e-13, -1.374194871744056e-09, -1.7843311525440063e-10, 4.571696577018443e-13, 1.522379643585798e-11, -1.5043342623745683e-08, -5.084487450042413e-09, -1.374194871744056e-09, -1.5043342623745683e-08, 0.00011659109144968266, 1.0036889295226087e-06, -1.7843311525440063e-10, -5.084487450042413e-09, 1.0036889295226087e-06, 2.849762046860807e-06
2008gp, 50.753042, 1.361889, 0.0334, 0.0316740244728526, 54768.75, 54844.52, CSP, 54779.725451022896, 0.012382852957671275, 0.0030954383830277426, 6.661280020514895e-06, -0.0038670460674539164, 0.013909196876857877, 0.07613356853628965, 0.001660317749945028, 36.04072489900193, 0.005870955817913843, 10.825626853900289, 0.0008195866476426455, 17.139885714285715, 0.03025714285714286, 0.0001533350496768378, -2.8465034053114685e-09, -2.974804195030273e-06, 3.4036239074816784e-07, -2.8465034053114685e-09, 4.437265151171092e-11, -6.320978271548031e-08, -8.654482938691784e-09, -2.974804195030273e-06, -6.320978271548031e-08, 0.00019346625681488394, 8.301622253073096e-06, 3.4036239074816784e-07, -8.654482938691784e-09, 8.301622253073096e-06, 2.756655030782521e-06
2007ca, 202.774208, -15.101833, 0.0141, 0.015735060207281045, 54217.65, 54275.65, CSP, 54228.10598390407, 0.012866123441199306, 0.005916913127928361, 9.648809798686663e-06, 0.7115701076058278, 0.012205846240449514, 0.35740741862265313, 0.001271350311398513, 34.60855813642898, 0.004579953857390281, 9.100726295715653, 0.002123969178416933, 15.971552631578946, 0.012000000000000002, 0.00016553713537612613, -3.53325120686859e-08, 2.9646046873043638e-05, 2.885858210467209e-06, -3.53325120686859e-08, 9.309953053123176e-11, -6.56120613623173e-08, -1.0629783692225332e-08, 2.9646046873043638e-05, -6.56120613623173e-08, 0.00014898298450874726, 6.227911453522082e-06, 2.885858210467209e-06, -1.0629783692225332e-08, 6.227911453522082e-06, 1.616331614293096e-06
2009al, 162.841958, 8.578528, 0.0221, 0.023294362161299355, 54891.71, 54973.54, CSP, 54896.99799795559, 0.07213045713069732, 0.005301603621402387, 1.9150272732194885e-05, -0.4874559651050614, 0.022410175087505535, 0.21158698581411525, 0.0024105467779783505, 34.9788718840138, 0.008873500596593085, 10.676596531095123, 0.0005467162453691708, 16.522230769230767, 0.02184615384615385, 0.0052028053663819565, -8.678124796204977e-07, -0.0012077866282823558, 6.640349130162706e-05, -8.678124796204977e-07, 3.6673294571744696e-10, 8.018006646388953e-08, -3.6169747429910687e-08, -0.0012077866282823558, 8.018006646388953e-08, 0.0005022193427040845, -1.1736854701987263e-05, 6.640349130162706e-05, -3.6169747429910687e-08, -1.1736854701987263e-05, 5.810735768821807e-06
2005ki, 160.117583, 9.202333, 0.0192, 0.020898630617279666, 53695.86, 53861.5, CSP, 53705.79588465526, 0.011874254283611663, 0.009272919441742649, 1.605853430349035e-05, -1.5041658811472836, 0.008247488892276222, -0.016907059947006545, 0.0013820237127165666, 34.89720444163447, 0.004699902786680768, 10.709160295771582, 0.00038088954032225003, 16.143395348837206, 0.019139534883720933, 0.0001409979153918517, -2.8801989304576658e-08, -9.072545874513501e-07, -1.7353728087082206e-07, -2.8801989304576658e-08, 2.5787652397637627e-10, -6.577325598722798e-08, -1.7184352855566046e-08, -9.072545874513501e-07, -6.577325598722798e-08, 6.802114085855636e-05, 1.83132980640873e-06, -1.7353728087082206e-07, -1.7184352855566046e-08, 1.83132980640873e-06, 1.9099895425108827e-06
2006lu, 138.823458, -25.600083, 0.0534, 0.055620130925735006, 54040.84, 54137.75, CSP, 54039.181600342075, 6.527065488626249e-05, 0.0010244903552434563, 3.5691946095337374e-06, -0.2076804821813072, 0.026625436988664264, 0.09154391614577453, 0.0033684396349680716, 37.16415433055789, 0.011474459633523308, 10.312301203111709, 0.0032468771455692633, 18.351785714285715, 0.0345, 4.260258309436222e-09, 3.6011559900192093e-12, -4.979154530238393e-09, 6.229870758510376e-10, 3.6011559900192093e-12, 1.2739150160724687e-11, -4.8854701856746725e-08, -8.457984396489851e-09, -4.979154530238393e-09, -4.8854701856746725e-08, 0.0007089206073049886, 1.1085810975181094e-05, 6.229870758510376e-10, -8.457984396489851e-09, 1.1085810975181094e-05, 1.1346385574423834e-05
2006ev, 322.746917, 13.989222, 0.0287, 0.027057648155491495, 53993.59, 54039.52, CSP, 53989.9997328721, 0.07670086455254932, 0.0018943347226685477, 1.209737263037992e-05, -1.3276540554294458, 0.028973079865472817, 0.2139203714474274, 0.003514282996892983, 35.9607444229968, 0.013319151619684886, 10.748696257484479, 0.0007780565778547196, 17.527727272727272, 0.05054545454545455, 0.0058830261872115175, -7.429328524361643e-07, -0.0012937355882240847, 0.00013052926496172638, -7.429328524361643e-07, 1.4634642455826517e-10, 4.2514849840605246e-08, -3.580082232246897e-08, -0.0012937355882240847, 4.2514849840605246e-08, 0.0008394494652220356, 8.962669341119045e-06, 0.00013052926496172638, -3.580082232246897e-08, 8.962669341119045e-06, 1.2350184982251127e-05
2006gj, 49.399167, -1.691722, 0.0284, 0.027522378419553843, 53998.83, 54096.59, CSP, 54000.04477064896, 0.05332698499842081, 0.0011163039740233307, 4.637674917607678e-06, -2.351373856548614, 0.02941176566874093, 0.4168419576187793, 0.003651595153463454, 35.77359458918164, 0.012609869485142328, 10.669635209313917, 0.0012479558890463075, 17.846, 0.02627272727272727, 0.002843767766134705, -6.447748022294745e-08, -0.00047864329616319754, -4.52236830338974e-06, -6.447748022294745e-08, 2.1508028641407386e-11, -9.18350870881166e-09, -1.3222070213802165e-08, -0.00047864329616319754, -9.18350870881166e-09, 0.0008650647707890084, -6.110751097197456e-06, -4.52236830338974e-06, -1.3222070213802165e-08, -6.110751097197456e-06, 1.3334147164797785e-05
2007jh, 54.006417, 1.103389, 0.0408, 0.03836771333034954, 54363.86, 54413.8, CSP, 54364.45252253186, 0.11269370124136913, 0.0005521397088803319, 3.4620492633902596e-06, -1.6066417405830857, 0.05347211321121148, 0.40331948503106024, 0.006169886665111615, 36.692169293473285, 0.02124461678005103, 10.963091620417575, 0.0010519692878266553, 18.47714285714286, 0.02264285714285714, 0.012699884857873758, -5.9122154197020374e-08, -0.003725198114081328, 2.2617675318352692e-07, -5.9122154197020374e-08, 1.198578510214104e-11, -3.739901406561273e-08, -1.6597373625740577e-08, -0.003725198114081328, -3.739901406561273e-08, 0.002859388455895798, 3.805143157456285e-05, 2.2617675318352692e-07, -1.6597373625740577e-08, 3.805143157456285e-05, 3.806750146032213e-05
2007ol, 24.34875, -0.312, 0.0559, 0.054025413754148294, 54409.79, 54422.66, CSP, 54413.55968691815, 0.10652713303716155, 0.00094195116016344, 6.387529389726224e-06, -2.604144533011192, 0.21807690924609746, 0.045488574954806696, 0.009948098012878208, 37.02593896968296, 0.04523635063401864, 10.289335360151146, 0.0023866700569406345, 18.273368421052634, 0.032421052631578955, 0.011348055186523947, 1.099494064927463e-07, -0.016457047016719715, 2.1208668594547172e-05, 1.099494064927463e-07, 4.0800531704616266e-11, -8.574461999214956e-07, -2.5769473694708676e-08, -0.016457047016719715, -8.574461999214956e-07, 0.047598977581169995, 0.00028109672134595074, 2.1208668594547172e-05, -2.5769473694708676e-08, 0.00028109672134595074, 9.896465407383136e-05
