objname, origin, z_cmb, z_cmb_err, hostMass, hostMass_err, x1, x1_err, c, c_err, x0_err, x0_err, ra, dec, mu, mu_err
2006ac, Pan+, 0.02395, 0.0, 10.984, 0.098, -1.03034, 0.0686618, 0.0473398, 0.0268847, 0.00780303, 0.000223994, 190.437057, 35.068871, 34.9781, 0.1298
2006ah, Pan+, 0.05097, 0.0, 5.0, 10.0, -0.633227, 0.4151, 0.0964831, 0.0753678, 0.00118007, 0.000130957, 206.556427, -9.13109, 36.9306, 0.1443
2006ak, Pan+, 0.0389, 0.0, 11.204, 0.058, -1.26019, 0.1411, 0.0290552, 0.0406452, 0.00292551, 0.000193556, 167.386002, 28.63101, 36.0801, 0.1248
2006al, Pan+, 0.06905, 0.0, 10.223, 0.01, -1.40125, 0.2117, -0.0909926, 0.0334159, 0.00100127, 3.4272e-05, 159.867661, 5.18344, 37.5543, 0.1149
2006ax, Pan+, 0.01773, 0.0, 5.0, 10.0, 0.2622, 0.0388688, -0.0651353, 0.026256, 0.0211256, 0.000770337, 171.014297, -12.29153, 34.3542, 0.139
2006bb, Pan+, 0.02524, 0.0, 10.945, 0.25, -2.23798, 0.2084, -0.0397487, 0.0566921, 0.00662974, 0.000582582, 128.379562, 41.51783, 35.2205, 0.1473
2006bq, Pan+, 0.02146, 0.0, 10.925, 0.415, -1.70555, 0.0704383, 0.0632346, 0.0282285, 0.0073926, 0.00030676, 279.995575, 39.982319, 34.8897, 0.1334
2006bw, Pan+, 0.03079, 0.0, 10.36, 0.132, -1.94818, 0.1563, 0.135, 0.0460072, 0.00340199, 0.000273867, 218.486694, 3.79884, 35.5004, 0.1314
2006cj, Pan+, 0.06839, 0.0, 10.921, 0.125, 2.1227, 0.6931, -0.0695003, 0.0296084, 0.00125863, 4.24902e-05, 194.852158, 28.347601, 37.7057, 0.1323
2006cp, Pan+, 0.02334, 0.0, 10.183, 0.352, 0.3595, 0.0803868, 0.080036, 0.0272533, 0.00908716, 0.000285208, 184.812042, 22.427191, 34.9295, 0.1332
2006cq, Pan+, 0.04921, 0.0, 11.178, 0.401, -0.0826784, 0.5103, 0.0142279, 0.0292012, 0.0020902, 6.14557e-05, 201.104324, 30.9562, 36.6745, 0.1251
2006en, Pan+, 0.0308, 0.0, 11.068, 0.058, -0.436747, 0.1064, 0.051737, 0.0302202, 0.00422363, 0.000207345, 347.521057, 30.22328, 35.7282, 0.1214
2006gr, Pan+, 0.03344, 0.0, 11.005, 0.432, 0.8088, 0.0722063, 0.0955204, 0.0288567, 0.00354601, 0.000175087, 338.094482, 30.828831, 35.9752, 0.1183
2006gt, Pan+, 0.04362, 0.0, 10.361, 0.401, -2.93196, 0.2013, 0.0047882, 0.0520685, 0.00163551, 9.36332e-05, 14.07216, -1.62963, 36.5662, 0.1431
2006hb, Pan+, 0.01496, 0.0, 10.913, 2.886, -2.48331, 0.0929519, 0.0411658, 0.0337178, 0.0158831, 0.00059319, 75.505432, -21.13199, 34.1038, 0.153
2006is, Pan+, 0.03153, 0.0, 5.0, 10.0, 2.4432, 0.2639, -0.0667177, 0.032344, 0.00789758, 0.000396051, 79.393219, -23.781851, 35.5804, 0.1375
2006je, Pan+, 0.03712, 0.0, 11.501, 0.053, -2.29622, 0.2241, 0.0188459, 0.0707976, 0.002233, 0.000221737, 27.72193, 33.098129, 36.257, 0.1573
2006mo, Pan+, 0.03597, 0.0, 11.022, 0.471, -2.20453, 0.1151, 0.0380229, 0.0314391, 0.00240736, 9.84898e-05, 11.66033, 36.332691, 36.1242, 0.1222
2006mp, Pan+, 0.0228, 0.0, 9.5, 4.853, 0.9113, 0.1532, 0.0245584, 0.0274371, 0.00900342, 0.000292096, 258.000824, 46.555981, 35.1282, 0.1345
2006N, Pan+, 0.01408, 0.0, 10.544, 0.437, -2.06224, 0.0656589, -0.0271883, 0.0298575, 0.0201223, 0.00111765, 92.13028, 64.723557, 34.0054, 0.1652
2006oa, Pan+, 0.05884, 0.0, 9.156, 0.115, 1.2708, 0.2476, 0.00950529, 0.0295079, 0.00155854, 5.39732e-05, 320.928925, -0.84347, 37.1385, 0.1131
2006ob, Pan+, 0.05824, 0.0, 11.742, 0.048, -2.39049, 0.1576, -0.00472838, 0.0307247, 0.00115183, 3.71757e-05, 27.95055, 0.26346, 37.1316, 0.1005
2006on, Pan+, 0.06884, 0.0, 10.292, 0.014, 0.9577, 0.7317, 0.1106, 0.0483849, 0.000883718, 7.11375e-05, 328.993683, -1.07022, 37.5198, 0.1545
2006or, Pan+, 0.02167, 0.0, 11.0, 0.059, -1.21643, 0.3643, 0.21, 0.0277198, 0.00436737, 0.000263107, 177.01445, 30.35639, 35.0989, 0.1496
2006qo, Pan+, 0.02885, 0.0, 9.481, 0.029, 0.3907, 0.0628346, 0.194, 0.0273885, 0.00410686, 0.000140294, 120.035088, 56.368679, 35.4141, 0.1228
2006sr, Pan+, 0.02298, 0.0, 10.757, 0.05, -1.4246, 0.1172, 0.0111358, 0.0309107, 0.0076031, 0.000409344, 0.89593, 23.19602, 35.0535, 0.1314
2006td, Pan+, 0.01504, 0.0, 9.343, 4.691, -1.40701, 0.1119, 0.1181, 0.0297514, 0.011155, 0.000586654, 29.56567, 36.34938, 34.2685, 0.163
2006te, Pan+, 0.0321, 0.0, 10.576, 0.076, -0.131659, 0.0825483, -0.0560341, 0.0288613, 0.00537831, 0.000197074, 122.929008, 41.554668, 35.8136, 0.1199
2007ae, Pan+, 0.06416, 0.0, 11.047, 3.812, 1.6352, 0.1907, 0.00982476, 0.0316125, 0.00171152, 6.32276e-05, 255.466949, 79.031738, 37.1305, 0.1134
