objname, origin, z_cmb, z_cmb_err, hostMass, hostMass_err, x1, x1_err, c, c_err, x0_err, x0_err, ra, dec, mu, mu_err
2005M, Pan+, 0.02562, 0.0, 10.232, 0.034, 1.2509, 0.0364569, 0.00532692, 0.0216039, 0.00957874, 0.000236263, 144.384995, 23.2008, 35.2149, 0.1228
2006bh, Pan+, 0.01042, 0.0, 10.915, 0.352, -1.68521, 0.0385618, -0.0603515, 0.0226624, 0.04113, 0.000985775, 340.066986, -66.4851, 33.371, 0.1933
2006ef, Pan+, 0.01682, 0.0, 10.564, 0.102, -1.46319, 0.0735359, -0.0153708, 0.0268092, 0.0140527, 0.000444432, 31.081301, -8.72839, 34.4526, 0.1504
2006ej, Pan+, 0.01916, 0.0, 10.655, 0.405, -1.48278, 0.0473326, -0.0313774, 0.024816, 0.0120155, 0.000365519, 9.74904, -9.01572, 34.6623, 0.1362
2006eq, Pan+, 0.04834, 0.0, 10.634, 0.5, -2.09326, 0.0715701, 0.0950674, 0.029573, 0.00117913, 5.21274e-05, 322.154999, 1.22811, 36.7955, 0.1147
2006et, Pan+, 0.0216, 0.0, 10.945, 3.211, 0.7567, 0.039279, 0.1442, 0.0219358, 0.00928972, 0.000204545, 10.6909, -23.558399, 34.7681, 0.1262
2006ev, Pan+, 0.02762, 0.0, 10.861, 3.686, -1.29742, 0.052518, 0.0891631, 0.0277237, 0.0033565, 0.000175498, 322.747009, 13.9892, 35.7064, 0.1196
2006lu, Pan+, 0.05549, 0.0, 11.235, 0.057, 0.2587, 0.0761745, -0.146761, 0.0324451, 0.00264008, 0.000219004, 138.822998, -25.6001, 36.8474, 0.107
2006py, Pan+, 0.05661, 0.0, 9.9, 0.4, 0.0777738, 0.2199, 0.0138857, 0.0254519, 0.00158618, 5.95953e-05, 340.424988, -0.136917, 36.9552, 0.1082
2007bc, Pan+, 0.02187, 0.0, 10.907, 0.454, -1.17812, 0.0503888, 0.0431557, 0.0230244, 0.00978562, 0.000226272, 169.811005, 20.809, 34.7201, 0.1339
2007ca, Pan+, 0.01515, 0.0, 9.506, 4.356, 0.6, 0.0416025, 0.2301, 0.0238078, 0.00968239, 0.000376033, 202.774002, -15.1018, 34.3942, 0.1598
2007nq, Pan+, 0.04243, 0.0, 11.906, 0.066, -1.89808, 0.0551572, -0.0220296, 0.0238226, 0.00246169, 6.06074e-05, 14.3899, -1.38861, 36.3375, 0.1075
2008bq, Pan+, 0.0336, 0.0, 11.471, 3.062, 0.3376, 0.0502567, 0.0565518, 0.0254136, 0.00460869, 0.00022818, 100.260002, -38.038601, 35.739, 0.1163
2008gp, Pan+, 0.03285, 0.0, 10.663, 3.998, -0.117443, 0.0320328, -0.0810977, 0.0269835, 0.00617993, 0.000379152, 50.752998, 1.36189, 35.7224, 0.1142
2008hv, Pan+, 0.01359, 0.0, 10.637, 0.188, -1.27083, 0.0378073, -0.0539137, 0.022996, 0.0287636, 0.000747343, 136.891998, 3.39225, 33.8426, 0.1605
1993ac, Pan+, 0.05021, 0.0, 11.78, 0.63, -0.902366, 0.2327, 0.0258709, 0.0410543, 0.00166085, 0.000144077, 86.588654, 63.373981, 36.7685, 0.1191
1993ae, Pan+, 0.01693, 0.0, 10.278, 0.03, -1.53335, 0.1271, -0.0874109, 0.0320957, 0.0167988, 0.000762812, 22.45009, -1.97509, 34.4282, 0.1507
1994M, Pan+, 0.02431, 0.0, 11.35, 0.6, -1.43321, 0.0909127, 0.0653552, 0.0281023, 0.0068514, 0.000229976, 187.782288, 0.60278, 35.0086, 0.1295
1994Q, Pan+, 0.02956, 0.0, 11.156, 0.013, 0.8355, 0.298, 0.061735, 0.0391648, 0.0063283, 0.000392493, 252.475555, 40.428181, 35.4466, 0.1308
1994S, Pan+, 0.01611, 0.0, 10.603, 0.21, 0.2953, 0.181, -0.0776647, 0.0280228, 0.0281532, 0.000915763, 187.839676, 29.135639, 34.1266, 0.1576
1995ak, Pan+, 0.02193, 0.0, 10.27, 0.05, -1.06033, 0.1119, 0.0896825, 0.0320792, 0.00869691, 0.000356617, 41.450771, 3.23518, 34.7306, 0.137
1996bl, Pan+, 0.03481, 0.0, 10.56, 0.16, -0.150749, 0.1102, 0.00665703, 0.0303172, 0.00455867, 0.000243346, 9.07365, 11.39695, 35.8208, 0.1182
1996bv, Pan+, 0.01673, 0.0, 9.4, 4.0, 0.6907, 0.1052, 0.1683, 0.0305443, 0.0159405, 0.000946152, 94.046577, 57.057251, 34.0513, 0.1494
1996C, Pan+, 0.02752, 0.0, 10.11, 0.19, 0.6374, 0.1301, 0.0700634, 0.0287209, 0.00501825, 0.000160148, 207.751587, 49.341251, 35.5936, 0.1281
1997dg, Pan+, 0.0328, 0.0, 9.57, 0.31, -0.283237, 0.1752, -0.017863, 0.029685, 0.00400048, 0.000191245, 355.052948, 26.205219, 35.9599, 0.1204
1997E, Pan+, 0.01313, 0.0, 11.79, 1.5, -1.74862, 0.0908989, 0.0410538, 0.0317463, 0.0191679, 0.00129368, 101.894058, 74.498199, 33.9108, 0.1726
1997Y, Pan+, 0.01678, 0.0, 10.919, 0.12, -1.07426, 0.1453, 0.00814199, 0.0277921, 0.0165287, 0.000476437, 191.383057, 54.737171, 34.2672, 0.1502
1998dk, Pan+, 0.01202, 0.0, 9.87, 0.07, -0.0917117, 0.1914, 0.2101, 0.0346653, 0.023878, 0.00125327, 3.63138, -0.7361, 33.3729, 0.1853
1998dx, Pan+, 0.05389, 0.0, 11.3145, 0.2809, -1.58763, 0.2981, -0.0968185, 0.0323959, 0.00212628, 8.79467e-05, 272.794495, 49.85841, 36.7034, 0.1175
1998ec, Pan+, 0.0201, 0.0, 10.72, 3.5, -0.147733, 0.2464, 0.1627, 0.0572893, 0.00737242, 0.000789456, 103.27179, 50.043282, 34.8343, 0.1467
1998ef, Pan+, 0.01602, 0.0, 10.65, 0.15, -1.18839, 0.1114, -0.0875403, 0.0294781, 0.0260956, 0.00123109, 15.86096, 32.243019, 34.0031, 0.1519
1998eg, Pan+, 0.02362, 0.0, 11.12, 0.06, -0.489328, 0.2225, 0.0166098, 0.0328991, 0.00762919, 0.000509222, 339.873993, 8.60426, 35.1748, 0.1333
1999cc, Pan+, 0.03153, 0.0, 11.039, 0.095, -1.60629, 0.0751506, -0.00626487, 0.0262599, 0.00440959, 0.000125066, 240.675751, 37.354771, 35.6725, 0.1192
1999dq, Pan+, 0.01334, 0.0, 11.35, 0.45, 0.8703, 0.0341644, 0.0330585, 0.0287328, 0.0396024, 0.00238434, 38.492378, 20.979601, 33.5404, 0.1723
1999ef, Pan+, 0.03799, 0.0, 11.09, 0.17, 0.2877, 0.1665, -0.0205202, 0.0328943, 0.00321148, 0.000222594, 14.69302, 12.74204, 36.3488, 0.1198
1999ej, Pan+, 0.01544, 0.0, 10.61, 0.16, -1.51682, 0.2299, -0.0151465, 0.0359386, 0.0160265, 0.000971063, 20.73694, 33.46196, 34.3013, 0.1649
1999X, Pan+, 0.02577, 0.0, 10.33, 0.15, -0.535666, 0.5499, 0.0218099, 0.048943, 0.00686271, 0.000722455, 133.632263, 36.51474, 35.269, 0.1392
2000B, Pan+, 0.02045, 0.0, 11.44, 2.78, -1.49999, 0.154, 0.0810585, 0.0351287, 0.011503, 0.000668854, 106.416641, 50.588791, 34.3845, 0.1457
2000cf, Pan+, 0.03646, 0.0, 10.1732, 0.2809, -0.521631, 0.0845993, -0.0245364, 0.027313, 0.00339622, 0.00011619, 238.248276, 65.93782, 36.1727, 0.1145
2000cn, Pan+, 0.02321, 0.0, 10.9619, 0.2809, -2.56438, 0.1589, 0.0940824, 0.028665, 0.00535252, 0.000213027, 269.425385, 27.82572, 35.0255, 0.1328
2000dk, Pan+, 0.01602, 0.0, 10.4766, 0.3742, -2.0428, 0.0787949, -0.0152229, 0.0288489, 0.0158248, 0.000697526, 16.844589, 32.411072, 34.2375, 0.1527
2000fa, Pan+, 0.0218, 0.0, 9.97, 4.0, 0.4862, 0.0836706, 0.0543856, 0.028202, 0.00978838, 0.000434176, 108.87748, 23.426439, 34.8899, 0.1321
010026, Pan+, 0.0316, 0.001, 10.205, 0.01, -0.407068, 0.0823557, -0.0230311, 0.0326246, 0.004738, 0.000166476, 160.674545, 58.843826, 35.8091, 0.1311
350316, Pan+, 0.0796, 0.001, 8.624, 0.566, -0.424436, 0.0870924, -0.0622836, 0.02763, 0.000894626, 3.13162e-05, 131.46904, 43.818844, 37.6775, 0.1066
360156, Pan+, 0.0462, 0.001, 10.3, 0.045, -0.886559, 0.1451, -0.0188894, 0.0351514, 0.00205614, 8.01829e-05, 150.807251, 1.895292, 36.6301, 0.1245
370333, Pan+, 0.0755, 0.001, 8.7576, 0.1, 0.9243, 0.1641, -0.0118297, 0.0377874, 0.000913082, 3.75927e-05, 164.380127, 57.297749, 37.7112, 0.1185
370356, Pan+, 0.0264, 0.001, 6.0, 1.0, -0.280934, 0.1345, -0.0705648, 0.0353083, 0.00810178, 0.00036372, 183.405457, 46.483467, 35.3234, 0.1444
070242, Pan+, 0.0642, 0.001, 8.537, 1.195, -1.11779, 0.0784101, -0.11721, 0.0331866, 0.00113768, 3.89619e-05, 36.800156, -4.534686, 37.4546, 0.1154
080064, Pan+, 0.0655, 0.001, 9.133, 0.022, -0.289023, 0.0860321, 0.2399, 0.0333174, 0.000570159, 1.87192e-05, 52.425297, -27.877253, 37.3074, 0.1178
370566, Pan+, 0.0713, 0.001, 9.745, 0.192, -0.200806, 0.102, -0.00438883, 0.0337386, 0.000934856, 3.12342e-05, 159.985092, 58.414917, 37.4969, 0.1178
470043, Pan+, 0.0706, 0.01, 5.402, 7.899, 0.4577, 0.1252, 0.00948472, 0.0336344, 0.000731927, 2.68303e-05, 128.9944, 44.767532, 37.8237, 0.3187
490007, Pan+, 0.0547, 0.001, 9.761, 0.067, -0.209261, 0.0867535, -0.0172234, 0.0328507, 0.00160895, 5.79527e-05, 184.267822, 46.627476, 36.9398, 0.116
530086, Pan+, 0.0502, 0.001, 10.475, 0.006, 1.2031, 0.2615, 0.0480947, 0.0390369, 0.00213728, 0.000128371, 332.865967, -0.029744, 36.6946, 0.1316
550005, Pan+, 0.0736, 0.001, 10.4246, 0.1, 0.6784, 0.3126, 0.1965, 0.0460258, 0.000577673, 3.27741e-05, 51.936008, -28.487053, 37.617, 0.1454
