objname, origin, z, z_cmb, st, st_err, EBVhost, EBVhost_err, Tmax, Tmax_err
SN2005iq, dr3, 0.03402, 0.03293, 0.872, 0.004, 0.042, 0.01, 53687.58, 0.04
SN2005ir, dr3, 0.076307, 0.075233, 1.121, 0.021, 0.13, 0.013, 53684.58, 0.14
SN2005kc, dr3, 0.01511, 0.01389, 0.899, 0.006, 0.33, 0.026, 53697.76, 0.04
SN2005ke, dr3, 0.004877, 0.004483, 0.418, 0.003, 0.23, 0.018, 53698.97, 0.1
SN2005ki, dr3, 0.019193, 0.02037, 0.825, 0.003, 0.034, 0.01, 53705.33, 0.1
SN2005ku, dr3, 0.045407, 0.044183, 0.95, 0.04, 0.175, 0.036, 53699.05, 0.87
SN2005lu, dr3, 0.031987, 0.031293, 1.13, 0.034, 0.33, 0.032, 53711.55, 0.68
SN2005mc, dr3, 0.025203, 0.026007, 0.64, 0.025, 0.267, 0.034, 53734.37, 0.64
SN2005na, dr3, 0.026303, 0.026813, 0.958, 0.006, 0.082, 0.016, 53740.26, 0.17
SN2006D, dr3, 0.00852, 0.00964, 0.814, 0.003, 0.154, 0.013, 53757.54, 0.1
SN2006X, dr3, 0.005237, 0.00632, 0.972, 0.006, 1.381, 0.014, 53786.34, 0.06
SN2006ax, dr3, 0.016727, 0.017957, 0.987, 0.004, 0.039, 0.012, 53827.11, 0.49
SN2006bd, dr3, 0.025707, 0.026797, 0.376, 0.013, 0.22, 0.038, 53824.47, 0.15
SN2006bh, dr3, 0.01084, 0.010493, 0.801, 0.003, 0.051, 0.01, 53833.46, 0.49
SN2006br, dr3, 0.024573, 0.025523, 0.909, 0.029, 1.006, 0.044, 53850.61, 0.79
SN2006ef, dr3, 0.01787, 0.017027, 0.837, 0.02, 0.035, 0.025, 53969.24, 0.73
SN2006ej, dr3, 0.020437, 0.019337, 0.829, 0.018, 0.075, 0.023, 53975.97, 0.22
SN2006eq, dr3, 0.049467, 0.048367, 0.616, 0.023, 0.2, 0.034, 53979.18, 0.26
SN2006et, dr3, 0.022157, 0.021647, 1.093, 0.007, 0.274, 0.01, 53993.85, 0.11
SN2006ev, dr3, 0.028713, 0.0276, 0.846, 0.019, 0.253, 0.033, 53989.71, 0.23
SN2006fw, dr3, 0.082943, 0.081987, 0.888, 0.049, 0.301, 0.034, 54003.57, 0.68
SN2006gj, dr3, 0.028333, 0.026967, 0.657, 0.007, 0.292, 0.02, 54000.41, 0.14
SN2006gt, dr3, 0.04474, 0.043643, 0.554, 0.008, 0.078, 0.017, 54003.56, 0.54
SN2006hb, dr3, 0.015333, 0.015337, 0.673, 0.018, 0.109, 0.024, 54003.02, 0.55
SN2006hx, dr3, 0.045463, 0.044403, 0.988, 0.017, 0.238, 0.02, 54021.77, 0.14
SN2006is, dr3, 0.031333, 0.03142, 1.323, 0.026, 0.018, 0.015, 54005.34, 0.77
SN2006kf, dr3, 0.021287, 0.0208, 0.733, 0.004, 0.054, 0.024, 54041.31, 0.04
SN2006lu, dr3, 0.053367, 0.054397, 1.049, 0.022, 0.046, 0.027, 54034.42, 0.25
SN2006mr, dr3, 0.005867, 0.00551, 0.245, 0.004, 0.024, 0.02, 54050.75, 0.14
SN2006ob, dr3, 0.059197, 0.058257, 0.725, 0.011, 0.08, 0.015, 54063.47, 0.59
SN2006os, dr3, 0.032787, 0.03208, 0.92, 0.023, 0.436, 0.039, 54064.44, 0.69
SN2006py, dr3, 0.05786, 0.056643, 0.95, 0.026, 0.166, 0.019, 54070.87, 0.28
SN2007A, dr3, 0.017633, 0.016463, 1.012, 0.011, 0.29, 0.018, 54112.96, 0.06
SN2007N, dr3, 0.01287, 0.014, 0.304, 0.007, 0.209, 0.038, 54123.51, 0.57
SN2007S, dr3, 0.01387, 0.015023, 1.114, 0.009, 0.523, 0.013, 54144.36, 0.06
SN2007af, dr3, 0.00546, 0.00629, 0.925, 0.003, 0.194, 0.013, 54174.41, 0.03
SN2007ai, dr3, 0.03164, 0.031987, 1.229, 0.012, 0.288, 0.044, 54172.92, 0.2
SN2007al, dr3, 0.012113, 0.013263, 0.335, 0.022, 0.03, 0.025, 54170.24, 0.57
SN2007as, dr3, 0.01756, 0.017897, 0.884, 0.005, 0.137, 0.025, 54181.61, 0.15
SN2007ax, dr3, 0.006857, 0.007637, 0.354, 0.011, 0.081, 0.031, 54187.93, 0.17
SN2007ba, dr3, 0.038487, 0.039053, 0.542, 0.006, 0.194, 0.017, 54197.57, 0.13
SN2007bc, dr3, 0.020757, 0.02185, 0.876, 0.006, 0.125, 0.011, 54200.22, 0.15
SN2007bd, dr3, 0.030997, 0.031827, 0.882, 0.005, 0.081, 0.013, 54206.8, 0.11
SN2007bm, dr3, 0.006207, 0.00744, 0.899, 0.008, 0.546, 0.017, 54224.63, 0.22
SN2007ca, dr3, 0.014057, 0.01507, 1.058, 0.007, 0.376, 0.017, 54227.38, 0.06
SN2007cg, dr3, 0.033173, 0.034168, 1.108, 0.046, 0.769, 0.045, 54227.38, 0.5
SN2007hj, dr3, 0.014103, 0.012882, 0.605, 0.004, 0.128, 0.021, 54349.81, 0.07
SN2007hx, dr3, 0.07976, 0.078873, 1.059, 0.044, 0.309, 0.033, 54353.59, 0.88
SN2007jd, dr3, 0.072583, 0.071911, 0.875, 0.033, 0.138, 0.036, 54361.9, 0.97
SN2007jg, dr3, 0.037107, 0.036577, 0.914, 0.006, 0.124, 0.019, 54366.48, 0.09
SN2007jh, dr3, 0.040767, 0.040267, 0.584, 0.019, 0.222, 0.029, 54366.33, 0.2
SN2007le, dr3, 0.006717, 0.005523, 1.024, 0.004, 0.415, 0.012, 54399.07, 0.1
SN2007mm, dr3, 0.066354, 0.068873, 0.501, 0.018, 0.225, 0.031, 54392.26, 0.16
SN2007nq, dr3, 0.045, 0.043903, 0.745, 0.005, 0.066, 0.011, 54398.94, 0.15
SN2007ol, dr3, 0.05587, 0.054882, 0.696, 0.035, 0.008, 0.01, 54412.86, 0.19
SN2007on, dr3, 0.00649, 0.006183, 0.574, 0.004, 0.004, 0.005, 54419.78, 0.5
SN2007so, dr3, 0.029667, 0.028929, 0.85, 0.008, 0.147, 0.024, 54428.02, 0.52
SN2007sr, dr3, 0.005473, 0.006656, 0.989, 0.017, 0.21, 0.027, 54448.51, 0.53
SN2007st, dr3, 0.021167, 0.020651, 0.774, 0.022, 0.168, 0.027, 54454.45, 0.7
SN2007ux, dr3, 0.030893, 0.031996, 0.586, 0.006, 0.105, 0.015, 54466.93, 0.07
SN2008C, dr3, 0.01661, 0.017067, 0.953, 0.025, 0.26, 0.034, 54465.87, 0.37
SN2008O, dr3, 0.03883, 0.039318, 0.654, 0.012, 0.327, 0.023, 54491.75, 0.58
SN2008R, dr3, 0.013493, 0.012887, 0.593, 0.005, 0.031, 0.016, 54494.64, 0.51
SN2008ar, dr3, 0.02613, 0.027247, 0.971, 0.006, 0.125, 0.013, 54534.61, 0.12
SN2008bc, dr3, 0.015077, 0.015707, 1.048, 0.004, 0.033, 0.024, 54549.57, 0.03
SN2008bd, dr3, 0.030083, 0.03128, 0.415, 0.011, 0.064, 0.028, 54531.21, 0.48
SN2008bf, dr3, 0.023484, 0.024554, 1.022, 0.004, 0.047, 0.012, 54554.65, 0.03
SN2008bi, dr3, 0.013437, 0.014388, 0.48, 0.026, 0.249, 0.048, 54543.28, 0.9
SN2008bq, dr3, 0.033977, 0.034443, 1.155, 0.009, 0.173, 0.021, 54562.46, 0.53
SN2008bt, dr3, 0.015353, 0.01658, 0.47, 0.009, 0.202, 0.021, 54572.3, 0.14
SN2008bz, dr3, 0.060237, 0.061326, 0.93, 0.022, 0.026, 0.019, 54578.93, 0.25
SN2008cc, dr3, 0.010387, 0.010122, 0.788, 0.017, 0.128, 0.022, 54572.99, 0.19
SN2008cd, dr3, 0.007407, 0.008462, 1.012, 0.08, 1.927, 0.076, 54578.89, 1.09
SN2008cf, dr3, 0.045968, 0.046827, 1.117, 0.035, 0.033, 0.021, 54594.67, 0.68
SN2008ff, dr3, 0.019193, 0.018673, 1.117, 0.01, 0.179, 0.017, 54704.22, 0.17
SN2008fl, dr3, 0.0199, 0.019417, 0.855, 0.018, 0.142, 0.03, 54720.77, 0.61
SN2008fp, dr3, 0.00566, 0.006287, 1.082, 0.007, 0.545, 0.035, 54730.22, 0.04
SN2008fr, dr3, 0.038973, 0.037906, 1.056, 0.023, 0.043, 0.024, 54732.67, 0.24
SN2008fu, dr3, 0.05237, 0.051834, 0.822, 0.022, 0.031, 0.019, 54732.55, 0.39
SN2008fw, dr3, 0.008543, 0.009507, 1.113, 0.023, 0.14, 0.026, 54731.75, 0.17
SN2008gg, dr3, 0.031993, 0.031066, 1.114, 0.027, 0.202, 0.03, 54749.22, 0.6
SN2008gl, dr3, 0.033993, 0.032946, 0.851, 0.004, 0.108, 0.011, 54768.15, 0.05
SN2008go, dr3, 0.062367, 0.061313, 0.912, 0.023, 0.126, 0.013, 54766.09, 0.18
SN2008gp, dr3, 0.03339, 0.032823, 0.973, 0.005, 0.044, 0.02, 54778.99, 0.04
SN2008hj, dr3, 0.037867, 0.036722, 1.01, 0.006, 0.093, 0.012, 54801.49, 0.5
SN2008hu, dr3, 0.049666, 0.050526, 0.785, 0.008, 0.06, 0.02, 54806.52, 0.17
SN2008hv, dr3, 0.01254, 0.01358, 0.846, 0.003, 0.034, 0.011, 54817.06, 0.09
SN2008ia, dr3, 0.021983, 0.02254, 0.841, 0.004, 0.069, 0.023, 54813.01, 0.13
SN2009D, dr3, 0.02499, 0.024654, 1.185, 0.006, 0.088, 0.014, 54840.79, 0.5
SN2009F, dr3, 0.012947, 0.01291, 0.328, 0.007, 0.251, 0.027, 54842.05, 0.54
SN2009I, dr3, 0.02615, 0.025431, 1.064, 0.019, 0.794, 0.015, 54851.9, 0.13
SN2009P, dr3, 0.025087, 0.02632, 1.093, 0.03, 0.475, 0.019, 54868.4, 0.28
SN2009Y, dr3, 0.009347, 0.010103, 1.189, 0.008, 0.217, 0.022, 54876.07, 0.07
SN2009aa, dr3, 0.02729, 0.028481, 0.908, 0.004, 0.1, 0.012, 54878.23, 0.03
SN2009ab, dr3, 0.011163, 0.010862, 0.874, 0.005, 0.132, 0.025, 54883.26, 0.04
SN2009ad, dr3, 0.02838, 0.028317, 1.015, 0.006, 0.102, 0.019, 54886.27, 0.04
SN2009ag, dr3, 0.008633, 0.009248, 0.962, 0.007, 0.298, 0.041, 54889.54, 0.12
SN2009al, dr3, 0.02209, 0.023276, 1.174, 0.041, 0.249, 0.031, 54893.35, 0.78
SN2009cz, dr3, 0.021123, 0.021979, 1.189, 0.012, 0.128, 0.012, 54943.14, 0.07
SN2009ds, dr3, 0.019247, 0.020466, 1.125, 0.02, 0.204, 0.014, 54961.05, 0.55
SN2009le, dr3, 0.017773, 0.017027, 1.156, 0.021, 0.235, 0.01, 55165.94, 0.1
