objname, ra, dec, z, MJDs, MJDe, origin, t0, t0_err, x0, x0_err, x1, x1_err, c, c_err, mu, mu_err, hostMass, hostMass_err
2018lph, 250.902241666667, 33.5336, 0.08, 58198.45509260008, 60505.32174770022, ZTF, 58311.43430363324, 0.07868859406153206, 0.00029829837191385454, 3.220023718990128e-06, -2.1474032645338994, 0.10741662102142668, 0.12276556411823965, 0.010441023927402454, 38.11397871188486, 1.0858617587116144, 10.34149581173226, 0.004396506937327917
2023bhm, 70.72892083333333, 0.618425, 0.015419, 58338.48149310006, 60390.187326400075, ZTF, 59990.51228942867, 0.0411962939579098, 0.011797073735229202, 4.8790121806498094e-05, -1.2871014194949093, 0.05322312088831049, 0.09277127699118023, 0.004963939960126063, 34.34217934264537, 1.0857670071543937, 10.944880130229151, 0.0007042302707270253
2022ihz, 145.70094583333332, -3.6070722222222225, 0.006, 58204.21736110002, 60433.19265050022, ZTF, 59706.21780268506, 0.015486568248888943, 0.011911638880533504, 3.72753969977495e-05, -2.7246543907579515, 0.021838783304510168, 0.2860423196498055, 0.0024304071927504518, 33.53579296904431, 1.0857414098709637, 0.0, 0.0
2022kbc, 181.1954625, 9.438255555555555, 0.0687, 58202.33254629979, 60478.20368060004, ZTF, 59716.19415899627, 0.2405490186283714, 0.0004091865568033028, 1.4195566890331119e-05, -2.4583674056649407, 0.36388922342667285, -0.06795062479528029, 0.02501910473891367, 38.29155925583462, 1.087169476503845, 10.001102966465442, 0.006605906576879489
2022dsu, 211.3781958333333, 15.720977777777778, 0.07, 58208.339004599955, 60488.236597199924, ZTF, 59646.01948806955, 0.21075772561744088, 0.00032987828525708334, 1.614329468173596e-05, -2.305352707320173, 0.21232079649669333, 0.20124832952316243, 0.0343008705362571, 37.74667669283252, 1.086234748440079, 10.258346269556945, 0.0036019101922798984
2022ubt, 289.1199583333333, 41.889291666666665, 0.052, 58204.513402800076, 60502.29914350016, ZTF, 59843.125906724905, 0.18365697868648567, 0.0005089174590477322, 6.7671547918727635e-06, -2.8115973228535163, 0.1695202104153486, 0.21213568134601485, 0.015550395901699508, 37.166042903836384, 1.0860485595866105, 10.387851541544412, 0.0032791740061456085
2023dk, 77.77631949389749, -1.0803024787910513, 0.02844, 58350.50699070003, 60392.153125000186, ZTF, 59957.25050967014, 0.13283127497925307, 0.0018779698501903178, 2.736422618654966e-05, -0.9530709176294155, 0.12610494320140359, 0.2779169961516636, 0.013625982268846318, 35.83676596202437, 1.0859096247936433, 10.658403563986226, 0.0008657073789887531
2023fot, 185.44816295200465, 10.59142716377714, 0.026467, 58202.31156249996, 60482.1941550998, ZTF, 60056.4550618887, 0.09559579171036603, 0.0008974513523869094, 9.966243512853454e-06, -2.999059114230339, 0.14467837830590802, 0.2769032385191552, 0.016531511622577447, 36.32844501387311, 1.0859647770857515, 10.60069767104924, 0.0010828350223605655
2019cdc, 212.204729166667, 35.6142777777778, 0.02777, 58202.353159700055, 60494.22601850005, ZTF, 58575.139533652626, 0.036730843039549654, 0.00234915310862536, 1.5720427566894923e-05, -2.3560148689331872, 0.039569742624083526, 0.1285010856604651, 0.005850182100271237, 35.824318181489204, 1.085753452892911, 10.584872344449861, 0.0011367594478676015
2019moq, 6.61545160003238, 38.1232395512729, 0.0596, 58277.42565969983, 60502.45076389983, ZTF, 58695.32781855528, 4.5271008275449276e-08, 0.0004498054981746838, 3.754840494389011e-06, -2.665700847936894, 0.08669245022098049, 0.16985859513921103, 0.007804300866851478, 37.44840725747925, 1.0858178780675205, 10.979192644467481, 0.0047669442378859665
2021uve, 29.13569565786243, 3.8603580474646884, 0.055, 58298.45418980019, 60351.16694439994, ZTF, 59438.6449468244, 0.17763059438584605, 0.00040926005598045844, 9.224862507094642e-06, -1.1600679429514833, 0.14630969544725902, 0.25609642182074105, 0.018275268203101287, 37.524343869403666, 1.085970547472438, 7.813528673239915, 0.07763466766209964
