#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
02a59836o0498o,1.162395,-8.0999675,>19.98,0.0,3.0,o,22.082,59836.53899625,6601.78,4150.98,121.0,179.8,-23.3,15.2,178.3,-934.6,895.6,1.18,2.3,1.98,1.0,3.0,-0.4327,-28.113032365445246,18.33983227273681,18.96,30.0
02a59836o0529o,1.162395,-8.0999675,>19.9,0.0,3.0,o,22.055,59836.55424535,6585.41,4113.25,138.0,180.9,-6.8,14.4,188.8,2780.3,802.1,1.59,2.38,2.13,1.0,3.0,-0.4337,-9.371826037063107,19.84621984319247,18.86,30.0
02a59836o0536o,1.162395,-8.0999675,>19.86,0.0,3.0,o,22.073,59836.55768705,6643.93,4191.11,176.0,180.0,-7.1,16.6,190.1,1897.0,945.9,1.26,2.3,2.01,1.0,3.0,-0.4347,-8.78498425450042,20.53954065136718,18.89,30.0
02a59836o0550o,1.162395,-8.0999675,>19.92,0.0,3.0,o,22.074,59836.56457095,6665.3,4075.33,181.0,180.5,-1.9,15.3,181.4,887.6,790.3,1.22,2.34,2.03,1.0,3.0,-0.4277,-2.3978623106983643,19.309101765097353,18.88,30.0
03a59837o0613o,1.162395,-8.0999675,None,None,None,o,21.814,59836.99707175,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.4097,None,None,18.43,30.0
03a59837o0620o,1.162395,-8.0999675,None,None,None,o,21.825,59837.00024075,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.4097,None,None,18.4,30.0
03a59837o0625o,1.162395,-8.0999675,>19.82,0.0,3.0,o,22.045,59837.00253495,10124.0,6736.21,167.0,182.9,2.5,16.7,179.8,-2686.5,815.9,1.65,2.33,1.99,1.0,3.0,-0.4107,3.113922154687537,20.800999993312747,18.89,30.0
03a59837o0633o,1.162395,-8.0999675,>19.65,0.0,3.0,o,21.968,59837.00614865,10141.3,6774.88,168.0,187.3,5.2,17.7,178.1,-1554.3,1086.5,1.82,2.37,2.02,1.0,3.0,-0.4107,7.178964477203395,24.436090624326933,18.74,30.0
03a59837o0645o,1.162395,-8.0999675,>19.78,0.0,3.0,o,22.022,59837.01160935,10083.6,6696.72,211.0,183.5,14.1,17.0,174.7,-1269.4,882.1,1.47,2.35,1.98,1.0,3.0,-0.4137,18.0514008580246,21.76410032527789,18.85,30.0
03a59837o0679o,1.162395,-8.0999675,>19.79,0.0,3.0,o,22.055,59837.02714775,10058.7,6813.1,155.0,182.0,-7.6,17.5,175.5,-1835.1,916.9,1.26,2.34,1.96,1.0,3.0,-0.4117,-9.286333284126567,21.38300427265985,18.92,30.0
01a59838o0355o,1.162395,-8.0999675,>20.42,0.0,3.0,o,22.306,59838.37469635,3219.3,6259.24,194.0,181.3,-10.2,11.5,181.3,-613.7,677.7,1.48,2.31,2.13,1.0,3.0,-0.4387,-10.878036216119702,12.264452596605548,19.43,30.0
01a59838o0368o,1.162395,-8.0999675,>20.35,0.0,3.0,o,22.311,59838.38075955,3199.2,6220.1,164.0,181.2,-8.9,10.9,179.4,-940.0,728.1,1.95,2.46,2.26,1.0,3.0,-0.4297,-10.587472570121188,12.966679889249543,19.38,30.0
01a59838o0377o,1.162395,-8.0999675,>20.42,0.0,3.0,o,22.303,59838.38493195,3253.96,6294.14,163.0,182.2,0.9,12.0,183.4,-2341.8,725.1,1.22,2.32,2.03,1.0,3.0,-0.4737,0.9514484819352972,12.685979759137293,19.45,30.0
01a59838o0452o,1.162395,-8.0999675,>20.36,0.0,3.0,o,22.31,59838.42038985,3276.26,6172.15,167.0,182.3,-35.8,11.8,180.0,-717.3,677.7,1.25,2.38,2.14,1.0,3.0,-0.4527,-39.887103705330794,13.147145914047583,19.38,30.0
