#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
04a59741o0723o,341.86294875,-25.6648225,>20.53,0.0,3.0,o,22.099,59741.35443685,7206.97,810.12,183.0,181.6,-12.8,10.7,184.3,593.1,557.6,1.03,2.23,1.78,1.0,3.0,-0.4227,-13.130872376214985,10.97658862699221,19.53,30.0
04a59741o0730o,341.86294875,-25.6648225,>20.56,0.0,3.0,o,22.1,59741.35815555,7191.17,771.14,154.0,180.1,-6.3,11.2,178.0,-76.6,535.0,0.94,2.13,1.73,1.0,3.0,-0.4277,-6.021781613552209,10.70538953520393,19.57,30.0
04a59741o0735o,341.86294875,-25.6648225,>20.6,0.0,3.0,o,22.099,59741.36110945,7248.61,849.09,187.0,181.5,8.2,10.4,179.3,-74.2,497.5,1.26,2.17,1.77,1.0,3.0,-0.4297,8.192295287811021,10.390228169906662,19.54,30.0
04a59741o0747o,341.86294875,-25.6648225,>20.6,0.0,3.0,o,22.102,59741.36761125,7270.9,730.89,185.0,181.9,4.0,10.4,178.5,597.8,596.0,0.98,2.18,1.76,1.0,3.0,-0.4257,3.966321353121823,10.312435518116743,19.58,30.0
04a59742o0835o,341.86294875,-25.6648225,>20.026978252927453,0.0,1.09,o,22.113,59742.38723945,7232.98,807.99,210.0,183.1,12.6,11.6,179.6,-17.3,651.8,1.11,2.24,1.79,1.0,3.0,-0.4187,12.841931224722424,11.822730333871439,19.43,30.0
04a59742o0840o,341.86294875,-25.6648225,>20.6,0.0,3.0,o,22.114,59742.39053835,7216.08,770.21,192.0,181.9,-12.6,10.2,182.9,897.6,567.9,0.98,2.22,1.78,1.0,3.0,-0.4187,-12.644517655193575,10.236038101823372,19.51,30.0
04a59742o0853o,341.86294875,-25.6648225,>20.6,0.0,3.0,o,22.112,59742.39868255,7280.32,846.95,182.0,181.9,-4.7,10.5,181.9,1180.1,607.3,0.8,2.17,1.76,1.0,3.0,-0.4367,-4.64332417244606,10.373383789507152,19.63,30.0
04a59742o0865o,341.86294875,-25.6648225,>20.56,0.0,3.0,o,22.114,59742.40573235,7306.18,728.63,175.0,180.8,-9.3,9.8,179.7,206.6,470.6,0.86,2.29,1.86,1.0,3.0,-0.4227,-10.09694801799614,10.639794685630346,19.59,30.0
03a59743o0161o,341.86294875,-25.6648225,>18.98,0.0,3.0,o,21.605,59743.12354735,3693.21,8573.36,208.0,179.3,-5.5,18.0,183.0,3652.4,1341.2,1.49,2.5,2.5,1.0,3.0,-0.4147,-13.899572787039501,45.48951093940201,17.96,30.0
03a59743o0174o,341.86294875,-25.6648225,>16.77,0.0,3.0,o,20.384,59743.13065335,3726.81,8615.17,183.0,171.7,-15.2,16.2,172.4,-1273.6,1853.7,1.1,6.3,2.74,1.0,3.0,-0.3467,-306.8269093739906,327.01289025385836,15.85,30.0
03a59743o0206o,341.86294875,-25.6648225,>16.026451040434562,0.0,1.2,o,19.49,59743.14675665,3748.74,8498.83,205.0,184.2,16.7,13.9,184.4,664.1,1343.8,1.21,4.4,2.8,1.0,3.0,-0.3837,567.134313400967,472.04592552535576,15.37,30.0
04a59745o0785o,341.86294875,-25.6648225,>19.19745355788236,0.0,1.38,o,22.111,59745.39290485,7079.14,6630.72,236.0,177.0,27.2,19.7,175.9,-607.7,1286.9,0.97,2.57,2.06,1.0,3.0,-0.3667,34.9565040541238,25.317762127435252,18.66,30.0
04a59745o0792o,341.86294875,-25.6648225,>19.30523701407926,0.0,1.97,o,22.111,59745.39663085,7064.0,6591.33,269.0,178.9,37.1,18.8,177.7,-411.7,1064.2,0.84,2.51,2.0,1.0,3.0,-0.3667,45.21019414731413,22.909747977614703,18.71,30.0
